ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
nan,nan,ENSMODP00000033019,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q59NL9,Q59NL9_CANAL,nan,CANAL,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q5K7P6,Q5K7P6_CRYNJ,nan,CRYNJ,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q4P633,Q4P633_USTMA,nan,USTMA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q6CBB1,Q6CBB1_YARLI,nan,YARLI,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q0V6W1,Q0V6W1_PHANO,nan,PHANO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q08E20,ESTD_BOVIN,ENSBTAP00000004431,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q7KSB5,Q7KSB5_DROME,nan,DROME,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A7EPQ7,A7EPQ7_SCLS1,nan,SCLS1,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P40363,SFGH_YEAST,nan,YEAST,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P10768,ESTD_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q7QCH6,Q7QCH6_ANOGA,nan,ANOGA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q7RXB4,Q7RXB4_NEUCR,nan,NEUCR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2Q7J5,H2Q7J5_PANTR,ENSPTRP00000009965,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7E7Q0,F7E7Q0_ORNAN,ENSOANP00000024517,ORNAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7B6S8,F7B6S8_CIOIN,ENSCINP00000008379,CIOIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6Z3Y0,F6Z3Y0_MACMU,ENSMMUP00000005628,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6VLS2,F6VLS2_XENTR,ENSXETP00000033668,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E2RCQ9,E2RCQ9_CANFA,ENSCAFP00000006673,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E1BXC2,E1BXC2_CHICK,nan,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C3YK61,C3YK61_BRAFL,nan,BRAFL,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B7QIS7,B7QIS7_IXOSC,nan,IXOSC,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B0Y4D7,B0Y4D7_ASPFC,nan,ASPFC,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B0BNE5,ESTD_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A9UZC1,A9UZC1_MONBE,nan,MONBE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q8LAS8,SFGH_ARATH,nan,ARATH,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9R0P3,ESTD_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9TVN2,nan,nan,nan,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q567K2,Q567K2_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q7ND10,Q7ND10_GLOVI,nan,GLOVI,13.0,1,1,1,1,1,,1,1,1,1,1,1,1,1
Q89H09,Q89H09_BRADU,nan,BRADU,13.0,1,1,1,1,1,,1,1,1,1,1,1,1,1
A6V1G0,A6V1G0_PSEA7,nan,PSEA7,13.0,1,1,1,1,1,,1,1,1,1,1,1,1,1
P73137,P73137_SYNY3,nan,SYNY3,13.0,1,1,1,1,1,,1,1,1,1,1,1,1,1
A9SAN7,A9SAN7_PHYPA,nan,PHYPA,13.0,1,1,1,1,1,1,1,1,1,1,1,,1,1
A7S5U3,A7S5U3_NEMVE,nan,NEMVE,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
P33018,SFGH2_ECOLI,nan,ECOLI,11.0,1,1,1,,1,,,1,1,1,1,1,1,1
Q54RL8,Q54RL8_DICDI,nan,DICDI,10.0,1,1,,1,1,1,1,1,1,1,1,,,
P51025,SFGH1_ECOLI,nan,ECOLI,8.0,,,,,,,1,1,1,1,1,1,1,1
H2UGR2,H2UGR2_TAKRU,ENSTRUP00000036133,TAKRU,6.0,,,,,,1,1,1,,1,,1,,1
Q8ABF8,Q8ABF8_BACTN,nan,BACTN,4.0,,,,1,,,1,,,,,1,1,
O86543,O86543_STRCO,nan,STRCO,2.0,,,,,,,1,,,,,,1,
B8BYX0,B8BYX0_THAPS,nan,THAPS,2.0,,,,,,,,,,,,1,1,
Q10614,nan,nan,nan,1.0,,,,,,,,,,,,1,,
Q8A0E4,Q8A0E4_BACTN,nan,BACTN,1.0,,,,,,,,,,,,,1,
A9USY8,A9USY8_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
Q97UM5,Q97UM5_SULSO,nan,SULSO,1.0,1,,,,,,,,,,,,,
