ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
nan,nan,ENSPTRP00000051808,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E2RIU6,E2RIU6_CANFA,ENSCAFP00000003402,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q96PE3,INP4A_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q62784,INP4A_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7GHC4,F7GHC4_MONDO,ENSMODP00000001421,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7CCT6,F7CCT6_XENTR,ENSXETP00000042059,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C3YZI7,C3YZI7_BRAFL,nan,BRAFL,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6W807,F6W807_MACMU,ENSMMUP00000030167,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
D3YUD3,D3YUD3_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E1B820,E1B820_BOVIN,ENSBTAP00000006322,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E1BW24,E1BW24_CHICK,nan,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9VY47,Q9VY47_DROME,nan,DROME,12.0,,1,,1,1,1,1,1,1,1,1,1,1,1
F6UVC2,F6UVC2_CIOIN,ENSCINP00000014888,CIOIN,12.0,,1,1,1,1,1,1,1,1,,1,1,1,1
C4QJ31,nan,nan,nan,11.0,,1,,1,1,1,1,1,1,1,1,,1,1
B7QF83,B7QF83_IXOSC,nan,IXOSC,11.0,,1,,1,1,1,1,1,1,,1,1,1,1
Q21623,Q21623_CAEEL,nan,CAEEL,11.0,,1,,,1,1,1,1,1,1,1,1,1,1
Q5TUW0,Q5TUW0_ANOGA,nan,ANOGA,11.0,,1,,,1,1,1,1,1,1,1,1,1,1
H2UEL9,H2UEL9_TAKRU,ENSTRUP00000035388,TAKRU,8.0,,,,,1,1,1,1,,,1,1,1,1
B0S737,B0S737_DANRE,nan,DANRE,8.0,1,,,,1,1,,1,,,1,1,1,1
H2TWC4,H2TWC4_TAKRU,ENSTRUP00000028983,TAKRU,7.0,1,,,,,,,,1,1,1,1,1,1
B0UYC6,B0UYC6_DANRE,nan,DANRE,7.0,,,1,1,,,1,,1,1,,,1,1
A7RN81,A7RN81_NEMVE,nan,NEMVE,6.0,,,,,,1,1,1,,1,,1,,1
B8LBY3,B8LBY3_THAPS,nan,THAPS,6.0,,,,,1,1,1,,,1,1,,,1
A9UVD8,A9UVD8_MONBE,nan,MONBE,5.0,,,,,,1,1,1,,1,,,,1
A1L241,A1L241_DANRE,nan,DANRE,2.0,,,,,,,,,,,1,,,1
nan,nan,ENSCINP00000003965,CIOIN,1.0,,,,,,,,,,,,,1,
