ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q05738,SRY_MOUSE,nan,MOUSE,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
Q28798,SRY_PANTR,ENSPTRP00000038745,PANTR,9.0,1,1,,,,1,1,1,,1,,1,1,1
Q05066,SRY_HUMAN,nan,HUMAN,8.0,1,,,,,1,1,1,,1,,1,1,1
Q9ERV8,Q9ERV8_RAT,nan,RAT,6.0,,,,,,1,1,1,,,,1,1,1
A7UT98,A7UT98_ANOGA,nan,ANOGA,2.0,1,,,,,,,,1,,,,,
Q9VLH8,Q9VLH8_DROME,nan,DROME,2.0,,,,,,,,,,1,,,,1
Q9VA17,Q9VA17_DROME,nan,DROME,2.0,,,,,,,,,1,,,1,,
Q7PMD4,Q7PMD4_ANOGA,nan,ANOGA,2.0,,,,,,,,,,1,,,,1
Q6C851,Q6C851_YARLI,nan,YARLI,2.0,,,1,1,,,,,,,,,,
A0NC02,A0NC02_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
nan,nan,ENSXETP00000016829,XENTR,1.0,,,,1,,,,,,,,,,
Q9XW73,Q9XW73_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
Q9VMD0,Q9VMD0_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
Q54TY7,SRFA_DICDI,nan,DICDI,1.0,,,,,,,,,,,,1,,
P91094,P91094_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
A2DRJ7,A2DRJ7_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,,,1
F1M3W3,F1M3W3_RAT,ENSRNOP00000047350,RAT,1.0,,,,,,,,,,,,1,,
C4QPX9,nan,nan,nan,1.0,,,,,,,,,,,,,,1
C3ZH94,C3ZH94_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
C1M135,nan,nan,nan,1.0,,,,,,,,,,1,,,,
A9VCR9,A9VCR9_MONBE,nan,MONBE,1.0,,,,,,,,,,1,,,,
A9VBB6,A9VBB6_MONBE,nan,MONBE,1.0,,,,,,,,,,,,,1,
A9UT61,A9UT61_MONBE,nan,MONBE,1.0,,,,,,,,,1,,,,,
A7SRZ8,A7SRZ8_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
A2EE44,A2EE44_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,,,1
A2EC93,A2EC93_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
nan,nan,ENSXETP00000017353,XENTR,1.0,,,,,,,,,,1,,,,
