ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F6XDJ5,F6XDJ5_CANFA,ENSCAFP00000004950,CANFA,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
P55055,NR1H2_HUMAN,nan,HUMAN,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q60644,NR1H2_MOUSE,nan,MOUSE,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q62755,NR1H2_RAT,nan,RAT,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
G8JKV9,G8JKV9_BOVIN,ENSBTAP00000004229,BOVIN,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
F6ZNM1,F6ZNM1_MACMU,ENSMMUP00000031505,MACMU,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q0IHW4,Q0IHW4_XENTR,ENSXETP00000000613,XENTR,12.0,1,,1,1,1,1,1,1,1,,1,1,1,1
H2QGX6,H2QGX6_PANTR,ENSPTRP00000019472,PANTR,11.0,1,1,1,1,1,,1,,1,,1,1,1,1
F6Y836,F6Y836_CIOIN,ENSCINP00000014778,CIOIN,7.0,,,,,,,1,1,1,,1,1,1,1
C3ZPQ2,C3ZPQ2_BRAFL,nan,BRAFL,6.0,,,,,,,,1,1,,1,1,1,1
A7S8G8,A7S8G8_NEMVE,nan,NEMVE,3.0,,,,,,,,,,,1,1,1,
H2UYA6,H2UYA6_TAKRU,ENSTRUP00000041935,TAKRU,3.0,,,,,,,,1,1,,1,,,
P34021,ECR_DROME,nan,DROME,3.0,,,,,,,,1,,,1,,,1
Q7PVB2,Q7PVB2_ANOGA,nan,ANOGA,3.0,,,,,,,,1,,,1,,,1
B7P9U9,B7P9U9_IXOSC,nan,IXOSC,3.0,,,,,,,,1,,,1,,,1
C3YIU8,C3YIU8_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,1,1,,
Q9NAJ3,Q9NAJ3_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,,1,1,
Q56A56,Q56A56_DANRE,nan,DANRE,2.0,,,,,,,,,1,,1,,,
Q23294,NHR11_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
Q7PQN6,Q7PQN6_ANOGA,nan,ANOGA,1.0,,,,,,,,,1,,,,,
Q86NH8,nan,nan,nan,1.0,,,,,,,,,,,,1,,
Q8ITW8,Q8ITW8_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
Q9N2W3,Q9N2W3_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
Q9N4Q7,NHR13_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
Q5WRP0,nan,nan,nan,1.0,,,,,,,,,,,,1,,
Q9XUK7,NHR85_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
Q24143,HR96_DROME,nan,DROME,1.0,,,,,,,,,1,,,,,
A7S012,A7S012_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,1,
Q18895,Q18895_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,,1
Q09587,NHR22_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
Q09565,NHR20_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
O45460,NHR54_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
O44577,O44577_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
F7B599,F7B599_CIOIN,ENSCINP00000008660,CIOIN,1.0,,,,,,,,,,,1,,,
C4QN62,nan,nan,nan,1.0,,,,,,,,,,,,,1,
C4Q875,nan,nan,nan,1.0,,,,,,,,,,,,,1,
C3YIU7,C3YIU7_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
B7PZ32,B7PZ32_IXOSC,nan,IXOSC,1.0,,,,,,,,,1,,,,,
A8WJ04,A8WJ04_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
A7UVD2,A7UVD2_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
A7TAF5,A7TAF5_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
Q9XZD4,nan,nan,nan,1.0,,,,,,,,,1,,,,,
