ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
O07257,O07257_MYCTU,nan,MYCTU,7.0,1,,,,1,,1,1,,,1,1,1,
B0R9T6,B0R9T6_HALS3,nan,HALS3,6.0,1,,,,1,,1,,,,1,1,1,
B8E379,B8E379_DICTD,nan,DICTD,5.0,1,,,,1,,1,1,,,1,,,
Q9WXX7,Y123_THEMA,nan,THEMA,4.0,,,,,1,,1,,,,1,,1,
Q89CM8,Q89CM8_BRADU,nan,BRADU,4.0,1,,,,1,,1,,,,1,,,
B5YH57,B5YH57_THEYD,nan,THEYD,4.0,,,,,1,,,,,,1,1,1,
O66870,O66870_AQUAE,nan,AQUAE,4.0,,,,,1,,,,,,1,1,1,
Q748L5,Q748L5_GEOSL,nan,GEOSL,4.0,,,,,1,,,,,,1,1,1,
A6VEX5,A6VEX5_PSEA7,nan,PSEA7,3.0,1,,,,1,,,,,,1,,,
Q8RI24,Q8RI24_FUSNN,nan,FUSNN,3.0,,,,,,,1,,,,,1,1,
Q7NG62,Q7NG62_GLOVI,nan,GLOVI,3.0,,,,,1,,1,,,,1,,,
Q79EF9,Q79EF9_SYNY3,nan,SYNY3,3.0,1,,,,1,,,,,,1,,,
A6V577,A6V577_PSEA7,nan,PSEA7,3.0,,,,,,,1,,,,,1,1,
P39172,ZNUA_ECOLI,nan,ECOLI,3.0,1,,,,1,,,,,,1,,,
P73085,P73085_SYNY3,nan,SYNY3,2.0,,,,,,,1,,,,1,,,
Q5JEZ0,Q5JEZ0_THEKO,nan,THEKO,2.0,,,,,1,,,,,,1,,,
O67917,O67917_AQUAE,nan,AQUAE,2.0,1,,,,,,,,,,1,,,
O34966,ZNUA_BACSU,nan,BACSU,2.0,,,,,1,,,,,,1,,,
B1L3B2,B1L3B2_KORCO,nan,KORCO,2.0,,,,,1,,,,,,1,,,
A9WEE6,A9WEE6_CHLAA,nan,CHLAA,2.0,,,,,1,,,,,,1,,,
Q8A2Q6,Q8A2Q6_BACTN,nan,BACTN,2.0,,,,,1,,,,,,1,,,
Q8RI23,Q8RI23_FUSNN,nan,FUSNN,2.0,,,,,,,,,,,,1,1,
Q8TUP2,Q8TUP2_METAC,nan,METAC,2.0,,,,,1,,,,,,1,,,
Q9L2H8,Q9L2H8_STRCO,nan,STRCO,2.0,,,,,1,,,,,,1,,,
Q3KLT8,Q3KLT8_CHLTA,nan,CHLTA,2.0,,,,,1,,,,,,1,,,
Q3KMV4,Q3KMV4_CHLTA,nan,CHLTA,1.0,,,,,,,,,,,1,,,
A9WC57,A9WC57_CHLAA,nan,CHLAA,1.0,,,,,,,1,,,,,,,
Q9RJG0,Q9RJG0_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q9RJG1,Q9RJG1_STRCO,nan,STRCO,1.0,,,,,,,1,,,,,,,
