ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A7RGX7,A7RGX7_NEMVE,nan,NEMVE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nan,nan,ENSCINP00000016341,CIOIN,9.0,1,1,,1,1,1,,1,,,1,1,1,
F1MI99,F1MI99_BOVIN,ENSBTAP00000018411,BOVIN,8.0,,1,,1,,1,1,1,,,1,1,1,
Q7SZF3,Q7SZF3_DANRE,nan,DANRE,8.0,,1,,,,1,1,1,,,1,1,1,1
F7FS85,F7FS85_MONDO,ENSMODP00000007714,MONDO,8.0,,1,,1,,1,1,1,,,1,1,1,
nan,nan,ENSCAFP00000024735,CANFA,7.0,,1,,,,1,1,1,,,1,1,1,
F7ES52,F7ES52_MACMU,ENSMMUP00000011592,MACMU,7.0,,1,,,,1,1,1,,,1,1,1,
H2QS06,H2QS06_PANTR,ENSPTRP00000029948,PANTR,7.0,,1,,,,1,1,1,,,1,1,1,
O42253,O42253_CHICK,nan,CHICK,7.0,,1,,,,1,1,1,,,1,1,1,
P28562,DUS1_HUMAN,nan,HUMAN,7.0,,1,,,,1,1,1,,,1,1,1,
Q64623,DUS1_RAT,nan,RAT,7.0,,1,,,,1,1,1,,,1,1,1,
P28563,DUS1_MOUSE,nan,MOUSE,7.0,,1,,,,1,1,1,,,1,1,1,
F6UWB2,F6UWB2_XENTR,ENSXETP00000017889,XENTR,6.0,,,,,,1,,1,,,1,1,1,1
H2SYV4,H2SYV4_TAKRU,ENSTRUP00000017592,TAKRU,6.0,,1,,,,1,,1,,,1,1,1,
H2UGQ6,H2UGQ6_TAKRU,ENSTRUP00000036127,TAKRU,6.0,,,,,1,,,1,,1,1,1,1,
H2TVI2,H2TVI2_TAKRU,ENSTRUP00000028691,TAKRU,6.0,,,1,,,,1,1,,,1,1,1,
Q6DBR5,Q6DBR5_DANRE,nan,DANRE,6.0,,,,,1,,,1,,1,1,1,1,
Q6GLD5,Q6GLD5_XENTR,ENSXETP00000002912,XENTR,6.0,,1,,,,,1,1,,,1,1,1,
F7CQH8,F7CQH8_ORNAN,ENSOANP00000022937,ORNAN,6.0,,1,,,,1,,1,,,1,1,1,
F6YIH7,F6YIH7_MONDO,ENSMODP00000010294,MONDO,5.0,,,,,1,,,1,,,1,1,1,
F1MP34,F1MP34_BOVIN,ENSBTAP00000027120,BOVIN,5.0,,,,,1,,,1,,,1,1,1,
F6YZQ7,F6YZQ7_MACMU,ENSMMUP00000012906,MACMU,5.0,,,,,,,,1,,1,1,1,1,
H2QVZ4,H2QVZ4_PANTR,ENSPTRP00000034454,PANTR,5.0,,,,,,,,1,,,1,1,1,1
F7BL26,F7BL26_MONDO,ENSMODP00000035725,MONDO,5.0,,,,,,,,1,,1,1,1,1,
F6PIH9,F6PIH9_ORNAN,ENSOANP00000013643,ORNAN,5.0,,,,,,,1,1,,,1,1,1,
F1NYC7,F1NYC7_CHICK,ENSGALP00000013956,CHICK,5.0,,,,,,,,1,,1,1,1,1,
F7F0Y9,F7F0Y9_ORNAN,ENSOANP00000002550,ORNAN,5.0,,,,,,,,1,,1,1,1,1,
F1MQM7,F1MQM7_BOVIN,ENSBTAP00000027029,BOVIN,5.0,,,,,,,,1,,1,1,1,1,
F6Y067,F6Y067_CANFA,ENSCAFP00000031099,CANFA,5.0,,,,,1,,,1,,,1,1,1,
Q9PW71,DUS4_CHICK,nan,CHICK,5.0,,,,,,,,1,,,1,1,1,1
Q8BFV3,DUS4_MOUSE,nan,MOUSE,5.0,,,,,,,,1,,,1,1,1,1
F7HKX4,F7HKX4_MACMU,ENSMMUP00000010601,MACMU,5.0,,,,,,,,1,,,1,1,1,1
Q05922,DUS2_MOUSE,nan,MOUSE,5.0,,,,,1,,,1,,,1,1,1,
Q05923,DUS2_HUMAN,nan,HUMAN,5.0,,,,,1,,,1,,,1,1,1,
Q13115,DUS4_HUMAN,nan,HUMAN,5.0,,,,,,,,1,,,1,1,1,1
Q16690,DUS5_HUMAN,nan,HUMAN,5.0,,,,,,,,1,,1,1,1,1,
Q5M863,Q5M863_RAT,nan,RAT,5.0,,,,,1,,,1,,,1,1,1,
Q62767,DUS4_RAT,nan,RAT,5.0,,,,,,,,1,,,1,1,1,1
Q6PBT4,Q6PBT4_DANRE,nan,DANRE,5.0,,,,,,,,1,,1,1,1,1,
nan,nan,ENSCAFP00000015867,CANFA,5.0,,,,,,,,1,,1,1,1,1,
nan,nan,ENSCAFP00000009857,CANFA,5.0,,,,,,,,1,,,1,1,1,1
O54838,DUS5_RAT,nan,RAT,5.0,,,,,,,,1,,1,1,1,1,
H2R7E0,H2R7E0_PANTR,ENSPTRP00000050267,PANTR,4.0,,,,,,,,,,1,1,1,1,
H2SVX2,H2SVX2_TAKRU,ENSTRUP00000016560,TAKRU,4.0,,,,,,,,1,,,1,1,1,
Q7ZVL8,Q7ZVL8_DANRE,nan,DANRE,4.0,,,,,,,,1,,,1,1,1,
H9H3F5,H9H3F5_MACMU,ENSMMUP00000014196,MACMU,4.0,,,,,1,,,,,,1,1,1,
F7C617,F7C617_MONDO,ENSMODP00000023720,MONDO,4.0,,,,,,,,,,1,1,1,1,
F1MM08,F1MM08_BOVIN,ENSBTAP00000053215,BOVIN,4.0,,,,,,,,1,,,1,1,1,
F6UVL5,F6UVL5_XENTR,ENSXETP00000040514,XENTR,4.0,,,,,,,,1,,,1,1,1,
C3Z8W6,C3Z8W6_BRAFL,nan,BRAFL,4.0,,,,,1,,,,,,1,1,1,
O13453,PMP1_SCHPO,nan,SCHPO,3.0,,,,,1,,,,1,,1,,,
Q6C3C4,Q6C3C4_YARLI,nan,YARLI,3.0,,,,,1,,,,,,1,1,,
A9SCV4,A9SCV4_PHYPA,nan,PHYPA,3.0,,,,,,,,,1,,1,,1,
Q84JU4,IBR5_ARATH,nan,ARATH,3.0,,,,,,,,,1,,1,,1,
Q8IKS8,Q8IKS8_PLAF7,nan,PLAF7,3.0,,,,,,,1,,,1,,,1,
Q5KHZ8,Q5KHZ8_CRYNJ,nan,CRYNJ,3.0,,,,,1,,,,1,,1,,,
B0XU86,B0XU86_ASPFC,nan,ASPFC,2.0,,,,,1,,,,,,1,,,
A9RND7,A9RND7_PHYPA,nan,PHYPA,2.0,,,,,1,,,,,,1,,,
Q5APU2,CPP1_CANAL,nan,CANAL,2.0,,,,,1,,,,,,1,,,
A9UZ47,A9UZ47_MONBE,nan,MONBE,2.0,,,,,,,,1,1,,,,,
A2E6H4,A2E6H4_TRIVA,nan,TRIVA,2.0,,,,,,1,,1,,,,,,
A9URR7,A9URR7_MONBE,nan,MONBE,2.0,,,,,1,,,,,,1,,,
Q55CS7,MPL1_DICDI,nan,DICDI,2.0,,,,,1,,,,,,1,,,
E9ACT8,E9ACT8_LEIMA,nan,LEIMA,2.0,,,,,,,,,,1,1,,,
Q4Q8Q3,Q4Q8Q3_LEIMA,nan,LEIMA,2.0,,,,,,,,1,,,,1,,
Q4Q8J0,Q4Q8J0_LEIMA,nan,LEIMA,2.0,,,,,1,,,,,,1,,,
Q4Q2Y1,Q4Q2Y1_LEIMA,nan,LEIMA,2.0,,,,,,1,,1,,,,,,
Q4PC60,Q4PC60_USTMA,nan,USTMA,2.0,,,,,,,,,,,,1,1,
Q7SB61,Q7SB61_NEUCR,nan,NEUCR,2.0,,,,,1,,,,,,1,,,
B8BQV2,B8BQV2_THAPS,nan,THAPS,2.0,,,,,1,,,,,,1,,,
Q0U8Q0,Q0U8Q0_PHANO,nan,PHANO,2.0,,,,,1,,,,,,1,,,
A7ENQ1,A7ENQ1_SCLS1,nan,SCLS1,2.0,,,,,1,,,,,,1,,,
P40479,SDP1_YEAST,nan,YEAST,2.0,,,,,,,,,1,,1,,,
P38590,MSG5_YEAST,nan,YEAST,2.0,,,,,1,,,,,,1,,,
Q9ZR37,DUS1_ARATH,nan,ARATH,2.0,,,,,1,,,,,,1,,,
Q8X0K3,Q8X0K3_NEUCS,nan,NEUCR,2.0,,1,,,,,,,,,,1,,
C3YGW8,C3YGW8_BRAFL,nan,BRAFL,2.0,,,,,,1,,1,,,,,,
Q9M8K7,DUS1B_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
A9RFI3,A9RFI3_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,,,1,
A9V0Y3,A9V0Y3_MONBE,nan,MONBE,1.0,,,,,,,,,1,,,,,
A2GAH5,A2GAH5_TRIVA,nan,TRIVA,1.0,,,,,,,,1,,,,,,
Q7PV94,Q7PV94_ANOGA,nan,ANOGA,1.0,,,,,,,,1,,,,,,
A2FU22,A2FU22_TRIVA,nan,TRIVA,1.0,,,,,,,,1,,,,,,
A9SR40,A9SR40_PHYPA,nan,PHYPA,1.0,,,,,,,,,,1,,,,
Q95SV1,nan,nan,nan,1.0,,,,,,,,1,,,,,,
A6V4S3,A6V4S3_PSEA7,nan,PSEA7,1.0,,,,,,,,,,,1,,,
Q54CK7,Q54CK7_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
A9WCD0,A9WCD0_CHLAA,nan,CHLAA,1.0,,,,,,,,,,,1,,,
Q5AP98,nan,nan,nan,1.0,,,,,,,,,,,,1,,
H2S2P7,H2S2P7_TAKRU,ENSTRUP00000006668,TAKRU,1.0,,,,,,,,,,,,1,,
C4Q6Q7,nan,nan,nan,1.0,,,,,,,,1,,,,,,
C4Q3R7,nan,nan,nan,1.0,,,,,,,,1,,,,,,
A2DUX9,A2DUX9_TRIVA,nan,TRIVA,1.0,,,,,,,,1,,,,,,
C3YV63,C3YV63_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
O44128,O44128_CAEEL,nan,CAEEL,1.0,,,,,,,,,,1,,,,
B8CBR9,B8CBR9_THAPS,nan,THAPS,1.0,,,,,,,,,,,1,,,
B8BSX6,B8BSX6_THAPS,nan,THAPS,1.0,,,,,,,,,,,1,,,
P38148,PPS1_YEAST,nan,YEAST,1.0,1,,,,,,,,,,,,,
P76093,YNBD_ECOLI,nan,ECOLI,1.0,,,,,,,,,,,1,,,
B8BSX5,B8BSX5_THAPS,nan,THAPS,1.0,,,,,,,,,,,1,,,
Q0U2I4,Q0U2I4_PHANO,nan,PHANO,1.0,,,,,,1,,,,,,,,
Q0V615,Q0V615_PHANO,nan,PHANO,1.0,,1,,,,,,,,,,,,
B7QEI6,B7QEI6_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
Q4QJI1,Q4QJI1_LEIMA,nan,LEIMA,1.0,,,,,,,,1,,,,,,
Q54R42,DUSP2_DICDI,nan,DICDI,1.0,,,,,,,,,,1,,,,
Q55CS8,MPL2_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q55E39,DUSP1_DICDI,nan,DICDI,1.0,,,,,,,,,,1,,,,
Q5AFN5,Q5AFN5_CANAL,nan,CANAL,1.0,,,,,,1,,,,,,,,
A2DR13,A2DR13_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
