ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A7RK86,A7RK86_NEMVE,nan,NEMVE,7.0,1,1,,,,1,,1,1,,,1,1,
nan,nan,ENSPTRP00000057895,PANTR,4.0,1,1,,,,,,,1,,,1,,
D3ZQA6,D3ZQA6_RAT,nan,RAT,4.0,1,1,,,,,,,1,,,1,,
A6QPM3,PRDM6_BOVIN,ENSBTAP00000027421,BOVIN,3.0,1,,,,,,,,1,,,1,,
Q9NQX0,PRDM6_HUMAN,nan,HUMAN,3.0,1,,,,,,,,1,,,1,,
Q3UZD5,PRDM6_MOUSE,nan,MOUSE,3.0,1,,,,,,,,1,,,1,,
F7BC20,F7BC20_MACMU,ENSMMUP00000013956,MACMU,3.0,1,,,,,,,,1,,,1,,
F6ZMU6,F6ZMU6_XENTR,ENSXETP00000022617,XENTR,3.0,,,,,,,,1,1,,,1,,
F1PD75,F1PD75_CANFA,ENSCAFP00000031903,CANFA,3.0,1,,,,,,,,1,,,1,,
C3Y206,C3Y206_BRAFL,nan,BRAFL,3.0,1,,,,,,,,1,,,1,,
F1NZV2,F1NZV2_CHICK,ENSGALP00000008574,CHICK,2.0,,,,,,,,,1,,,1,,
F7CNI7,F7CNI7_MONDO,ENSMODP00000016775,MONDO,2.0,,,,,,,,,1,,,1,,
H2TX62,H2TX62_TAKRU,ENSTRUP00000029271,TAKRU,2.0,,,,,,,,,1,,,1,,
D4AAE3,nan,nan,nan,1.0,,,,,,,,,,,,,1,
B7QA29,B7QA29_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,1,,
Q5BPS3,DOR_ARATH,nan,ARATH,1.0,,,,,,1,,,,,,,,
A9QTG7,A9QTG7_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,1,
A5XCE8,A5XCE8_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,1,
