ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A7RNL2,A7RNL2_NEMVE,nan,NEMVE,10.0,1,,1,1,,1,1,1,,1,,1,1,1
C4QNQ6,nan,nan,nan,3.0,,,,,,1,,1,,,,,,1
B7Q1Z8,B7Q1Z8_IXOSC,nan,IXOSC,3.0,,,,,,,1,1,,,,,,1
F6ZP73,F6ZP73_XENTR,ENSXETP00000046406,XENTR,2.0,,,,,,,,,,1,,,,1
F6QN08,F6QN08_ORNAN,ENSOANP00000011726,ORNAN,2.0,1,,1,,,,,,,,,,,
F7FEW6,F7FEW6_MACMU,ENSMMUP00000004517,MACMU,2.0,1,,,,,,,,,,,,,1
B7P5M3,B7P5M3_IXOSC,nan,IXOSC,2.0,,,,,,,,1,,,,,,1
H2U9G7,H2U9G7_TAKRU,ENSTRUP00000033583,TAKRU,1.0,,,,,,,,,,1,,,,
H2UIH3,H2UIH3_TAKRU,ENSTRUP00000036744,TAKRU,1.0,,,,,,,,,,,,,,1
H2UKE4,H2UKE4_TAKRU,ENSTRUP00000037415,TAKRU,1.0,,,,,,,,,,1,,,,
H2V198,H2V198_TAKRU,ENSTRUP00000042978,TAKRU,1.0,,,,,,,,,,,,,,1
O00533,NCHL1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,,1
H2V1I0,H2V1I0_TAKRU,ENSTRUP00000043060,TAKRU,1.0,,,,,,,,,,,,,,1
H2U4Z9,H2U4Z9_TAKRU,ENSTRUP00000032012,TAKRU,1.0,,,,,,,1,,,,,,,
O60469,DSCAM_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
O88524,O88524_RAT,nan,RAT,1.0,,,,,,,,,,,,,,1
P11627,L1CAM_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,,,1
P20241,NRG_DROME,nan,DROME,1.0,,,,,,,,,,,,,,1
H2U7C2,H2U7C2_TAKRU,ENSTRUP00000032838,TAKRU,1.0,,,,,,,,,,,,,,1
H2TNU6,H2TNU6_TAKRU,ENSTRUP00000026352,TAKRU,1.0,,,,,,,,,,,,,,1
H2TQK9,H2TQK9_TAKRU,ENSTRUP00000026966,TAKRU,1.0,,,,,,,,,,,,,,1
H2TQD4,H2TQD4_TAKRU,ENSTRUP00000026891,TAKRU,1.0,,,,1,,,,,,,,,,
P35331,NRCAM_CHICK,nan,CHICK,1.0,,,,,,,,,,,,,,1
H2RW87,H2RW87_TAKRU,ENSTRUP00000004407,TAKRU,1.0,,,,,,,,,,1,,,,
H2RTA0,H2RTA0_TAKRU,ENSTRUP00000003367,TAKRU,1.0,,,,,,,,,,1,,,,
H2QMY0,H2QMY0_PANTR,ENSPTRP00000026088,PANTR,1.0,,,,,,,1,,,,,,,
H2QLY7,H2QLY7_PANTR,ENSPTRP00000025098,PANTR,1.0,,,,,,,,,,,,,,1
H2QL16,H2QL16_PANTR,ENSPTRP00000023956,PANTR,1.0,,,,,,,,,,1,,,,
H2Q9R9,H2Q9R9_PANTR,ENSPTRP00000012417,PANTR,1.0,,,,1,,,,,,,,,,
H2Q4V0,H2Q4V0_PANTR,ENSPTRP00000007420,PANTR,1.0,,,,,,,,,,1,,,,
F7GQV2,F7GQV2_MACMU,ENSMMUP00000002457,MACMU,1.0,,,,,,,1,,,,,,,
F7EYT9,F7EYT9_ORNAN,ENSOANP00000014971,ORNAN,1.0,,,,,,,,,,,,,,1
F7EYT5,F7EYT5_ORNAN,ENSOANP00000014972,ORNAN,1.0,,,,,,,,,,,,,,1
P32004,L1CAM_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,,1
P97686,NRCAM_RAT,nan,RAT,1.0,,,,,,,,,,,,,,1
P70232,NCHL1_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,,,1
P97300,NPTN_MOUSE,nan,MOUSE,1.0,,,,1,,,,,,,,,,
nan,nan,ENSXETP00000021843,XENTR,1.0,,,,,,,,,,,,,,1
nan,nan,ENSPTRP00000056870,PANTR,1.0,,,,,,,,,,,,,,1
nan,nan,ENSPTRP00000046106,PANTR,1.0,,,,,,,,,,,,,,1
nan,nan,ENSOANP00000021255,ORNAN,1.0,,,,,,,1,,,,,,,
nan,nan,ENSMODP00000034624,MONDO,1.0,,,,,,,,,,,,,,1
nan,nan,ENSMODP00000005117,MONDO,1.0,,,,,,,,,,,,,,1
nan,nan,ENSCAFP00000028640,CANFA,1.0,,,,,,,,,,,,,,1
Q9Y639,NPTN_HUMAN,nan,HUMAN,1.0,,,,1,,,,,,,,,,
Q9VS29,DSCL_DROME,nan,DROME,1.0,,,,,,,,,,1,,,,
Q9VN14,CONT_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
Q9P232,CNTN3_HUMAN,nan,HUMAN,1.0,,,,,,,1,,,,,,,
Q9ERC8,DSCAM_MOUSE,nan,MOUSE,1.0,,,,,,,,,,1,,,,
Q92823,NRCAM_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,,1
Q90933,Q90933_CHICK,nan,CHICK,1.0,,,,,,,,,,,,,,1
Q90478,L1CA1_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,,1
Q8WR45,nan,nan,nan,1.0,,,,,,,,,,,,,,1
Q8VHZ8,DSCAM_RAT,nan,RAT,1.0,,,,,,,,,,1,,,,
Q8TD84,DSCL1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
Q810U4,NRCAM_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,,,1
Q7PG72,Q7PG72_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,,,1
Q62845,CNTN4_RAT,nan,RAT,1.0,,,,,,,1,,,,,,,
Q61330,CNTN2_MOUSE,nan,MOUSE,1.0,,,,,,,1,,,,,,,
Q53CM6,Q53CM6_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
Q4VA61,DSCL1_MOUSE,nan,MOUSE,1.0,,,,,,,,,,1,,,,
Q05695,L1CAM_RAT,nan,RAT,1.0,,,,,,,,,,,,,,1
Q03696,NGCA_CHICK,nan,CHICK,1.0,,,,,,,,,,,,,,1
F7CZ98,F7CZ98_MACMU,ENSMMUP00000006849,MACMU,1.0,,,,,,,,,,1,,,,
F7DQP9,F7DQP9_ORNAN,ENSOANP00000005619,ORNAN,1.0,,,,,,,,,,,,,,1
A2CEC7,nan,nan,nan,1.0,,,,,,,,,,1,,,,
F7CQ31,F7CQ31_MACMU,ENSMMUP00000010242,MACMU,1.0,,,,,,,,,,1,,,,
F7B8S4,F7B8S4_MACMU,ENSMMUP00000001799,MACMU,1.0,,,,,,,,,,,,,,1
E1BLM2,E1BLM2_BOVIN,ENSBTAP00000008864,BOVIN,1.0,,,,,,,,,,,,,,1
E1BE12,E1BE12_BOVIN,ENSBTAP00000053677,BOVIN,1.0,,,,,,,1,,,,,,,
E1BBI3,E1BBI3_BOVIN,ENSBTAP00000017906,BOVIN,1.0,,,,,,,,,,,,,,1
D3ZPL7,D3ZPL7_RAT,nan,RAT,1.0,,,,,,,,,,1,,,,
D3ZNM3,nan,nan,nan,1.0,1,,,,,,,,,,,,,
C6ESH0,C6ESH0_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,,1
C4QNB7,nan,nan,nan,1.0,,,,,,,1,,,,,,,
C3Z7C4,C3Z7C4_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C3YJC2,C3YJC2_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
C3YAA7,C3YAA7_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,,1
B8JI48,nan,nan,nan,1.0,,,,,,,1,,,,,,,
B7ZVF0,B7ZVF0_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,,1
B7QNJ6,B7QNJ6_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
B7QIJ4,B7QIJ4_IXOSC,nan,IXOSC,1.0,,,,1,,,,,,,,,,
B7QEV4,B7QEV4_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
B7QEV0,B7QEV0_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
B7QEU6,B7QEU6_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
B7QEU1,B7QEU1_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
B7PFS3,B7PFS3_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
B7PFS0,B7PFS0_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
B7PCC0,B7PCC0_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
B7PAM8,B7PAM8_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
B7P7Y5,B7P7Y5_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,1,,
B7P4A1,B7P4A1_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
B7P416,B7P416_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
B3DGN9,B3DGN9_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,,1
A7UTI9,A7UTI9_ANOGA,nan,ANOGA,1.0,,,,,,,,,,1,,,,
E1BUZ9,nan,nan,nan,1.0,,,,,,,,,,,,,,1
E1BZF3,nan,nan,nan,1.0,,,,,,,,,,1,,,,
E1C8P7,E1C8P7_CHICK,nan,CHICK,1.0,,,,,,,,,,1,,,,
F1QD80,F1QD80_DANRE,ENSDARP00000050624,DANRE,1.0,,,,,,,,,,,,,1,
A4IHA8,A4IHA8_XENTR,ENSXETP00000001607,XENTR,1.0,,,,,,,,,,,,,,1
F6ZNR9,F6ZNR9_XENTR,ENSXETP00000034441,XENTR,1.0,,,,,,,,,,,,,,1
F6X6W5,F6X6W5_MONDO,ENSMODP00000005325,MONDO,1.0,,,,,,,1,,,,,,,
F6WYK2,F6WYK2_ORNAN,ENSOANP00000009330,ORNAN,1.0,,,,,,,,,,1,,,,
F6WVW2,F6WVW2_CIOIN,ENSCINP00000014525,CIOIN,1.0,,,,,,,,,,,,,,1
F6WH01,F6WH01_ORNAN,ENSOANP00000010260,ORNAN,1.0,,,,,,,,,,1,,,,
F6VM98,F6VM98_MACMU,ENSMMUP00000016029,MACMU,1.0,,,,,,,,,,,,,,1
F6VBN0,F6VBN0_ORNAN,ENSOANP00000005308,ORNAN,1.0,,,,,,,,,,,,,,1
F6TY02,F6TY02_MONDO,ENSMODP00000017082,MONDO,1.0,,,,,,,,,,1,,,,
F6TR74,F6TR74_XENTR,ENSXETP00000008098,XENTR,1.0,,,,,,,,,,1,,,,
F6SNE0,F6SNE0_MONDO,ENSMODP00000026222,MONDO,1.0,,,,,,,,,,1,,,,
F6PJP1,F6PJP1_MONDO,ENSMODP00000027544,MONDO,1.0,,,,,,,,,,,,,,1
F1PEX2,F1PEX2_CANFA,ENSCAFP00000005590,CANFA,1.0,,,,,,,,,,,,,,1
E2R0T5,E2R0T5_CANFA,ENSCAFP00000009558,CANFA,1.0,,,,,,,1,,,,,,,
F1PEK4,F1PEK4_CANFA,ENSCAFP00000019097,CANFA,1.0,,,,,,,,,,1,,,,
F1PDQ0,F1PDQ0_CANFA,ENSCAFP00000026276,CANFA,1.0,,,,1,,,,,,,,,,
F1PA86,F1PA86_CANFA,ENSCAFP00000014904,CANFA,1.0,,,,,,,,,,1,,,,
F1NY98,F1NY98_CHICK,ENSGALP00000025946,CHICK,1.0,,,,,,,,,,1,,,,
F1NUS6,F1NUS6_CHICK,ENSGALP00000012826,CHICK,1.0,,,,,,,,,,,,,,1
F1NL84,F1NL84_CHICK,ENSGALP00000012746,CHICK,1.0,,,,,,,1,,,,,,,
F1N4K6,F1N4K6_BOVIN,ENSBTAP00000030152,BOVIN,1.0,,,,,,,,,,1,,,,
F1MW33,F1MW33_BOVIN,ENSBTAP00000032011,BOVIN,1.0,,,,,,,,,,,,,,1
F1MKB9,F1MKB9_BOVIN,ENSBTAP00000006240,BOVIN,1.0,,,,,,,,,,1,,,,
E7F8Q3,E7F8Q3_DANRE,ENSDARP00000103349,DANRE,1.0,,,,,,,,,,,,,,1
E7F080,E7F080_DANRE,ENSDARP00000074099,DANRE,1.0,,,,,,,,,,1,,,,
E2R7N6,E2R7N6_CANFA,ENSCAFP00000009401,CANFA,1.0,,,,,,,,,,,,,,1
nan,nan,ENSXETP00000034472,XENTR,1.0,,,,,,,1,,,,,,,
