ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
B8BU50,B8BU50_THAPS,nan,THAPS,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A7RSE1,A7RSE1_NEMVE,nan,NEMVE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B0Y4T2,B0Y4T2_ASPFC,nan,ASPFC,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
Q12486,YOR31_YEAST,nan,YEAST,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
Q6C8A6,Q6C8A6_YARLI,nan,YARLI,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
Q8RYE9,GPPL3_ARATH,nan,ARATH,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
Q0U0P4,Q0U0P4_PHANO,nan,PHANO,11.0,1,,,1,1,1,1,1,1,1,1,,1,1
Q7S2H1,Q7S2H1_NEUCR,nan,NEUCR,10.0,1,,,1,,1,1,1,1,1,,1,1,1
A7EZM8,A7EZM8_SCLS1,nan,SCLS1,10.0,1,1,,,,1,1,1,1,1,,1,1,1
Q55CV1,Q55CV1_DICDI,nan,DICDI,9.0,1,,,1,,1,1,,1,1,,1,1,1
Q74FB5,Q74FB5_GEOSL,nan,GEOSL,9.0,1,1,,1,1,,1,1,,1,1,,1,
A6V0G7,A6V0G7_PSEA7,nan,PSEA7,9.0,1,1,1,,1,,1,1,,1,1,,1,
A9RSL1,A9RSL1_PHYPA,nan,PHYPA,8.0,,,1,,,1,1,1,1,1,,,1,1
A9RGD9,A9RGD9_PHYPA,nan,PHYPA,5.0,,,,,,,,1,1,1,,,1,1
A9V7U1,A9V7U1_MONBE,nan,MONBE,2.0,,,,,,,,,,,,1,1,
A8BXV6,A8BXV6_GIAIC,nan,GIAIC,2.0,,,,,,1,1,,,,,,,
Q5JHS2,Q5JHS2_THEKO,nan,THEKO,2.0,,,,,,,,1,,,,,1,
D7SFJ0,D7SFJ0_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,,1,1,
P68911,nan,nan,nan,2.0,1,,,,,,1,,,,,,,
Q9JMQ2,PPAX_BACSU,nan,BACSU,2.0,1,,,,,,1,,,,,,,
C3ZRF5,C3ZRF5_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,,1,1,
B1L3G5,B1L3G5_KORCO,nan,KORCO,2.0,1,,,,,,,,,,,1,,
B8E1L5,B8E1L5_DICTD,nan,DICTD,2.0,,,,,1,,,,,,1,,,
Q5JCY5,Q5JCY5_THEKO,nan,THEKO,1.0,,,,,,,,1,,,,,,
Q5A4Q0,Q5A4Q0_CANAL,nan,CANAL,1.0,,,,,,,,,,,,,1,
Q5JJ47,Q5JJ47_THEKO,nan,THEKO,1.0,,,,,,,,1,,,,,,
Q5KF40,Q5KF40_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,,,,,1,
Q5K7T2,Q5K7T2_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,,,,,1,
Q2KJ86,Q2KJ86_BOVIN,ENSBTAP00000000246,BOVIN,1.0,,,,,,,,,,,,,1,
A0T4G2,A0T4G2_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,,1,
Q6C0G1,Q6C0G1_YARLI,nan,YARLI,1.0,,,,,,,,,,,,,1,
Q7UR65,Q7UR65_RHOBA,nan,RHOBA,1.0,,,,,,,,,,,,1,,
Q94529,GS1_DROME,nan,DROME,1.0,,,,,,,,,,,,,1,
Q9D5U5,HDHD1_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,,1,
Q28I61,Q28I61_XENTR,ENSXETP00000017918,XENTR,1.0,,,,,,,,,,,,,1,
Q9KY44,Q9KY44_STRCO,nan,STRCO,1.0,,,,,,,,,,,,,1,
Q9Y1A1,nan,nan,nan,1.0,,,,,,,,,,,,,1,
nan,nan,ENSCINP00000024892,CIOIN,1.0,,,,,,,,,,,,,1,
