ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A7S0W7,A7S0W7_NEMVE,nan,NEMVE,9.0,1,1,1,,,1,1,,1,1,,1,,1
C4Q2T3,nan,nan,nan,5.0,1,,,,,1,1,,1,,,1,,
nan,nan,ENSCINP00000025404,CIOIN,4.0,,1,1,,,,,,1,,,1,,
O43058,SEP1_SCHPO,nan,SCHPO,3.0,,,,,,,1,,,,,1,,1
F7EAZ0,F7EAZ0_ORNAN,ENSOANP00000026789,ORNAN,3.0,,,1,,,,,,1,1,,,,
Q7SAT6,nan,nan,nan,2.0,,,,,,,1,,,,,,,1
O13606,MEI4_SCHPO,nan,SCHPO,2.0,,,,,,,,,,,,1,,1
Q63250,FOXE3_RAT,nan,RAT,2.0,,,1,,,,,,1,,,,,
F7D320,F7D320_MACMU,ENSMMUP00000025620,MACMU,2.0,,,1,,,,,,1,,,,,
Q6CDD1,Q6CDD1_YARLI,nan,YARLI,2.0,,,,,,1,,,,,,,,1
C3ZBN9,C3ZBN9_BRAFL,nan,BRAFL,2.0,,,,,,,,,,1,,1,,
C3YMY7,C3YMY7_BRAFL,nan,BRAFL,2.0,,,1,,,,,,1,,,,,
F1P6E0,F1P6E0_CANFA,ENSCAFP00000005967,CANFA,2.0,,,1,,,,,,1,,,,,
nan,nan,ENSBTAP00000049476,BOVIN,2.0,,,1,,,,,,1,,,,,
Q7T1C1,Q7T1C1_DANRE,nan,DANRE,2.0,,,,,,,,,,,,1,,1
O73780,O73780_DANRE,nan,DANRE,2.0,,,,,,,,,,1,,,,1
C3XQA0,C3XQA0_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,,1,,1
Q12951,FOXI1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,,1
Q4QRE5,Q4QRE5_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
Q4PFS1,Q4PFS1_USTMA,nan,USTMA,1.0,,,,,,,1,,,,,,,
Q4H3I6,Q4H3I6_CIOIN,ENSCINP00000014814,CIOIN,1.0,,,,,,,,,,,,1,,
Q1LV18,Q1LV18_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
O60129,FKH2_SCHPO,nan,SCHPO,1.0,,,,,,,,,,,,1,,
P32030,SLP1_DROME,nan,DROME,1.0,,,,,,,,,,,,,,1
O73779,O73779_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
Q10924,Q10924_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,,1
O73781,O73781_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
P25364,HCM1_YEAST,nan,YEAST,1.0,,,,,,,,,,,,,,1
Q0UFZ7,Q0UFZ7_PHANO,nan,PHANO,1.0,,,,,,,,,,,,,,1
Q5APB2,Q5APB2_CANAL,nan,CANAL,1.0,,,,,,,,,,,,,,1
P34683,LIN31_CAEEL,nan,CAEEL,1.0,,,,,,,,,,1,,,,
A7E5K5,A7E5K5_SCLS1,nan,SCLS1,1.0,,,,,,,,,,,,,,1
Q5TUU4,Q5TUU4_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,,,1
Q7PVY5,Q7PVY5_ANOGA,nan,ANOGA,1.0,,,,,,,,,,1,,,,
nan,nan,ENSCINP00000027339,CIOIN,1.0,,,,,,,,,1,,,,,
nan,nan,ENSCINP00000017989,CIOIN,1.0,,,,,,,,,,1,,,,
nan,nan,ENSCAFP00000005966,CANFA,1.0,,,,,,,,,1,,,,,
Q9DGG2,Q9DGG2_CHICK,nan,CHICK,1.0,,,,,,,,,1,,,,,
Q99853,FOXB1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
Q922I5,FOXI1_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,,,1
Q7T1C0,Q7T1C0_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,,1
Q6P8A3,FXI1E_XENTR,ENSXETP00000005340,XENTR,1.0,,,,,,,,,,,,,,1
