ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A7S4C4,A7S4C4_NEMVE,nan,NEMVE,7.0,,,,,1,,,,1,1,1,1,1,1
Q8GYB4,CAAT3_ARATH,nan,ARATH,4.0,,,,,1,,,,,,1,1,1,
Q7NK14,Q7NK14_GLOVI,nan,GLOVI,4.0,,,,,1,,,,,,1,1,1,
Q797A7,YFNA_BACSU,nan,BACSU,4.0,,,,,1,,,,,,1,1,1,
B8BQ56,B8BQ56_THAPS,nan,THAPS,4.0,,,,,1,,,,,,1,1,1,
O05896,O05896_MYCTU,nan,MYCTU,4.0,,,,,1,,,,,,1,1,1,
B1L590,B1L590_KORCO,nan,KORCO,4.0,,,,,1,,,,,,1,1,1,
Q54W03,Q54W03_DICDI,nan,DICDI,4.0,,,,,1,,,,,,1,1,1,
O07576,YHDG_BACSU,nan,BACSU,3.0,,,,,,,,,,,1,1,1,
E2RDE7,E2RDE7_CANFA,ENSCAFP00000022120,CANFA,3.0,,,,,1,,,,,,1,,,1
F6SWF3,F6SWF3_XENTR,ENSXETP00000046724,XENTR,3.0,,,,,1,,,,,,1,,,1
F6ULN0,F6ULN0_MONDO,ENSMODP00000017922,MONDO,3.0,,,,,1,,,,,,1,,,1
F6V927,F6V927_MACMU,ENSMMUP00000014640,MACMU,3.0,,,,,1,,,,,,1,,,1
H2R731,H2R731_PANTR,ENSPTRP00000049833,PANTR,3.0,,,,,1,,,,,,1,,,1
H2STN9,H2STN9_TAKRU,ENSTRUP00000015776,TAKRU,3.0,,,,,1,,,,,,1,,,1
Q8W4K3,CAAT4_ARATH,nan,ARATH,3.0,,,,,,,,,,,1,1,1,
D4A9X0,nan,nan,nan,3.0,,,,,1,,,,,,1,,,1
O43246,CTR4_HUMAN,nan,HUMAN,3.0,,,,,1,,,,,,1,,,1
O44798,O44798_CAEEL,nan,CAEEL,3.0,,,,,1,,,,,,1,,,1
O64759,CAAT5_ARATH,nan,ARATH,3.0,,,,,,,,,,,1,1,1,
O69844,O69844_STRCO,nan,STRCO,3.0,,,,,1,,,,,,1,,1,
Q97Y76,Q97Y76_SULSO,nan,SULSO,3.0,,,,,1,,,,,,1,1,,
Q9LZ20,CAAT6_ARATH,nan,ARATH,3.0,,,,,,,,,,,1,1,1,
P71892,P71892_MYCTU,nan,MYCTU,3.0,,,,,,,,,,,1,1,1,
Q9ASS7,CAAT2_ARATH,nan,ARATH,3.0,,,,,,,,,,,1,1,1,
E1BCI3,E1BCI3_BOVIN,ENSBTAP00000012050,BOVIN,3.0,,,,,1,,,,,,1,,,1
Q9C5D6,CAAT9_ARATH,nan,ARATH,3.0,,,,,,,,,,,1,1,1,
B7P272,B7P272_IXOSC,nan,IXOSC,3.0,,,,,1,,,,,,1,,,1
C4PY44,nan,nan,nan,3.0,,,,,1,,,,,,1,,,1
Q7Q8T5,Q7Q8T5_ANOGA,nan,ANOGA,3.0,,,,,1,,,,,,1,,,1
C3XPQ7,C3XPQ7_BRAFL,nan,BRAFL,3.0,,,,,1,,,,,,1,,,1
B8CGE4,B8CGE4_THAPS,nan,THAPS,3.0,,,,,,,,,,,1,1,1,
B8BZV9,B8BZV9_THAPS,nan,THAPS,3.0,,,,,,,,,,,1,1,1,
Q8BLQ7,CTR4_MOUSE,ENSMUSP00000127280,MOUSE,3.0,,,,,1,,,,,,1,,,1
Q9SHH0,CAAT8_ARATH,nan,ARATH,3.0,,,,,,,,,,,1,1,1,
nan,nan,ENSCINP00000009094,CIOIN,3.0,,,,,1,,,,,,1,,,1
Q9SQZ0,CAAT7_ARATH,nan,ARATH,3.0,,,,,,,,,,,1,1,1,
Q9VPG2,Q9VPG2_DROME,nan,DROME,3.0,,,,,1,,,,,,1,,,1
Q84MA5,CAAT1_ARATH,nan,ARATH,3.0,,,,,,,,,,,1,1,1,
A9TH89,A9TH89_PHYPA,nan,PHYPA,3.0,,,,,1,,,,,,1,,1,
Q8AY30,Q8AY30_DANRE,nan,DANRE,3.0,,,,,1,,,,,,1,,,1
Q6CHL8,Q6CHL8_YARLI,nan,YARLI,2.0,,,,,,,,,,,,1,1,
Q8TKM4,Q8TKM4_METAC,nan,METAC,2.0,,,,,1,,,,,,1,,,
Q54F04,Q54F04_DICDI,nan,DICDI,2.0,,,,,,,,,,,1,1,,
Q6CGG5,Q6CGG5_YARLI,nan,YARLI,2.0,,,,,,,,,,,,1,1,
Q5KNR4,Q5KNR4_CRYNJ,nan,CRYNJ,2.0,,,,,1,,,,,,1,,,
Q93JF0,Q93JF0_STRCO,nan,STRCO,2.0,,,,,,,,,,,1,,1,
Q871A0,Q871A0_NEUCS,nan,NEUCR,2.0,,,,,,,,,,,,1,1,
A6V1J3,A6V1J3_PSEA7,nan,PSEA7,2.0,,,,,,,,,,,1,1,,
Q55962,Q55962_SYNY3,nan,SYNY3,2.0,,,,,1,,,,,,1,,,
A6UYC5,A6UYC5_PSEA7,nan,PSEA7,2.0,,,,,,,,,,,1,1,,
O17069,O17069_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,1,,,1
