ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A7SD13,A7SD13_NEMVE,nan,NEMVE,7.0,,,1,1,,,,,1,1,,1,1,1
Q09496,PPH6_CAEEL,nan,CAEEL,3.0,,,,,,,,,,,,1,1,1
Q5ZIV0,Q5ZIV0_CHICK,nan,CHICK,3.0,,,,,,,,,,,,1,1,1
Q0UNF2,Q0UNF2_PHANO,nan,PHANO,3.0,,,,,,,,,,,,1,1,1
Q27884,PPP6_DROME,nan,DROME,3.0,,,,,,,,,,,,1,1,1
Q28GT8,Q28GT8_XENTR,ENSXETP00000036696,XENTR,3.0,,,,,,,,,,,,1,1,1
Q2KIC7,Q2KIC7_BOVIN,ENSBTAP00000010568,BOVIN,3.0,,,,,,,,,,,,1,1,1
Q4PBR8,Q4PBR8_USTMA,nan,USTMA,3.0,,,,,,,,,,,,1,1,1
Q4Q2C2,Q4Q2C2_LEIMA,nan,LEIMA,3.0,,,,,,,,,,,,1,1,1
Q59KY8,SIT4_CANAL,nan,CANAL,3.0,,,,,,,,,,,,1,1,1
Q5KHS2,Q5KHS2_CRYNJ,nan,CRYNJ,3.0,,,,,,,,,,,,1,1,1
Q64620,PPP6_RAT,nan,RAT,3.0,,,,,,,,,,,,1,1,1
P20604,PP11_YEAST,nan,YEAST,3.0,,,,,,,,,,,,1,1,1
Q7PR35,Q7PR35_ANOGA,nan,ANOGA,3.0,,,,,,,,,,,,1,1,1
Q7ZUS7,Q7ZUS7_DANRE,nan,DANRE,3.0,,,,,,,,,,,,1,1,1
Q9CQR6,PPP6_MOUSE,nan,MOUSE,3.0,,,,,,,,,,,,1,1,1
Q9LHE7,FYPP3_ARATH,nan,ARATH,3.0,,,,,,,,,,,,1,1,1
Q9P3I1,Q9P3I1_NEUCS,nan,NEUCR,3.0,,,,,,,,,,,,1,1,1
Q9SX52,FYPP1_ARATH,nan,ARATH,3.0,,,,,,,,,,,,1,1,1
Q9U9A3,PPP6_DICDI,nan,DICDI,3.0,,,,,,,,,,,,1,1,1
nan,nan,ENSCAFP00000029962,CANFA,3.0,,,,,,,,,,,,1,1,1
P36614,PPE1_SCHPO,nan,SCHPO,3.0,,,,,,,,,,,,1,1,1
nan,nan,ENSCINP00000006084,CIOIN,3.0,,,,,,,,,,,,1,1,1
B8BY29,B8BY29_THAPS,nan,THAPS,3.0,,,,,,,,,,,,1,1,1
O00743,PPP6_HUMAN,nan,HUMAN,3.0,,,,,,,,,,,,1,1,1
H2UHY7,H2UHY7_TAKRU,ENSTRUP00000036558,TAKRU,3.0,,,,,,,,,,,,1,1,1
A9V7K1,A9V7K1_MONBE,nan,MONBE,3.0,,,,,,,,,,,,1,1,1
B0Y8I7,B0Y8I7_ASPFC,nan,ASPFC,3.0,,,,,,,,,,,,1,1,1
H2RUT2,H2RUT2_TAKRU,ENSTRUP00000003900,TAKRU,3.0,,,,,,,,,,,,1,1,1
H2R2K5,H2R2K5_PANTR,ENSPTRP00000044087,PANTR,3.0,,,,,,,,,,,,1,1,1
F7D7I9,F7D7I9_MACMU,ENSMMUP00000027059,MACMU,3.0,,,,,,,,,,,,1,1,1
F6WMP7,F6WMP7_MONDO,ENSMODP00000024664,MONDO,3.0,,,,,,,,,,,,1,1,1
F6S4E2,F6S4E2_ORNAN,ENSOANP00000020991,ORNAN,3.0,,,,,,,,,,,,1,1,1
A7F794,A7F794_SCLS1,nan,SCLS1,3.0,,,,,,,,,,,,1,1,1
C4Q3D9,nan,nan,nan,3.0,,,,,,,,,,,,1,1,1
C3ZG26,C3ZG26_BRAFL,nan,BRAFL,3.0,,,,,,,,,,,,1,1,1
B7Q8U3,B7Q8U3_IXOSC,nan,IXOSC,2.0,,,,,,,,,,,,1,,1
A9RVI2,A9RVI2_PHYPA,nan,PHYPA,2.0,,,,,,,,,,,,,1,1
O97259,O97259_PLAF7,nan,PLAF7,2.0,,,,,,,,,,,,1,1,
Q4PEZ8,Q4PEZ8_USTMA,nan,USTMA,2.0,,,,1,,,,,,1,,,,
C4QQI1,nan,nan,nan,2.0,,,1,1,,,,,,,,,,
A9TD31,A9TD31_PHYPA,nan,PHYPA,2.0,,,,,,,,,,,,,1,1
A9V331,A9V331_MONBE,nan,MONBE,1.0,,,,1,,,,,,,,,,
A8BYQ2,A8BYQ2_GIAIC,nan,GIAIC,1.0,,,,,,,,,,1,,,,
Q9WZK1,Q9WZK1_THEMA,nan,THEMA,1.0,,,,,,,,,1,,,,,
Q9RS78,Q9RS78_DEIRA,nan,DEIRA,1.0,,,,,,,,,1,,,,,
Q9Y0B7,PP4C_DICDI,nan,DICDI,1.0,,,,,,,,,,1,,,,
A2FHK4,A2FHK4_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
O31614,PRPE_BACSU,nan,BACSU,1.0,,,,,,,,,1,,,,,
Q89SP4,Q89SP4_BRADU,nan,BRADU,1.0,,,,,,,,,1,,,,,
Q7URG8,Q7URG8_RHOBA,nan,RHOBA,1.0,,,,,,,,,1,,,,,
Q7UR40,Q7UR40_RHOBA,nan,RHOBA,1.0,,,,,,,,,1,,,,,
Q7NN25,Q7NN25_GLOVI,nan,GLOVI,1.0,,,,,,,,,1,,,,,
Q749W2,Q749W2_GEOSL,nan,GEOSL,1.0,,,,,,,,,1,,,,,
A2EIF9,A2EIF9_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
P74150,P74150_SYNY3,nan,SYNY3,1.0,,,,,,,,,1,,,,,
P48528,PPX2_ARATH,nan,ARATH,1.0,,,,,,,,,,1,,,,
A2DGL9,A2DGL9_TRIVA,nan,TRIVA,1.0,,,1,,,,,,,,,,,
