ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A7SHK0,A7SHK0_NEMVE,nan,NEMVE,4.0,,,1,1,,,,,,1,,1,,
F6Z3N8,F6Z3N8_CIOIN,ENSCINP00000018998,CIOIN,2.0,,,1,1,,,,,,,,,,
A1L1P6,A1L1P6_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
Q7QGR0,Q7QGR0_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
P48067,SC6A9_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
Q5TVN6,Q5TVN6_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
Q7K330,Q7K330_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
Q7QDY5,Q7QDY5_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
Q7QGQ8,Q7QGQ8_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
Q7QGR4,Q7QGR4_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
H2UT23,H2UT23_TAKRU,ENSTRUP00000040096,TAKRU,1.0,,,,,,,,,,,,1,,
Q9VJR4,Q9VJR4_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
Q9VSV2,Q9VSV2_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
Q9W4C5,NAAT1_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
Q9Y345,SC6A5_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
nan,nan,ENSCINP00000002127,CIOIN,1.0,,,,,,,,,,1,,,,
nan,nan,ENSGALP00000035355,CHICK,1.0,,,,1,,,,,,,,,,
O17372,nan,nan,nan,1.0,,,,,,,,,,,,1,,
H2QRS9,H2QRS9_PANTR,ENSPTRP00000029753,PANTR,1.0,,,,,,,,,,,,1,,
H2QZ13,H2QZ13_PANTR,ENSPTRP00000038224,PANTR,1.0,,,,,,,,,,,,1,,
A1Z8V9,A1Z8V9_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
F7BS15,F7BS15_XENTR,ENSXETP00000007929,XENTR,1.0,,,,,,,,,,,,1,,
F7A6C4,F7A6C4_XENTR,ENSXETP00000039846,XENTR,1.0,,,,,,,,,,,,1,,
F6Z3T1,F6Z3T1_XENTR,ENSXETP00000025970,XENTR,1.0,,,,,,,,,,,,1,,
F6Y9W3,F6Y9W3_CIOIN,ENSCINP00000014199,CIOIN,1.0,,,,,,,,,,,,1,,
F6UPM0,F6UPM0_CIOIN,ENSCINP00000001606,CIOIN,1.0,,,,,,,,,,,,1,,
F6PX45,F6PX45_XENTR,ENSXETP00000030962,XENTR,1.0,,,,,,,,,,,,1,,
F1PA54,F1PA54_CANFA,ENSCAFP00000026902,CANFA,1.0,,,,,,,,,,,,1,,
F1P8R8,F1P8R8_CANFA,ENSCAFP00000014498,CANFA,1.0,,,,,,,,,,,,1,,
E2RIT2,E2RIT2_CANFA,ENSCAFP00000026978,CANFA,1.0,,,,,,,,,,,,1,,
B7PFV3,B7PFV3_IXOSC,nan,IXOSC,1.0,,,,1,,,,,,,,,,
A6QLU4,A6QLU4_BOVIN,ENSBTAP00000035062,BOVIN,1.0,,,,,,,,,,,,1,,
A5D7H9,A5D7H9_BOVIN,ENSBTAP00000000209,BOVIN,1.0,,,,,,,,,,,,1,,
A1ZBC7,A1ZBC7_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
nan,nan,ENSGALP00000039283,CHICK,1.0,,,,,,,,,,,,1,,
