ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A7SL69,A7SL69_NEMVE,nan,NEMVE,5.0,1,,,1,,,1,,,1,,1,,
B7PR05,B7PR05_IXOSC,nan,IXOSC,2.0,,,,,,,1,,,,,1,,
F6XF92,F6XF92_ORNAN,ENSOANP00000015090,ORNAN,2.0,1,,,1,,,,,,,,,,
A2F425,A2F425_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
Q8ILZ7,Q8ILZ7_PLAF7,nan,PLAF7,1.0,,,,,,,,,,1,,,,
Q0E8R3,Q0E8R3_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
Q54EJ3,Q54EJ3_DICDI,nan,DICDI,1.0,,,,,,,,,,,,1,,
Q55D63,Q55D63_DICDI,nan,DICDI,1.0,,,,,,,,,,,,1,,
Q5F3T7,CELF1_CHICK,nan,CHICK,1.0,,,,,,,,,,,,1,,
Q6P0B1,CELF2_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
Q7QG34,Q7QG34_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
Q8IDB7,Q8IDB7_PLAF7,nan,PLAF7,1.0,,,,,,,,,,1,,,,
Q8IP90,Q8IP90_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
H2V272,H2V272_TAKRU,ENSTRUP00000043303,TAKRU,1.0,,,,,,,,,,,,1,,
Q8LFS6,BRN1L_ARATH,nan,ARATH,1.0,,,,,,,,,,,,1,,
Q92879,CELF1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
Q9LR77,nan,nan,nan,1.0,,,,,,,,,,,,1,,
nan,nan,ENSBTAP00000053798,BOVIN,1.0,,,,,,,,,,,,1,,
nan,nan,ENSCAFP00000007459,CANFA,1.0,,,,,,,,,,,,1,,
nan,nan,ENSMODP00000024843,MONDO,1.0,,,,,,,,,,,,1,,
nan,nan,ENSPTRP00000006205,PANTR,1.0,,,,,,,,,,,,1,,
P28659,CELF1_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
H2RUV6,H2RUV6_TAKRU,ENSTRUP00000003924,TAKRU,1.0,,,,,,,,,,,,1,,
H2TLJ1,H2TLJ1_TAKRU,ENSTRUP00000025546,TAKRU,1.0,,,,,,,,,,,,1,,
A7MB95,A7MB95_BOVIN,ENSBTAP00000003274,BOVIN,1.0,,,,,,,,,,,,1,,
A7USC8,A7USC8_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
A8DYS0,A8DYS0_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
A9V5E5,A9V5E5_MONBE,nan,MONBE,1.0,,,,,,,,,,1,,,,
B7P4E7,B7P4E7_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,1,,
B7Q1J6,B7Q1J6_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,1,,
B8BVQ4,B8BVQ4_THAPS,nan,THAPS,1.0,,,,,,,,,,1,,,,
C3ZPV9,C3ZPV9_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C3ZRD2,C3ZRD2_BRAFL,nan,BRAFL,1.0,,,,,,,1,,,,,,,
E1C131,E1C131_CHICK,nan,CHICK,1.0,1,,,,,,,,,,,,,
F6SSD3,F6SSD3_MACMU,ENSMMUP00000037154,MACMU,1.0,,,,,,,,,,,,1,,
F6TIJ7,F6TIJ7_ORNAN,ENSOANP00000024285,ORNAN,1.0,,,,,,,,,,,,1,,
F7AL51,F7AL51_MACMU,ENSMMUP00000015049,MACMU,1.0,,,,,,,,,,,,1,,
F7DS91,F7DS91_ORNAN,ENSOANP00000012576,ORNAN,1.0,,,,,,,,,,,,1,,
F7EYX7,F7EYX7_ORNAN,ENSOANP00000026943,ORNAN,1.0,,,,,,,,,,1,,,,
H2RMW8,H2RMW8_TAKRU,ENSTRUP00000001481,TAKRU,1.0,,,,,,,,,,,,1,,
nan,nan,ENSXETP00000019815,XENTR,1.0,,,,,,,,,,,,1,,
