ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A7SMQ1,A7SMQ1_NEMVE,nan,NEMVE,8.0,,,1,1,,1,1,1,1,,,1,,1
C3ZRB2,C3ZRB2_BRAFL,nan,BRAFL,3.0,,,1,1,,,,,1,,,,,
Q6C5E4,Q6C5E4_YARLI,nan,YARLI,3.0,,,,,,1,,1,,,,,,1
A7ERF8,A7ERF8_SCLS1,nan,SCLS1,2.0,,,,,,1,1,,,,,,,
C3XQ57,C3XQ57_BRAFL,nan,BRAFL,2.0,,,,,,1,,1,,,,,,
A2F5X4,A2F5X4_TRIVA,nan,TRIVA,1.0,,,,,,1,,,,,,,,
B7PCR6,B7PCR6_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,1,,
B7QLQ4,B7QLQ4_IXOSC,nan,IXOSC,1.0,,,,,,,1,,,,,,,
C3XQ59,C3XQ59_BRAFL,nan,BRAFL,1.0,,,,,,,1,,,,,,,
C3YDF8,C3YDF8_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C3YSV3,C3YSV3_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C3ZYI5,C3ZYI5_BRAFL,nan,BRAFL,1.0,,,,,,,,,1,,,,,
Q8N7K9,nan,nan,nan,1.0,,,,,,,,,,,,1,,
Q9LMT7,Q9LMT7_ARATH,nan,ARATH,1.0,,,,,,,,,,,,1,,
Q9SK32,Q9SK32_ARATH,nan,ARATH,1.0,,,,,,,,,,,,1,,
