ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A7SQN6,A7SQN6_NEMVE,nan,NEMVE,8.0,,,1,1,1,1,,,,,1,1,1,1
Q1MTF9,Q1MTF9_DANRE,nan,DANRE,3.0,,,1,,1,,,,,,1,,,
H2SDR8,H2SDR8_TAKRU,ENSTRUP00000010549,TAKRU,3.0,,,1,,1,,,,,,1,,,
F6QL68,F6QL68_CIOIN,ENSCINP00000013262,CIOIN,3.0,,,1,,1,,,,,,1,,,
A7EE58,A7EE58_SCLS1,nan,SCLS1,2.0,,,,,,,,,,,1,,,1
F1MP45,F1MP45_BOVIN,ENSBTAP00000003163,BOVIN,2.0,,,,,1,,,,,,1,,,
Q21291,Q21291_CAEEL,nan,CAEEL,2.0,,,,,1,,,,,,1,,,
P49446,PTPRE_MOUSE,nan,MOUSE,2.0,,,,,1,,,,,,1,,,
P23469,PTPRE_HUMAN,nan,HUMAN,2.0,,,,,1,,,,,,1,,,
H2R3E7,H2R3E7_PANTR,ENSPTRP00000045400,PANTR,2.0,,,,,1,,,,,,1,,,
F7BQJ4,F7BQJ4_XENTR,ENSXETP00000011309,XENTR,2.0,,,,,1,,,,,,1,,,
F6Y4E3,F6Y4E3_ORNAN,ENSOANP00000008701,ORNAN,2.0,,,,1,,,,,,,1,,,
F6VLM4,F6VLM4_MONDO,ENSMODP00000038185,MONDO,2.0,,,,,1,,,,,,1,,,
F1PGU5,F1PGU5_CANFA,ENSCAFP00000019505,CANFA,2.0,,,,,1,,,,,,1,,,
F1P521,F1P521_CHICK,ENSGALP00000015954,CHICK,2.0,,,,,1,,,,,,1,,,
F7GUL1,F7GUL1_MACMU,ENSMMUP00000007117,MACMU,2.0,,,,,1,,,,,,1,,,
B2GV87,PTPRE_RAT,nan,RAT,2.0,,,,,1,,,,,,1,,,
A9RBE6,A9RBE6_PHYPA,nan,PHYPA,2.0,,,,,,,,,,,1,,1,
B0XXP8,B0XXP8_ASPFC,nan,ASPFC,2.0,,,,,,1,,,,,1,,,
A9T896,A9T896_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,1,,,
Q21055,nan,nan,nan,1.0,,,,,,,,,,,,,,1
Q0V1L0,Q0V1L0_PHANO,nan,PHANO,1.0,,,,,,,,,,,,1,,
Q0U823,Q0U823_PHANO,nan,PHANO,1.0,,,,,,,,,,,1,,,
Q06124,PTN11_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,,1
Q03348,PTPRA_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
E1BTC5,E1BTC5_CHICK,nan,CHICK,1.0,,,,,,,,,,,,,,1
P18433,PTPRA_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
P35235,PTN11_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,,,1
P34137,PTP1_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
P32587,PYP3_SCHPO,nan,SCHPO,1.0,,,,,,,,,,,1,,,
P32586,PYP2_SCHPO,nan,SCHPO,1.0,,,,,,,,,,,1,,,
P29349,CSW_DROME,nan,DROME,1.0,,,,,,,,,,,,,,1
P27574,PYP1_SCHPO,nan,SCHPO,1.0,,,,,,,,,,,1,,,
P25044,PTP1_YEAST,nan,YEAST,1.0,,,,,,,,,,,1,,,
P41499,PTN11_RAT,nan,RAT,1.0,,,,,,,,,,,,,,1
A8B908,A8B908_GIAIC,nan,GIAIC,1.0,,,,,,,,,,,1,,,
Q21514,Q21514_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,1,,,
Q4Q0M4,Q4Q0M4_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,1,,,
nan,nan,ENSPTRP00000058235,PANTR,1.0,,,,,,,,,,,,,,1
nan,nan,ENSPTRP00000057666,PANTR,1.0,,,,,,,,,,,,,,1
nan,nan,ENSGALP00000010116,CHICK,1.0,,,,,,,,,,,,,,1
nan,nan,ENSCINP00000022075,CIOIN,1.0,,,,,,,,,,,,,1,
nan,nan,ENSCAFP00000009711,CANFA,1.0,,,,,,,,,,,1,,,
Q91969,Q91969_CHICK,nan,CHICK,1.0,,,,,,,,,,,1,,,
Q90687,PTN11_CHICK,nan,CHICK,1.0,,,,,,,,,,,,,,1
Q7ZW17,Q7ZW17_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,,1
Q7SY37,Q7SY37_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,,1
Q7S5A7,Q7S5A7_NEUCR,nan,NEUCR,1.0,,,,,,,,,,,1,,,
Q6BZT9,Q6BZT9_YARLI,nan,YARLI,1.0,,,,,,,,,,,1,,,
Q5ZM15,Q5ZM15_CHICK,nan,CHICK,1.0,,,,,,,,,,,,,,1
Q5TTR3,Q5TTR3_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,,,1
Q5A399,Q5A399_CANAL,nan,CANAL,1.0,,,,,,,,,,,1,,,
Q4Q1K3,Q4Q1K3_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,1,,,
A9V7F3,A9V7F3_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
P18052,PTPRA_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
E7EZG7,E7EZG7_DANRE,ENSDARP00000015855,DANRE,1.0,,,,,,,,,,,1,,,
F6Q1S9,F6Q1S9_MACMU,ENSMMUP00000013101,MACMU,1.0,,,,,,,,,,,,,,1
F6WVD2,F6WVD2_MONDO,ENSMODP00000003804,MONDO,1.0,,,,,,,,,,,,,,1
F6W8B0,F6W8B0_ORNAN,ENSOANP00000000252,ORNAN,1.0,,,,,,,,,,,,,,1
B3DJL5,B3DJL5_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
F6V537,F6V537_ORNAN,ENSOANP00000009592,ORNAN,1.0,,,,,,,,,,,,,,1
F6TLB9,F6TLB9_MACMU,ENSMMUP00000007744,MACMU,1.0,,,,,,,,,,,1,,,
B7QF55,B7QF55_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,,,1
F6PR71,F6PR71_XENTR,ENSXETP00000009372,XENTR,1.0,,,,,,,,,,,,,,1
F6X0U7,F6X0U7_XENTR,ENSXETP00000038993,XENTR,1.0,,,,,,,,,,,1,,,
F1Q3J6,F1Q3J6_CANFA,ENSCAFP00000013074,CANFA,1.0,,,,,,,,,,,,,,1
C3YIH1,C3YIH1_BRAFL,nan,BRAFL,1.0,,,1,,,,,,,,,,,
C5J914,nan,nan,nan,1.0,,,,,,,,,,,,,,1
F1N376,F1N376_BOVIN,ENSBTAP00000033929,BOVIN,1.0,,,,,,,,,,,,,,1
F1N339,F1N339_BOVIN,ENSBTAP00000002653,BOVIN,1.0,,,,,,,,,,,,,,1
E1BPA0,E1BPA0_BOVIN,ENSBTAP00000015189,BOVIN,1.0,,,,,,,,,,,1,,,
F6WY52,F6WY52_CIOIN,ENSCINP00000021348,CIOIN,1.0,,,,,,,,,,,,,1,
F6XBU2,F6XBU2_MACMU,ENSMMUP00000029511,MACMU,1.0,,,,,,,,,,,,,,1
O82656,PTP1_ARATH,nan,ARATH,1.0,,,,,,,,,,,,1,,
A7ERJ0,A7ERJ0_SCLS1,nan,SCLS1,1.0,,,,,,,,,,,1,,,
H2VDZ2,H2VDZ2_TAKRU,ENSTRUP00000047437,TAKRU,1.0,,,,,,,,,,,,,,1
H2ULC7,H2ULC7_TAKRU,ENSTRUP00000037748,TAKRU,1.0,,,,,,,,,,,1,,,
H2SW24,H2SW24_TAKRU,ENSTRUP00000016612,TAKRU,1.0,,,,,,,,,,,,,,1
