ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A7SR26,A7SR26_NEMVE,nan,NEMVE,5.0,,,,,,,1,1,1,1,,1,,
F7BML3,F7BML3_ORNAN,ENSOANP00000006500,ORNAN,2.0,,,,,,,1,,,1,,,,
B1H161,B1H161_XENTR,ENSXETP00000011040,XENTR,2.0,,,,,,,1,,,1,,,,
C4PZ01,nan,nan,nan,2.0,,,,,,,,,1,1,,,,
C4Q584,nan,nan,nan,2.0,,,,,,,1,,,,,1,,
P32443,MEOX2_MOUSE,nan,MOUSE,2.0,,,,,,,1,,,1,,,,
Q4H363,Q4H363_CIOIN,ENSCINP00000015319,CIOIN,2.0,,,,,,,,1,,,,1,,
A5D7C5,A5D7C5_BOVIN,ENSBTAP00000004198,BOVIN,1.0,,,,,,,,,,1,,,,
P02836,HMEN_DROME,nan,DROME,1.0,,,,,,,,,,1,,,,
P09015,HME2A_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
P09065,HME1_MOUSE,nan,MOUSE,1.0,,,,,,,,,,1,,,,
P19601,SAX1_CHICK,nan,CHICK,1.0,,,,,,,,,,1,,,,
P39020,MEOX2_RAT,nan,RAT,1.0,,,,,,,,,,1,,,,
P50219,MNX1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
P50222,MEOX2_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
Q05916,HME1_CHICK,nan,CHICK,1.0,,,,,,,,,,1,,,,
Q1LU90,Q1LU90_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
Q05925,HME1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
H2V9E9,H2V9E9_TAKRU,ENSTRUP00000045839,TAKRU,1.0,,,,,,,,,,1,,,,
Q5BJ08,Q5BJ08_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
Q6IQW3,Q6IQW3_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
Q7PN76,Q7PN76_ANOGA,nan,ANOGA,1.0,,,,,,,,,,1,,,,
Q7QES4,Q7QES4_ANOGA,nan,ANOGA,1.0,,,,,,,,,,1,,,,
Q8LC03,ATB13_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q8LFD3,ATB23_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q90YH7,Q90YH7_CHICK,nan,CHICK,1.0,,,,,,,,,,1,,,,
Q9QZW9,MNX1_MOUSE,nan,MOUSE,1.0,,,,,,,,,,1,,,,
H2VEQ8,H2VEQ8_TAKRU,ENSTRUP00000047703,TAKRU,1.0,,,,,,,,,,1,,,,
H2SJ85,H2SJ85_TAKRU,ENSTRUP00000012468,TAKRU,1.0,,,,,,,1,,,,,,,
H2U6Y6,H2U6Y6_TAKRU,ENSTRUP00000032702,TAKRU,1.0,,,,,,,,,,1,,,,
H2TLT4,H2TLT4_TAKRU,ENSTRUP00000025639,TAKRU,1.0,,,,,,,,,,1,,,,
B7PE80,B7PE80_IXOSC,nan,IXOSC,1.0,,,,,,,,,1,,,,,
E2RDA2,E2RDA2_CANFA,ENSCAFP00000007681,CANFA,1.0,,,,,,,,,,1,,,,
E2RDU9,E2RDU9_CANFA,ENSCAFP00000003518,CANFA,1.0,,,,,,,,,,1,,,,
E7FEH1,E7FEH1_DANRE,ENSDARP00000059953,DANRE,1.0,,,,,,,,,,1,,,,
F1MU40,F1MU40_BOVIN,ENSBTAP00000006046,BOVIN,1.0,,,,,,,,,,1,,,,
F1N5R9,F1N5R9_BOVIN,ENSBTAP00000038170,BOVIN,1.0,,,,,,,,,,1,,,,
F1NZL8,F1NZL8_CHICK,ENSGALP00000037865,CHICK,1.0,,,,,,,,,,1,,,,
F6PLT2,F6PLT2_ORNAN,ENSOANP00000009802,ORNAN,1.0,,,,,,,,,,1,,,,
F6T730,F6T730_MONDO,ENSMODP00000002025,MONDO,1.0,,,,,,,,,,1,,,,
F6U713,F6U713_ORNAN,ENSOANP00000004738,ORNAN,1.0,,,,,,,,,,1,,,,
F6XG12,F6XG12_MONDO,ENSMODP00000033422,MONDO,1.0,,,,,,,,,,1,,,,
F7C188,F7C188_MACMU,ENSMMUP00000006593,MACMU,1.0,,,,,,,,,,1,,,,
F7CW07,F7CW07_MACMU,ENSMMUP00000010208,MACMU,1.0,,,,,,,,,,1,,,,
F7FKR9,F7FKR9_MONDO,ENSMODP00000006131,MONDO,1.0,,,,,,,,,,1,,,,
H2QU74,H2QU74_PANTR,ENSPTRP00000032370,PANTR,1.0,,,,,,,,,,1,,,,
H2R4U3,H2R4U3_PANTR,ENSPTRP00000047521,PANTR,1.0,,,,,,,,,,1,,,,
H2R6L3,H2R6L3_PANTR,ENSPTRP00000049224,PANTR,1.0,,,,,,,,,,1,,,,
H2RWW4,H2RWW4_TAKRU,ENSTRUP00000004634,TAKRU,1.0,,,,,,,,,,1,,,,
H2SBX0,H2SBX0_TAKRU,ENSTRUP00000009899,TAKRU,1.0,,,,,,,,,,1,,,,
Q9YHY7,Q9YHY7_CHICK,nan,CHICK,1.0,,,,,,,,,,1,,,,
