ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q6C8E1,Q6C8E1_YARLI,nan,YARLI,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A7SV88,A7SV88_NEMVE,nan,NEMVE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
O74534,SLY1_SCHPO,nan,SCHPO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A9V0V8,A9V0V8_MONBE,nan,MONBE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B0XZZ5,B0XZZ5_ASPFC,nan,ASPFC,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6X3Q7,F6X3Q7_CIOIN,ENSCINP00000003995,CIOIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q5KFV6,Q5KFV6_CRYNJ,nan,CRYNJ,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C3ZXF0,C3ZXF0_BRAFL,nan,BRAFL,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A7EI11,A7EI11_SCLS1,nan,SCLS1,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q1K7I9,Q1K7I9_NEUCR,nan,NEUCR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q62991,SCFD1_RAT,nan,RAT,13.0,1,1,1,1,1,1,,1,1,1,1,1,1,1
P22213,SLY1_YEAST,nan,YEAST,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
nan,nan,ENSPTRP00000056843,PANTR,13.0,1,1,1,1,1,1,,1,1,1,1,1,1,1
Q0UNV3,Q0UNV3_PHANO,nan,PHANO,13.0,1,1,1,1,1,1,,1,1,1,1,1,1,1
Q20364,Q20364_CAEEL,nan,CAEEL,13.0,1,1,1,1,1,1,,1,1,1,1,1,1,1
Q7QHU5,Q7QHU5_ANOGA,nan,ANOGA,13.0,1,1,1,1,1,1,,1,1,1,1,1,1,1
Q4PHS8,Q4PHS8_USTMA,nan,USTMA,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q4Q8V5,Q4Q8V5_LEIMA,nan,LEIMA,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q24179,SLY1_DROME,nan,DROME,13.0,1,1,1,1,1,1,,1,1,1,1,1,1,1
Q8BRF7,SCFD1_MOUSE,nan,MOUSE,13.0,1,1,1,1,1,1,,1,1,1,1,1,1,1
Q8AUT3,Q8AUT3_DANRE,nan,DANRE,13.0,1,1,1,1,1,1,,1,1,1,1,1,1,1
F7CB59,F7CB59_MACMU,ENSMMUP00000025874,MACMU,13.0,1,1,1,1,1,1,,1,1,1,1,1,1,1
Q5A0W8,Q5A0W8_CANAL,nan,CANAL,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q8IJ69,Q8IJ69_PLAF7,nan,PLAF7,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
F6R556,F6R556_ORNAN,ENSOANP00000022110,ORNAN,13.0,1,1,1,1,1,1,,1,1,1,1,1,1,1
F6PZF3,F6PZF3_XENTR,ENSXETP00000030958,XENTR,13.0,1,1,1,1,1,1,,1,1,1,1,1,1,1
F1PLS0,F1PLS0_CANFA,ENSCAFP00000018746,CANFA,13.0,1,1,1,1,1,1,,1,1,1,1,1,1,1
F1NH65,F1NH65_CHICK,ENSGALP00000016108,CHICK,13.0,1,1,1,1,1,1,,1,1,1,1,1,1,1
E1BG76,E1BG76_BOVIN,ENSBTAP00000043412,BOVIN,13.0,1,1,1,1,1,1,,1,1,1,1,1,1,1
Q8WVM8,SCFD1_HUMAN,nan,HUMAN,13.0,1,1,1,1,1,1,,1,1,1,1,1,1,1
B8BYI3,B8BYI3_THAPS,nan,THAPS,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
B7QE60,B7QE60_IXOSC,nan,IXOSC,13.0,1,1,1,1,1,1,,1,1,1,1,1,1,1
Q9SL48,SLY1_ARATH,nan,ARATH,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q54IJ1,SCFD1_DICDI,nan,DICDI,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
A2ECQ3,A2ECQ3_TRIVA,nan,TRIVA,12.0,1,1,,1,1,1,1,1,1,,1,1,1,1
H2TZC1,H2TZC1_TAKRU,ENSTRUP00000030030,TAKRU,12.0,1,1,,1,1,1,,1,1,1,1,1,1,1
C4QJH0,nan,nan,nan,12.0,1,1,,1,1,1,,1,1,1,1,1,1,1
F7BSJ8,F7BSJ8_MONDO,ENSMODP00000021910,MONDO,9.0,1,1,,,,1,,1,1,1,,1,1,1
A8B8H9,A8B8H9_GIAIC,nan,GIAIC,6.0,1,,,,,1,1,,,,,1,1,1
nan,nan,ENSMODP00000033003,MONDO,4.0,,,,,,,1,,,1,,1,,1
H2RZ08,H2RZ08_TAKRU,ENSTRUP00000005379,TAKRU,3.0,,,,,,,1,,,,,1,,1
H2RYX6,H2RYX6_TAKRU,ENSTRUP00000005347,TAKRU,2.0,,,,,,,,,,,,1,,1
O81774,O81774_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,,1
Q3E9Q3,nan,nan,nan,1.0,,,,,,,,,,,,1,,
P34815,UNC18_CAEEL,nan,CAEEL,1.0,,,,,,,,,,1,,,,
F6UD39,F6UD39_ORNAN,ENSOANP00000005356,ORNAN,1.0,,,,,,,,,,1,,,,
