ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A7SZ90,A7SZ90_NEMVE,nan,NEMVE,6.0,,,1,,1,,,,1,,1,1,1,
nan,nan,ENSCINP00000020403,CIOIN,2.0,,,,,,,,,,,,1,1,
A8B908,A8B908_GIAIC,nan,GIAIC,2.0,,,,,,,,,1,,1,,,
C3YLU0,C3YLU0_BRAFL,nan,BRAFL,2.0,,,,,1,,,,,,1,,,
Q4Q1K3,Q4Q1K3_LEIMA,nan,LEIMA,2.0,,,,,,,,,1,,1,,,
P34137,PTP1_DICDI,nan,DICDI,2.0,,,,,,,,,1,,1,,,
A3QK35,nan,nan,nan,1.0,,,,,,,,,,,,,1,
P34138,PTP2_DICDI,nan,DICDI,1.0,,,,,,,,,1,,,,,
O82656,PTP1_ARATH,nan,ARATH,1.0,,,,,,,,,,,,1,,
P25044,PTP1_YEAST,nan,YEAST,1.0,,,,,,,,,,,1,,,
P27574,PYP1_SCHPO,nan,SCHPO,1.0,,,,,,,,,,,1,,,
P32586,PYP2_SCHPO,nan,SCHPO,1.0,,,,,,,,,,,1,,,
P32587,PYP3_SCHPO,nan,SCHPO,1.0,,,,,,,,,,,1,,,
Q19629,Q19629_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
Q0U823,Q0U823_PHANO,nan,PHANO,1.0,,,,,,,,,,,1,,,
Q12913,PTPRJ_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
H9GYT8,H9GYT8_DANRE,ENSDARP00000108915,DANRE,1.0,,,1,,,,,,,,,,,
Q4Q0M4,Q4Q0M4_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,1,,,
Q5A399,Q5A399_CANAL,nan,CANAL,1.0,,,,,,,,,,,1,,,
Q6BZT9,Q6BZT9_YARLI,nan,YARLI,1.0,,,,,,,,,,,1,,,
Q7S5A7,Q7S5A7_NEUCR,nan,NEUCR,1.0,,,,,,,,,,,1,,,
nan,nan,ENSBTAP00000053115,BOVIN,1.0,,,,,,,,,,,,1,,
O08617,PTPRR_RAT,nan,RAT,1.0,,,,,,,,,,,,1,,
F7BQ89,F7BQ89_XENTR,ENSXETP00000023302,XENTR,1.0,,,,,,,,,,,,1,,
H2S0U3,H2S0U3_TAKRU,ENSTRUP00000006014,TAKRU,1.0,,,,,,,,,,,,1,,
A9V0Q7,A9V0Q7_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
A7EE58,A7EE58_SCLS1,nan,SCLS1,1.0,,,,,,,,,,,1,,,
A7ERJ0,A7ERJ0_SCLS1,nan,SCLS1,1.0,,,,,,,,,,,1,,,
A9RBE6,A9RBE6_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,1,,,
A9T896,A9T896_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,1,,,
A9UUP1,A9UUP1_MONBE,nan,MONBE,1.0,,,1,,,,,,,,,,,
A9UYB5,A9UYB5_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
A9UYU9,A9UYU9_MONBE,nan,MONBE,1.0,,,,,,,,,1,,,,,
A9V5S7,A9V5S7_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
A4IJ13,A4IJ13_XENTR,ENSXETP00000024851,XENTR,1.0,,,,,,,,,,,,1,,
A9V5X4,A9V5X4_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
A9V6Q4,A9V6Q4_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
B0XXP8,B0XXP8_ASPFC,nan,ASPFC,1.0,,,,,,,,,,,1,,,
B7PKM9,B7PKM9_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,1,,
B7Q523,B7Q523_IXOSC,nan,IXOSC,1.0,,,1,,,,,,,,,,,
C3YLT8,C3YLT8_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C3ZT11,C3ZT11_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
nan,nan,ENSPTRP00000008872,PANTR,1.0,,,,,,,,,,,,1,,
