ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A7SZN4,A7SZN4_NEMVE,nan,NEMVE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7A1D4,F7A1D4_ORNAN,ENSOANP00000018538,ORNAN,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
O96692,O96692_DROME,nan,DROME,12.0,1,1,1,1,1,1,1,1,,,1,1,1,1
F6SBR0,F6SBR0_CIOIN,ENSCINP00000002384,CIOIN,11.0,1,1,1,1,1,1,1,1,,,1,1,1,
Q7PMT0,Q7PMT0_ANOGA,nan,ANOGA,11.0,1,1,,1,1,1,1,1,,,1,1,1,1
O17599,O17599_CAEEL,nan,CAEEL,11.0,1,1,1,1,1,,1,,1,,1,1,1,1
F1PXB8,F1PXB8_CANFA,ENSCAFP00000032153,CANFA,10.0,,1,1,,1,1,1,1,1,,1,1,1,
H2UFE4,H2UFE4_TAKRU,ENSTRUP00000035664,TAKRU,9.0,,1,,,,1,1,1,1,,1,1,1,1
P61227,RAP2B_RAT,nan,RAT,9.0,,1,,,,1,1,1,1,,1,1,1,1
E1BQI2,E1BQI2_CHICK,nan,CHICK,8.0,,1,,,,1,1,1,1,,1,1,1,
F7AWM6,F7AWM6_MACMU,ENSMMUP00000020734,MACMU,8.0,,,,,,1,1,1,1,,1,1,1,1
H2QNL9,H2QNL9_PANTR,ENSPTRP00000026761,PANTR,8.0,,,,,,1,1,1,1,,1,1,1,1
P61225,RAP2B_HUMAN,nan,HUMAN,8.0,,,,,,1,1,1,1,,1,1,1,1
P61226,RAP2B_MOUSE,nan,MOUSE,8.0,,,,,,1,1,1,1,,1,1,1,1
F7DGX0,F7DGX0_MONDO,ENSMODP00000010629,MONDO,8.0,,,,,,1,1,1,1,,1,1,1,1
A4IFU2,A4IFU2_BOVIN,ENSBTAP00000052927,BOVIN,8.0,,,,,,1,1,1,1,,1,1,1,1
Q28G68,Q28G68_XENTR,ENSXETP00000016942,XENTR,8.0,,,,,,1,1,1,1,,1,1,1,1
Q7SY59,Q7SY59_DANRE,nan,DANRE,8.0,,,,,,1,1,1,1,,1,1,1,1
Q08DI5,RAP2C_BOVIN,ENSBTAP00000005408,BOVIN,7.0,,,1,,1,,,1,1,,1,1,1,
Q9Y3L5,RAP2C_HUMAN,nan,HUMAN,7.0,,,1,,1,,,1,1,,1,1,1,
Q8BU31,RAP2C_MOUSE,nan,MOUSE,7.0,,,1,,1,,,1,1,,1,1,1,
D3ZK56,D3ZK56_RAT,nan,RAT,7.0,,,1,,1,,,1,1,,1,1,1,
F6VPD5,F6VPD5_MACMU,ENSMMUP00000021795,MACMU,7.0,,,1,,1,,,1,1,,1,1,1,
