ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A7T1P5,A7T1P5_NEMVE,nan,NEMVE,10.0,,,1,1,,1,1,1,,1,1,1,1,1
Q22216,nan,nan,nan,5.0,,,,,,1,1,1,,,1,,,1
B7QAL3,B7QAL3_IXOSC,nan,IXOSC,4.0,,,1,,,,,1,,,1,,,1
B7P7X8,B7P7X8_IXOSC,nan,IXOSC,4.0,,,,,,,1,1,,,1,,,1
Q7Q4D6,Q7Q4D6_ANOGA,nan,ANOGA,4.0,,,,,,1,,1,,,1,,,1
Q9VJ80,Q9VJ80_DROME,nan,DROME,4.0,,,,,,,1,1,,,1,,,1
B8BPZ7,B8BPZ7_THAPS,nan,THAPS,4.0,,,,,,,,1,,1,,1,1,
Q18647,Q18647_CAEEL,nan,CAEEL,3.0,,,,,,,,1,,,1,,,1
P90820,P90820_CAEEL,nan,CAEEL,3.0,,,1,,,,,1,,,1,,,
C3ZZC0,C3ZZC0_BRAFL,nan,BRAFL,3.0,,,,,,,,,,,1,1,,1
C3ZVB1,C3ZVB1_BRAFL,nan,BRAFL,3.0,,,,,,,,,,,1,1,,1
C3ZKZ9,C3ZKZ9_BRAFL,nan,BRAFL,3.0,,,,,,,,,,,1,1,,1
C3Z9X4,C3Z9X4_BRAFL,nan,BRAFL,3.0,,,,,,,,,,,1,1,,1
C3XSD1,C3XSD1_BRAFL,nan,BRAFL,3.0,,,,,,,,,,,1,1,,1
Q7QH75,Q7QH75_ANOGA,nan,ANOGA,3.0,,,1,,,,,,,1,1,,,
C3Y5F9,C3Y5F9_BRAFL,nan,BRAFL,3.0,,,,,,,,,,,1,1,,1
Q6TMK4,POXA_DICDI,nan,DICDI,3.0,,,,,,,,,,1,,1,1,
Q7UYG2,Q7UYG2_RHOBA,nan,RHOBA,3.0,,,,,,,,,,1,,1,1,
