ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A7T782,A7T782_NEMVE,nan,NEMVE,7.0,1,,1,1,,,,,1,1,,1,,1
B7QK40,B7QK40_IXOSC,nan,IXOSC,4.0,1,,1,1,,,,,1,,,,,
Q9VD64,Q9VD64_DROME,nan,DROME,2.0,,,,,,,,,,,,1,,1
Q7QA06,Q7QA06_ANOGA,nan,ANOGA,2.0,,,,,,,,,,,,1,,1
F6S6V5,F6S6V5_CIOIN,ENSCINP00000028182,CIOIN,2.0,,,,,,,,,,,,1,,1
C4QG19,nan,nan,nan,2.0,,,,,,,,,,,,1,,1
C3YRB4,C3YRB4_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,,1,,1
nan,nan,ENSCINP00000029281,CIOIN,2.0,,,,,,,,,,,,1,,1
B7PM77,B7PM77_IXOSC,nan,IXOSC,2.0,,,,,,,,,,,,1,,1
B8C136,B8C136_THAPS,nan,THAPS,1.0,,,,,,,,,,1,,,,
Q6PC43,Q6PC43_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
P36405,ARL3_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
P37996,ARL3_RAT,nan,RAT,1.0,,,,,,,,,,,,1,,
Q09767,ARL_SCHPO,nan,SCHPO,1.0,,,,,,,,,,1,,,,
Q1MTE5,ARL3_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
Q4Q8X3,Q4Q8X3_LEIMA,nan,LEIMA,1.0,,,,,,,,,,1,,,,
Q5BK71,ARL11_RAT,nan,RAT,1.0,,,,,,,,,,1,,,,
Q6P3A9,ARL11_MOUSE,nan,MOUSE,1.0,,,,,,,,,,1,,,,
Q6PC92,Q6PC92_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
H9KZ58,H9KZ58_CHICK,ENSGALP00000004944,CHICK,1.0,,,,,,,,,,,,1,,
A9V542,A9V542_MONBE,nan,MONBE,1.0,,,,,,,,,,,,,,1
Q969Q4,ARL11_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
A9V541,A9V541_MONBE,nan,MONBE,1.0,,,,,,,,,,,,,,1
Q9VD65,Q9VD65_DROME,nan,DROME,1.0,,,,,,,,,,,,,,1
Q9WUL7,ARL3_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
Q9ZPX1,ARF5_ARATH,nan,ARATH,1.0,,,,,,,,,,1,,,,
O45379,ARL3_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
H2VAV6,H2VAV6_TAKRU,ENSTRUP00000046348,TAKRU,1.0,,,,,,,,,,,,1,,
B8JLB2,B8JLB2_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
H2SAY9,H2SAY9_TAKRU,ENSTRUP00000009567,TAKRU,1.0,,,,,,,,,,,,1,,
B7PBF8,B7PBF8_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
E2RAG8,E2RAG8_CANFA,ENSCAFP00000015039,CANFA,1.0,,,,,,,,,,,,1,,
E2RCV8,E2RCV8_CANFA,ENSCAFP00000021126,CANFA,1.0,,,,,,,,,,1,,,,
F1N188,F1N188_BOVIN,ENSBTAP00000023031,BOVIN,1.0,,,,,,,,,,1,,,,
F1N9A3,F1N9A3_CHICK,ENSGALP00000013046,CHICK,1.0,,,,,,,,,,,,1,,
F6RGT2,F6RGT2_XENTR,ENSXETP00000034195,XENTR,1.0,,,,,,,,,,1,,,,
B5FVF4,B5FVF4_YARLI,nan,YARLI,1.0,,,,,,,,,,1,,,,
F6SS85,F6SS85_MACMU,ENSMMUP00000025180,MACMU,1.0,,,,,,,,,,,,1,,
F6W5T6,F6W5T6_ORNAN,ENSOANP00000024485,ORNAN,1.0,,,,,,,,,,1,,,,
F6X0M1,F6X0M1_MONDO,ENSMODP00000033076,MONDO,1.0,,,,,,,,,,1,,,,
F6X6C9,F6X6C9_XENTR,ENSXETP00000033306,XENTR,1.0,,,,,,,,,,,,1,,
F7D0F6,F7D0F6_ORNAN,ENSOANP00000002648,ORNAN,1.0,,,,,,,,,,,,1,,
A9URW3,A9URW3_MONBE,nan,MONBE,1.0,,,,,,,,,,1,,,,
H2Q2I0,H2Q2I0_PANTR,ENSPTRP00000005104,PANTR,1.0,,,,,,,,,,,,1,,
H2Q7K6,H2Q7K6_PANTR,ENSPTRP00000009997,PANTR,1.0,,,,,,,,,,1,,,,
F7HSH3,F7HSH3_MACMU,ENSMMUP00000015444,MACMU,1.0,,,,,,,,,,1,,,,
