ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A7T8V1,A7T8V1_NEMVE,nan,NEMVE,9.0,,,1,,,1,1,1,1,1,,1,1,1
F7DII7,F7DII7_MACMU,ENSMMUP00000004358,MACMU,5.0,,,,,,1,,1,,,,1,1,1
Q3TRL8,Q3TRL8_MOUSE,nan,MOUSE,4.0,,,1,,,1,1,,,,,,1,
A2GWN2,A2GWN2_TRIVA,nan,TRIVA,2.0,,,,,,1,1,,,,,,,
B8BSR5,B8BSR5_THAPS,nan,THAPS,2.0,,,,,,1,,1,,,,,,
Q0UUA4,Q0UUA4_PHANO,nan,PHANO,2.0,,,,,,1,1,,,,,,,
C9JWU4,nan,nan,nan,2.0,,,,,,1,,1,,,,,,
Q6ZT77,ZN826_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,1,
Q8BII3,Q8BII3_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,,1,
Q8BXC7,Q8BXC7_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,,1,
Q8N8C0,ZN781_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,1,
Q99M29,Q99M29_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,,1,
nan,nan,ENSDARP00000112039,CRYNJ,1.0,,,,,,,,,,,,,1,
nan,nan,ENSBTAP00000052657,BOVIN,1.0,,,,,,,,,,,,,1,
nan,nan,ENSP00000402704,HUMAN,1.0,,,,,,,1,,,,,,,
nan,nan,ENSP00000402874,HUMAN,1.0,,,,,,,,,,,,,1,
nan,nan,ENSPTRP00000027193,PANTR,1.0,,,,,,,,,,,,,1,
nan,nan,ENSPTRP00000039715,PANTR,1.0,,,,,,,,,,,,,1,
nan,nan,ENSPTRP00000050481,PANTR,1.0,,,,,,,,,,,,,1,
nan,nan,ENSRNOP00000042471,RAT,1.0,,,,,,,,,,,,,1,
nan,nan,ENSRNOP00000048286,RAT,1.0,,,,,,,,,,,,,1,
Q4V784,Q4V784_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,,1,
Q0P5U5,Q0P5U5_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,,1,
Q2TL60,ZN667_MOUSE,ENSMUSP00000128658,MOUSE,1.0,,,,,,,,,,,,,1,
Q08AG5,ZN844_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,1,
H9H643,H9H643_MONDO,ENSMODP00000004932,MONDO,1.0,,,,,,,,,,,,,1,
H2RB78,H2RB78_PANTR,ENSPTRP00000055259,PANTR,1.0,,,,,,,,,,,,,1,
H2R679,H2R679_PANTR,ENSPTRP00000048844,PANTR,1.0,,,,,,,,,,,,,1,
F7FUR3,F7FUR3_MONDO,ENSMODP00000022077,MONDO,1.0,,,,,,,,,,,,,1,
F7ACM4,F7ACM4_MOUSE,ENSMUSP00000126545,MOUSE,1.0,,,,,,,,,,,,,1,
F6VQB9,F6VQB9_XENTR,ENSXETP00000045010,XENTR,1.0,,,,,,,,1,,,,,,
F6TSM8,F6TSM8_MOUSE,ENSMUSP00000092916,MOUSE,1.0,,,,,,,,,,,,,1,
F6QV82,F6QV82_MONDO,ENSMODP00000008636,MONDO,1.0,,,,,,,,,,,,,1,
E9PZQ2,E9PZQ2_MOUSE,ENSMUSP00000091177,MOUSE,1.0,,,,,,,,,,,,,1,
C3ZNM3,C3ZNM3_BRAFL,nan,BRAFL,1.0,,,,,,,1,,,,,,,
C3ZC52,C3ZC52_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
C3YM77,C3YM77_BRAFL,nan,BRAFL,1.0,,,,,,,,,1,,,,,
C3YFX9,C3YFX9_BRAFL,nan,BRAFL,1.0,,,,,,,,1,,,,,,
nan,nan,ENSRNOP00000050235,RAT,1.0,,,,,,,,,,,,,1,
