ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A7TCP7,A7TCP7_NEMVE,nan,NEMVE,5.0,1,,,,,,,,1,1,,1,,1
Q91029,WNT1_CHICK,nan,CHICK,3.0,1,,,,,,,,1,1,,,,
nan,nan,ENSCAFP00000022055,CANFA,2.0,,,,,,,,,,,,1,,1
F6WHM2,F6WHM2_MONDO,ENSMODP00000019182,MONDO,2.0,,,,,,,,,,,,1,,1
F7H9B8,F7H9B8_MACMU,ENSMMUP00000022832,MACMU,2.0,,,,,,,,,,,,1,,1
F1RB76,F1RB76_DANRE,ENSDARP00000055832,DANRE,2.0,,,,,,,,,,,,1,,1
H2S804,H2S804_TAKRU,ENSTRUP00000008529,TAKRU,2.0,,,,,,,,,,,,1,,1
Q7Q1L2,Q7Q1L2_ANOGA,nan,ANOGA,2.0,,,,,,,,,,,,1,,1
D4A3W9,D4A3W9_RAT,nan,RAT,2.0,,,,,,,,,,,,1,,1
C3YYJ7,C3YYJ7_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,,1,,1
P22727,WNT6_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,,1,,1
Q9VM26,Q9VM26_DROME,nan,DROME,2.0,,,,,,,,,,,,1,,1
Q9Y6F9,WNT6_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,,1,,1
F7F060,F7F060_ORNAN,ENSOANP00000014724,ORNAN,2.0,,,,,,,,,,,,1,,1
P28465,WNT2_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
P24257,WNT1_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
P24383,WNT7A_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
Q3L254,WNT7B_CHICK,nan,CHICK,1.0,,,,,,,,,,,,1,,
P56706,WNT7B_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
Q3C2H6,Q3C2H6_CHICK,nan,CHICK,1.0,,,,,,,,,,,,,,1
P04628,WNT1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
Q3L258,nan,nan,nan,1.0,,,,,,,,,,1,,,,
Q4JLT0,Q4JLT0_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
Q5TP56,Q5TP56_ANOGA,nan,ANOGA,1.0,,,,,,,,,,1,,,,
Q9DEB8,Q9DEB8_CHICK,nan,CHICK,1.0,,,,,,,,,,,,1,,
P09615,WNTG_DROME,nan,DROME,1.0,,,,,,,,,,1,,,,
A0NG52,A0NG52_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
P04426,WNT1_MOUSE,nan,MOUSE,1.0,,,,,,,,,,1,,,,
E7FBM9,E7FBM9_DANRE,ENSDARP00000076260,DANRE,1.0,,,,,,,,,,,,1,,
B0V1G9,nan,nan,nan,1.0,,,,,,,,,,,,,,1
B7PV27,B7PV27_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
B7QGH6,B7QGH6_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,1,,
D4A9J2,D4A9J2_RAT,nan,RAT,1.0,,,,,,,,,,1,,,,
E1BEN9,E1BEN9_BOVIN,ENSBTAP00000020414,BOVIN,1.0,,,,,,,,,,1,,,,
E2RTG8,E2RTG8_CANFA,ENSCAFP00000012878,CANFA,1.0,,,,,,,,,,1,,,,
F1MN70,F1MN70_BOVIN,ENSBTAP00000018592,BOVIN,1.0,,,,,,,,,,,,,,1
O00755,WNT7A_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
F6PG57,F6PG57_MONDO,ENSMODP00000010773,MONDO,1.0,,,,,,,,,,,,1,,
F6SLX4,F6SLX4_MACMU,ENSMMUP00000020624,MACMU,1.0,,,,,,,,,,1,,,,
F6X3B2,F6X3B2_XENTR,ENSXETP00000021634,XENTR,1.0,,,,,,,,,,1,,,,
F6XT17,F6XT17_XENTR,ENSXETP00000030315,XENTR,1.0,,,,,,,,,,,,,,1
H2Q5U4,H2Q5U4_PANTR,ENSPTRP00000008364,PANTR,1.0,,,,,,,,,,1,,,,
H9H6S3,H9H6S3_MONDO,ENSMODP00000019602,MONDO,1.0,,,,,,,,,,1,,,,
H2TX02,H2TX02_TAKRU,ENSTRUP00000029211,TAKRU,1.0,,,,,,,,,,1,,,,
