ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F6PVL6,F6PVL6_ORNAN,ENSOANP00000009021,ORNAN,10.0,1,1,1,1,,1,1,1,1,1,,1,,
F6RG76,F6RG76_XENTR,ENSXETP00000046173,XENTR,9.0,1,1,1,1,,1,1,1,1,,,1,,
C3ZV81,C3ZV81_BRAFL,nan,BRAFL,7.0,1,1,,1,,1,,1,1,,,1,,
A9UWK5,A9UWK5_MONBE,nan,MONBE,5.0,1,1,,,,1,1,1,,,,,,
P21359,NF1_HUMAN,nan,HUMAN,4.0,,,,,,1,1,1,,,,1,,
H2QCM0,H2QCM0_PANTR,ENSPTRP00000015312,PANTR,4.0,,,,,,1,1,1,,,,1,,
Q04690,NF1_MOUSE,nan,MOUSE,4.0,,,,,,1,1,1,,,,1,,
nan,nan,ENSCINP00000028345,CIOIN,3.0,,,,,,1,,1,,,,1,,
F1PIZ0,F1PIZ0_CANFA,ENSCAFP00000027461,CANFA,3.0,,,,,,1,1,1,,,,,,
E1C9F6,E1C9F6_CHICK,nan,CHICK,3.0,,,,,,1,,1,,,,1,,
Q5A3Q1,Q5A3Q1_CANAL,nan,CANAL,3.0,,,,,,1,,1,,1,,,,
F6UAM4,F6UAM4_MACMU,ENSMMUP00000011285,MACMU,3.0,,,,,,1,,1,,,,1,,
F6ZHU9,F6ZHU9_MONDO,ENSMODP00000023994,MONDO,3.0,,,,,,1,1,1,,,,,,
C4QAG8,nan,nan,nan,3.0,,,,,,1,,1,,,,1,,
Q7QBJ9,Q7QBJ9_ANOGA,nan,ANOGA,3.0,,,,,,1,,1,,,,1,,
O01398,O01398_DROME,nan,DROME,3.0,,,,,,1,,1,,,,1,,
P18963,IRA1_YEAST,nan,YEAST,3.0,,,,,,1,,1,,1,,,,
Q6CFF4,Q6CFF4_YARLI,nan,YARLI,3.0,,,,,,1,,1,,1,,,,
P97526,NF1_RAT,nan,RAT,3.0,,,,,,1,1,1,,,,,,
nan,nan,ENSCINP00000029382,CIOIN,2.0,,,,,,,1,,,,,1,,
Q5KFG6,Q5KFG6_CRYNJ,nan,CRYNJ,2.0,,,,,,1,,1,,,,,,
Q5A3W3,Q5A3W3_CANAL,nan,CANAL,2.0,,,,,,,,1,,1,,,,
Q7RWZ8,Q7RWZ8_NEUCR,nan,NEUCR,2.0,,,,,,1,,1,,,,,,
A7F7G1,A7F7G1_SCLS1,nan,SCLS1,2.0,,,,,,1,,1,,,,,,
Q4PF31,Q4PF31_USTMA,nan,USTMA,2.0,,,,,,1,,1,,,,,,
P19158,IRA2_YEAST,nan,YEAST,2.0,,,,,,,,1,,1,,,,
H2SP70,H2SP70_TAKRU,ENSTRUP00000014207,TAKRU,2.0,,,,,,1,,1,,,,,,
F1MHW1,F1MHW1_BOVIN,ENSBTAP00000015699,BOVIN,2.0,,,,,,1,,1,,,,,,
Q54WD0,Q54WD0_DICDI,nan,DICDI,1.0,,,,,,1,,,,,,,,
Q55CR5,Q55CR5_DICDI,nan,DICDI,1.0,,,,,,,,,,1,,,,
P35608,NF1_CHICK,nan,CHICK,1.0,,,,,,,,,,1,,,,
A7SJB4,A7SJB4_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
Q7QCN5,Q7QCN5_ANOGA,nan,ANOGA,1.0,,,,,,,,,,1,,,,
F6TLJ7,F6TLJ7_CIOIN,ENSCINP00000007183,CIOIN,1.0,,,,,,,,,,1,,,,
Q86KH4,Y8830_DICDI,nan,DICDI,1.0,,,,,,,,,,,,1,,
Q8IR23,Q8IR23_DROME,nan,DROME,1.0,,,,,,,,,,1,,,,
Q8SSU4,Q8SSU4_DICDI,nan,DICDI,1.0,,,,,,,,,,,,1,,
E1BTI4,nan,nan,nan,1.0,,,,,,,,1,,,,,,
nan,nan,ENSP00000392148,HUMAN,1.0,,,,,,,,,,,,1,,
