ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F7AJD0,F7AJD0_ORNAN,ENSOANP00000027602,ORNAN,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
H2QNQ2,H2QNQ2_PANTR,ENSPTRP00000026863,PANTR,11.0,1,1,1,1,,1,1,1,1,,,1,1,1
Q8C8Y5,SAMD7_MOUSE,nan,MOUSE,11.0,1,1,1,1,,1,1,1,1,,,1,1,1
Q7Z3H4,SAMD7_HUMAN,nan,HUMAN,11.0,1,1,1,1,,1,1,1,1,,,1,1,1
D4A5C9,D4A5C9_RAT,nan,RAT,11.0,1,1,1,1,,1,1,1,1,,,1,1,1
E1BHF0,E1BHF0_BOVIN,ENSBTAP00000024261,BOVIN,11.0,1,1,1,1,,1,1,1,1,,,1,1,1
E1BQI5,E1BQI5_CHICK,nan,CHICK,11.0,1,1,1,1,,1,1,1,1,,,1,1,1
E2RNZ1,E2RNZ1_CANFA,ENSCAFP00000021753,CANFA,11.0,1,1,1,1,,1,1,1,1,,,1,1,1
H2SDZ9,H2SDZ9_TAKRU,ENSTRUP00000010630,TAKRU,11.0,1,1,1,1,,1,1,1,1,,,1,1,1
F7DVA3,F7DVA3_XENTR,ENSXETP00000020234,XENTR,11.0,1,1,1,1,,1,1,1,1,,,1,1,1
F7FYR5,F7FYR5_MONDO,ENSMODP00000020099,MONDO,11.0,1,1,1,1,,1,1,1,1,,,1,1,1
F6TC12,F6TC12_MACMU,ENSMMUP00000028832,MACMU,10.0,1,,1,1,,1,1,1,1,,,1,1,1
B3DJI7,B3DJI7_DANRE,nan,DANRE,6.0,,,,,,1,1,,1,,,1,1,1
A7REY2,A7REY2_NEMVE,nan,NEMVE,3.0,,,,,,,,,,1,,1,,1
Q9VKL0,Q9VKL0_DROME,nan,DROME,2.0,,,,,,,,,,,,1,,1
B3DGY0,B3DGY0_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
H2ULM9,H2ULM9_TAKRU,ENSTRUP00000037850,TAKRU,1.0,,,,,,,,,,1,,,,
Q7PMB8,Q7PMB8_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,,,1
C9J3J2,nan,nan,nan,1.0,,,,,,,,,,1,,,,
C3ZIX6,C3ZIX6_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,,1
nan,nan,ENSXETP00000053800,XENTR,1.0,,,,,,,,,,1,,,,
