ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F7AX58,F7AX58_ORNAN,ENSOANP00000018112,ORNAN,6.0,1,1,,,,,1,,1,1,,1,,
Q9JK96,KCNQ4_RAT,nan,RAT,4.0,1,1,,,,,1,,1,,,,,
F1Q3A1,F1Q3A1_CANFA,ENSCAFP00000004162,CANFA,3.0,,,,,,,1,,,1,,1,,
F7ASC9,F7ASC9_MACMU,ENSMMUP00000020943,MACMU,3.0,,,,,,,1,,,1,,1,,
Q9JK97,KCNQ4_MOUSE,nan,MOUSE,3.0,,,,,,,1,,,1,,1,,
P56696,KCNQ4_HUMAN,nan,HUMAN,3.0,,,,,,,1,,,1,,1,,
H2PYS7,H2PYS7_PANTR,ENSPTRP00000001033,PANTR,3.0,,,,,,,1,,,1,,1,,
F7B5A9,F7B5A9_MONDO,ENSMODP00000021931,MONDO,3.0,,,,,,,1,,,1,,1,,
F1N6U1,F1N6U1_BOVIN,ENSBTAP00000003421,BOVIN,3.0,,,,,,,1,,,1,,1,,
Q2I2K5,Q2I2K5_CHICK,nan,CHICK,2.0,,,,,,,1,,,1,,,,
Q0P4Q9,Q0P4Q9_XENTR,ENSXETP00000010358,XENTR,2.0,,,,,,,1,,,,,1,,
H2UI37,H2UI37_TAKRU,ENSTRUP00000036608,TAKRU,2.0,,,,,,,1,,,,,1,,
H2RRL6,H2RRL6_TAKRU,ENSTRUP00000002782,TAKRU,2.0,1,1,,,,,,,,,,,,
C4Q854,nan,nan,nan,2.0,,,,,,,1,,,,,1,,
C3ZX16,C3ZX16_BRAFL,nan,BRAFL,2.0,,,,,,,,,,1,,1,,
Q8MQC5,Q8MQC5_CAEEL,nan,CAEEL,2.0,,,,,,,1,,,,,1,,
C3ZTY5,C3ZTY5_BRAFL,nan,BRAFL,2.0,,,,,,,,,,1,,1,,
A7S0A4,A7S0A4_NEMVE,nan,NEMVE,2.0,,,,,,,,,,1,,1,,
Q7UIN7,Q7UIN7_RHOBA,nan,RHOBA,1.0,,,,,,,,,,1,,,,
Q89Z91,Q89Z91_BACTN,nan,BACTN,1.0,,,,,,,,,,1,,,,
Q8TP82,Q8TP82_METAC,nan,METAC,1.0,,,,,,,,,,1,,,,
Q89I90,Q89I90_BRADU,nan,BRADU,1.0,,,,,,,,,,1,,,,
Q89CE1,Q89CE1_BRADU,nan,BRADU,1.0,,,,,,,,,,1,,,,
A1Z856,A1Z856_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
Q7PP97,Q7PP97_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
Q5KMN4,Q5KMN4_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,,1,,,,
A6V805,A6V805_PSEA7,nan,PSEA7,1.0,,,,,,,,,,1,,,,
C3ZX15,C3ZX15_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
B8BY88,B8BY88_THAPS,nan,THAPS,1.0,,,,,,,,,,1,,,,
B7PWK9,B7PWK9_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,1,,
A9V1I5,A9V1I5_MONBE,nan,MONBE,1.0,,,,,,,,,,1,,,,
Q9RW39,Q9RW39_DEIRA,nan,DEIRA,1.0,,,,,,,,,,1,,,,
