ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q9H6A9,PCX3_HUMAN,nan,HUMAN,11.0,1,1,,1,,1,1,1,1,1,,1,1,1
D3ZSQ1,D3ZSQ1_RAT,nan,RAT,11.0,1,1,,1,,1,1,1,1,1,,1,1,1
F7BSB8,F7BSB8_ORNAN,ENSOANP00000013094,ORNAN,11.0,1,1,,1,,1,1,1,1,1,,1,1,1
Q8VI59,PCX3_MOUSE,nan,MOUSE,10.0,,1,,1,,1,1,1,1,1,,1,1,1
E2RMR5,E2RMR5_CANFA,ENSCAFP00000019733,CANFA,10.0,,1,,1,,1,1,1,1,1,,1,1,1
F6T3E7,F6T3E7_MACMU,ENSMMUP00000009716,MACMU,8.0,1,1,,,,1,1,1,,1,,1,,1
H2Q440,H2Q440_PANTR,ENSPTRP00000006704,PANTR,8.0,1,1,,,,1,1,1,,1,,1,,1
E1BCD5,E1BCD5_BOVIN,ENSBTAP00000004893,BOVIN,6.0,,,,,,,1,,1,1,,1,1,1
F6RDT4,F6RDT4_MONDO,ENSMODP00000012033,MONDO,6.0,,,,,,,1,,1,1,,1,1,1
H2V358,H2V358_TAKRU,ENSTRUP00000043639,TAKRU,6.0,,,,1,,,,,1,1,,1,1,1
C3XZ45,C3XZ45_BRAFL,nan,BRAFL,5.0,,,,,,,,,1,1,,1,1,1
A9V1W0,A9V1W0_MONBE,nan,MONBE,4.0,,,,,,,,,1,1,,1,,1
C4Q127,nan,nan,nan,4.0,,,,,,,,,1,1,,1,,1
F7BAZ7,F7BAZ7_CIOIN,ENSCINP00000001707,CIOIN,3.0,,,,,,,,1,,,,1,,1
P18490,PCX_DROME,nan,DROME,3.0,,,,,,,,,1,,,1,,1
O61825,O61825_CAEEL,nan,CAEEL,3.0,,,,,,,,,1,,,1,,1
A2EF17,A2EF17_TRIVA,nan,TRIVA,3.0,,,,,,,,,1,1,,,,1
B7P3C3,B7P3C3_IXOSC,nan,IXOSC,3.0,,,,,,,,,,1,,1,,1
A7SIN8,A7SIN8_NEMVE,nan,NEMVE,2.0,,,,,,,,,,1,,1,,
F6SXG8,F6SXG8_MACMU,ENSMMUP00000009726,MACMU,2.0,,,,,,,,,,1,,,,1
Q5RK02,Q5RK02_RAT,nan,RAT,2.0,,,,,,,,,,1,,,,1
Q5TV94,Q5TV94_ANOGA,nan,ANOGA,2.0,,,,,,,,,1,,,,,1
nan,nan,ENSCINP00000027089,CIOIN,2.0,,,,,,,1,1,,,,,,
F6X9W4,F6X9W4_CIOIN,ENSCINP00000027090,CIOIN,1.0,,,,,,,,,,1,,,,
E9PSU6,E9PSU6_RAT,ENSRNOP00000010022,RAT,1.0,,,,,,,,1,,,,,,
C3XZ46,C3XZ46_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
Q95X34,nan,nan,nan,1.0,,,,,,,,,,1,,,,
A7SIN9,A7SIN9_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,,1
nan,nan,ENSCINP00000001710,CIOIN,1.0,,,,,,,,1,,,,,,
