ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A9UZ28,A9UZ28_MONBE,nan,MONBE,1.0,,,,,,,,,,,,,,1
D4A301,nan,nan,nan,1.0,,,,,,,,,,,,,,1
E1BA17,E1BA17_BOVIN,ENSBTAP00000017783,BOVIN,1.0,,,,,,,,,,,,,,1
E2RT85,E2RT85_CANFA,ENSCAFP00000001338,CANFA,1.0,,,,,,,,,,,,,,1
F6VRI0,F6VRI0_CIOIN,ENSCINP00000000680,CIOIN,1.0,,,,,,,,,,,,,,1
F7BSL1,F7BSL1_ORNAN,ENSOANP00000025066,ORNAN,1.0,,,,,,,,,,,,,,1
F7EVM1,F7EVM1_MONDO,ENSMODP00000004569,MONDO,1.0,,,,,,,,,,,,,,1
F7HQD8,F7HQD8_MACMU,ENSMMUP00000003491,MACMU,1.0,,,,,,,,,,,,,,1
H2QWM9,H2QWM9_PANTR,ENSPTRP00000035127,PANTR,1.0,,,,,,,,,,,,,,1
Q05707,COEA1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,,1
Q80X19,COEA1_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,,,1
