ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F7C6B9,F7C6B9_ORNAN,ENSOANP00000022545,ORNAN,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
H2QYM4,H2QYM4_PANTR,ENSPTRP00000037620,PANTR,11.0,1,1,1,1,,1,1,1,,1,,1,1,1
Q6P461,ACSM6_HUMAN,nan,HUMAN,6.0,,,1,1,,,,,,1,,1,1,1
Q89N84,Q89N84_BRADU,nan,BRADU,5.0,,,,,,,,,1,1,,1,1,1
Q9Z5A7,Q9Z5A7_STRCO,nan,STRCO,5.0,,,,,,,,1,1,1,,,1,1
A7T6Z5,A7T6Z5_NEMVE,nan,NEMVE,5.0,,,,1,,,,,,1,,1,1,1
C0SPB0,YTCI_BACSU,nan,BACSU,5.0,,,,,,,,,1,1,,1,1,1
B5YJK8,B5YJK8_THEYD,nan,THEYD,5.0,,,,,,,,,1,1,,1,1,1
Q8TLW1,Q8TLW1_METAC,nan,METAC,4.0,,,,,,,,,,1,,1,1,1
A7RW67,A7RW67_NEMVE,nan,NEMVE,4.0,,,,,,,,,,1,,1,1,1
Q8A1B1,Q8A1B1_BACTN,nan,BACTN,4.0,,,,,,,,,,1,,1,1,1
C3YWF5,C3YWF5_BRAFL,nan,BRAFL,3.0,,,,,,,,,,,,1,1,1
O45873,O45873_CAEEL,nan,CAEEL,2.0,,,,,,,,,,1,,1,,
Q8SSN6,Q8SSN6_DICDI,nan,DICDI,1.0,,,,,,,,,1,,,,,
Q9VDU1,Q9VDU1_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
Q9VDU3,Q9VDU3_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
Q7S7F6,Q7S7F6_NEUCR,nan,NEUCR,1.0,,,,,,,,1,,,,,,
Q9VDU4,Q9VDU4_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
Q551W4,Q551W4_DICDI,nan,DICDI,1.0,,,,,,,,,1,,,,,
Q23404,Q23404_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
Q17577,Q17577_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
Q10878,nan,nan,nan,1.0,,,,,,,,,,1,,,,
P38137,FAT2_YEAST,nan,YEAST,1.0,,,,,,,,1,,,,,,
O06831,O06831_MYCTU,nan,MYCTU,1.0,,,,,,,,1,,,,,,
Q9VRQ4,Q9VRQ4_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
O02171,O02171_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
Q9XV68,Q9XV68_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
F7CLR2,F7CLR2_MACMU,ENSMMUP00000018891,MACMU,1.0,,,,,,,,,,,,,,1
A6V4Q6,A6V4Q6_PSEA7,nan,PSEA7,1.0,,,,,,,,1,,,,,,
F6TG65,F6TG65_XENTR,ENSXETP00000036505,XENTR,1.0,,,,,,,,,,,,,,1
B7PDU5,B7PDU5_IXOSC,nan,IXOSC,1.0,,,,,,,,1,,,,,,
A7F1C0,A7F1C0_SCLS1,nan,SCLS1,1.0,,,,,,,,,,1,,,,
A8DYB6,A8DYB6_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
A9RN00,A9RN00_PHYPA,nan,PHYPA,1.0,,,,,,,,1,,,,,,
A9WFH5,A9WFH5_CHLAA,nan,CHLAA,1.0,,,,,,,,1,,,,,,
B0R5D9,B0R5D9_HALS3,nan,HALS3,1.0,,,,,,,,1,,,,,,
B7P293,B7P293_IXOSC,nan,IXOSC,1.0,,,,,,,,1,,,,,,
B7P431,B7P431_IXOSC,nan,IXOSC,1.0,,,,,,,,1,,,,,,
B7P5V6,B7P5V6_IXOSC,nan,IXOSC,1.0,,,,,,,,1,,,,,,
B7P5W3,B7P5W3_IXOSC,nan,IXOSC,1.0,,,,,,,,1,,,,,,
B7PHG0,B7PHG0_IXOSC,nan,IXOSC,1.0,,,,,,,,1,,,,,,
A6V9L8,A6V9L8_PSEA7,nan,PSEA7,1.0,,,,,,,,,,1,,,,
B7PHW6,B7PHW6_IXOSC,nan,IXOSC,1.0,,,,,,,,1,,,,,,
B7PIH3,B7PIH3_IXOSC,nan,IXOSC,1.0,,,,,,,,1,,,,,,
B7PLH8,B7PLH8_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
B7Q810,B7Q810_IXOSC,nan,IXOSC,1.0,,,,,,,,1,,,,,,
B7QB16,B7QB16_IXOSC,nan,IXOSC,1.0,,,,,,,,1,,,,,,
B7QC00,B7QC00_IXOSC,nan,IXOSC,1.0,,,,,,,,1,,,,,,
B7QH96,B7QH96_IXOSC,nan,IXOSC,1.0,,,,,,,,1,,,,,,
B7ZVD4,B7ZVD4_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,,1
C3YGU1,C3YGU1_BRAFL,nan,BRAFL,1.0,,,,1,,,,,,,,,,
nan,nan,ENSMODP00000008491,MONDO,1.0,,,,,,,,,,1,,,,
