ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F7G5B6,F7G5B6_ORNAN,ENSOANP00000011191,ORNAN,6.0,,,,,,,1,1,1,1,,1,,1
E2RHG9,E2RHG9_CANFA,ENSCAFP00000007024,CANFA,4.0,,,,,,,1,,,1,,1,,1
Q14681,KCTD2_HUMAN,nan,HUMAN,4.0,,,,,,,1,,,1,,1,,1
Q0P490,Q0P490_DANRE,nan,DANRE,4.0,,,,,,,1,,,1,,1,,1
H2TMT2,H2TMT2_TAKRU,ENSTRUP00000025988,TAKRU,4.0,,,,,,,1,,,1,,1,,1
H2QAD9,H2QAD9_PANTR,ENSPTRP00000013086,PANTR,4.0,,,,,,,1,,,1,,1,,1
F6W0N1,F6W0N1_XENTR,ENSXETP00000027364,XENTR,4.0,,,,,,,1,,,1,,1,,1
F6RYH6,F6RYH6_MONDO,ENSMODP00000008863,MONDO,4.0,,,,,,,1,,,1,,1,,1
F6PT82,F6PT82_MACMU,ENSMMUP00000015290,MACMU,4.0,,,,,,,1,,,1,,1,,1
F1MR39,F1MR39_BOVIN,ENSBTAP00000040188,BOVIN,4.0,,,,,,,1,,,1,,1,,1
A2A9V9,A2A9V9_MOUSE,nan,MOUSE,4.0,,,,,,,1,,,1,,1,,1
nan,nan,ENSRNOP00000063551,RAT,4.0,,,,,,,1,,,1,,1,,1
C3YCA9,C3YCA9_BRAFL,nan,BRAFL,3.0,,,,,,,,,,1,,1,,1
nan,nan,ENSCINP00000005037,CIOIN,3.0,,,,,,,,,,1,,1,,1
A7S880,A7S880_NEMVE,nan,NEMVE,3.0,,,,,,,,,,1,,1,,1
Q5ZJ62,Q5ZJ62_CHICK,nan,CHICK,3.0,,,,,,,1,,,,,1,,1
O76889,O76889_DROME,nan,DROME,3.0,,,,,,,,1,,1,,,,1
Q7QEP2,Q7QEP2_ANOGA,nan,ANOGA,2.0,,,,,,,,,,1,,,,1
Q55EJ0,Q55EJ0_DICDI,nan,DICDI,2.0,,,,,,,,,,1,,1,,
Q18776,Q18776_CAEEL,nan,CAEEL,2.0,,,,,,,,1,,,,1,,
B7P0N3,B7P0N3_IXOSC,nan,IXOSC,2.0,,,,,,,,,,,,1,,1
A9RJ00,A9RJ00_PHYPA,nan,PHYPA,1.0,,,,,,,,,,1,,,,
A9RJ03,A9RJ03_PHYPA,nan,PHYPA,1.0,,,,,,,,,,1,,,,
Q3E8B2,nan,nan,nan,1.0,,,,,,,,,,1,,,,
Q54MC2,Q54MC2_DICDI,nan,DICDI,1.0,,,,,,,,,,,,1,,
Q54ML5,Q54ML5_DICDI,nan,DICDI,1.0,,,,,,,,,1,,,,,
A9S7Y1,A9S7Y1_PHYPA,nan,PHYPA,1.0,,,,,,,,,,1,,,,
A9SRT1,A9SRT1_PHYPA,nan,PHYPA,1.0,,,,,,,,,,1,,,,
A9TNT9,A9TNT9_PHYPA,nan,PHYPA,1.0,,,,,,,,,,1,,,,
Q9SE95,FIP2_ARATH,nan,ARATH,1.0,,,,,,,,,,1,,,,
E1C8D9,E1C8D9_CHICK,nan,CHICK,1.0,,,,,,,,,,1,,,,
