ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
H2Q062,H2Q062_PANTR,ENSPTRP00000002357,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
O15156,ZBT7B_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
D4A579,D4A579_RAT,nan,RAT,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
F6ZR15,F6ZR15_MACMU,ENSMMUP00000005415,MACMU,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
Q64321,ZBT7B_MOUSE,nan,MOUSE,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
F6UNN7,F6UNN7_CANFA,ENSCAFP00000025222,CANFA,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
F6U3E7,F6U3E7_MONDO,ENSMODP00000021371,MONDO,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
E1BGW3,E1BGW3_BOVIN,ENSBTAP00000028669,BOVIN,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
F6YV58,F6YV58_XENTR,ENSXETP00000043301,XENTR,8.0,1,1,1,1,,,,,1,,,1,1,1
Q6PG26,Q6PG26_DANRE,nan,DANRE,3.0,,,,,,,,,,1,,1,,1
C3ZD39,C3ZD39_BRAFL,nan,BRAFL,2.0,,,,,,,,1,,,,1,,
H2UNE5,H2UNE5_TAKRU,ENSTRUP00000038466,TAKRU,2.0,,,,,,,,,,,,1,,1
F6PRH4,F6PRH4_ORNAN,ENSOANP00000009436,ORNAN,2.0,,,,,1,,,,,,1,,,
Q8IGP5,Q8IGP5_DROME,nan,DROME,2.0,,,,,,,,,,1,1,,,
C3ZDH5,C3ZDH5_BRAFL,nan,BRAFL,2.0,,,,,,,1,,,,,,1,
Q7PWW4,Q7PWW4_ANOGA,nan,ANOGA,2.0,,,,,,,,,,1,1,,,
Q940P2,Q940P2_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q4PG32,Q4PG32_USTMA,nan,USTMA,1.0,,,,,,,,,,,1,,,
Q4PIC7,Q4PIC7_USTMA,nan,USTMA,1.0,,,,,,,,,1,,,,,
Q5TQM8,Q5TQM8_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
Q9V9N4,Q9V9N4_DROME,nan,DROME,1.0,,,,,,,,,,1,,,,
Q8IPA9,nan,nan,nan,1.0,,,,,,,,,,,1,,,
Q7PX98,Q7PX98_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
Q84MZ4,Q84MZ4_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q7QBT7,Q7QBT7_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
Q7PYZ3,Q7PYZ3_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
Q7Q0Y8,Q7Q0Y8_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
Q7QAI5,Q7QAI5_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
P07247,KRUP_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
A2E6A3,A2E6A3_TRIVA,nan,TRIVA,1.0,,,,,,,,,1,,,,,
H9GYU8,H9GYU8_DANRE,ENSDARP00000109076,DANRE,1.0,,,,,,,,,,,,,1,
H2U9N3,H2U9N3_TAKRU,ENSTRUP00000033649,TAKRU,1.0,,,,,,,,,,,1,,,
A9UL43,A9UL43_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,1,
A9UYY7,A9UYY7_MONBE,nan,MONBE,1.0,,,,,,,,,1,,,,,
A9V1X5,A9V1X5_MONBE,nan,MONBE,1.0,,,,,,,,,1,,,,,
B7PHX5,B7PHX5_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,1,,,
B7PRU9,B7PRU9_IXOSC,nan,IXOSC,1.0,,,,1,,,,,,,,,,
C3ZBA4,C3ZBA4_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
C3ZFM2,C3ZFM2_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,1,
C4Q0D4,nan,nan,nan,1.0,,,,,,,,,,1,,,,
C4Q3R4,nan,nan,nan,1.0,,,,,,,,,1,,,,,
E9QG48,E9QG48_DANRE,ENSDARP00000122504,DANRE,1.0,,,,,,,,,,,,,1,
F6VMK4,F6VMK4_CIOIN,ENSCINP00000026547,CIOIN,1.0,,,,,,,,,,,,1,,
F6WJ31,F6WJ31_CIOIN,ENSCINP00000015643,CIOIN,1.0,,,,,,,,,,,1,,,
F6XZP0,F6XZP0_CIOIN,ENSCINP00000025833,CIOIN,1.0,,,,,,,,,,,,,1,
A7T1G5,A7T1G5_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
H2S3C8,H2S3C8_TAKRU,ENSTRUP00000006900,TAKRU,1.0,,,,,,,,,,,,,1,
Q9VN56,Q9VN56_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
