ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
H2QF94,H2QF94_PANTR,ENSPTRP00000017757,PANTR,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,
Q8NG98,OR7D4_HUMAN,nan,HUMAN,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,
Q8VG88,Q8VG88_MOUSE,nan,MOUSE,11.0,1,,1,1,1,1,1,1,1,,1,1,1,
nan,nan,ENSCAFP00000033350,CANFA,10.0,1,1,,,1,1,1,1,1,,1,1,1,
D3Z819,D3Z819_RAT,nan,RAT,9.0,1,,1,1,,1,1,1,1,,,1,1,
F7B0D5,F7B0D5_MONDO,ENSMODP00000009117,MONDO,5.0,,1,,,,,,,1,,1,1,1,
F1PXA7,F1PXA7_CANFA,ENSCAFP00000030334,CANFA,5.0,,,,,,,,1,1,,1,1,1,
F6VWW2,F6VWW2_MONDO,ENSMODP00000008984,MONDO,5.0,,,,,,,1,,1,,1,1,1,
F6WBU1,F6WBU1_MONDO,ENSMODP00000008973,MONDO,4.0,,,,,,,,,1,,1,1,1,
F6U8H3,F6U8H3_MONDO,ENSMODP00000031862,MONDO,4.0,,,,,,,,,1,,1,1,1,
F6X5P3,F6X5P3_MONDO,ENSMODP00000031607,MONDO,4.0,,,,,,,,,1,,1,1,1,
F6X5C7,F6X5C7_MONDO,ENSMODP00000031610,MONDO,4.0,,,,,,,,,1,,1,1,1,
F6WQN4,F6WQN4_MONDO,ENSMODP00000031612,MONDO,4.0,,,,,,,,,1,,1,1,1,
F6WC95,F6WC95_MONDO,ENSMODP00000008964,MONDO,4.0,,,,,,,,,1,,1,1,1,
F6U8V4,F6U8V4_MONDO,ENSMODP00000031859,MONDO,4.0,,,,,,,,,1,,1,1,1,
F6TVB3,F6TVB3_ORNAN,ENSOANP00000018808,ORNAN,4.0,,,,,,,,1,1,,1,1,,
F6U8A9,F6U8A9_MONDO,ENSMODP00000031868,MONDO,4.0,,,,,,,,,1,,1,1,1,
F6U7Z1,F6U7Z1_MONDO,ENSMODP00000031870,MONDO,4.0,,,,,,,,,1,,1,1,1,
F7ATB3,F7ATB3_MONDO,ENSMODP00000018064,MONDO,4.0,,,,,,,,,1,,1,1,1,
F6QAR0,F6QAR0_ORNAN,ENSOANP00000013839,ORNAN,4.0,,,,,,,,1,1,,1,1,,
F7FC42,F7FC42_MONDO,ENSMODP00000009047,MONDO,4.0,,,,,,,,,1,,1,1,1,
F6X5Q0,F6X5Q0_MONDO,ENSMODP00000031606,MONDO,4.0,,,,,,,,,1,,1,1,1,
F7A5I1,F7A5I1_MONDO,ENSMODP00000018081,MONDO,3.0,,,,,,,,,1,,,1,1,
Q8VEY9,Q8VEY9_MOUSE,nan,MOUSE,3.0,,,,,,,,,,,1,1,1,
F7BNN6,F7BNN6_ORNAN,ENSOANP00000020601,ORNAN,3.0,,,,,,,,1,1,,1,,,
Q7TRF3,OL867_MOUSE,nan,MOUSE,3.0,,,,,,,,,,,1,1,1,
H9H476,H9H476_MACMU,ENSMMUP00000027591,MACMU,3.0,,,,,,,,,,1,,1,1,
P35896,O1174_RAT,nan,RAT,3.0,,,,,,,,,,,1,1,1,
F6X5U6,F6X5U6_MONDO,ENSMODP00000031603,MONDO,3.0,,,,,,,,,1,,,1,1,
F6UM42,F6UM42_ORNAN,ENSOANP00000015319,ORNAN,3.0,,,,,,,,1,1,,1,,,
D3ZZJ3,D3ZZJ3_RAT,nan,RAT,3.0,,,,,,,,,,,1,1,1,
D3ZWF0,nan,nan,nan,3.0,,,,,,,,,,,1,1,1,
nan,nan,ENSXETP00000045933,XENTR,2.0,,,,,,,,,,,1,,1,
