ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A6QQC3,A6QQC3_BOVIN,ENSBTAP00000027028,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6UWJ2,F6UWJ2_MONDO,ENSMODP00000005075,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q568L4,Q568L4_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q7Q423,Q7Q423_ANOGA,nan,ANOGA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P32321,DCTD_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q8K2D6,DCTD_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2TSR3,H2TSR3_TAKRU,ENSTRUP00000027721,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2QQH1,H2QQH1_PANTR,ENSPTRP00000028516,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q5M9G0,DCTD_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6X0W7,F6X0W7_MACMU,ENSMMUP00000000386,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q5ZJM4,Q5ZJM4_CHICK,nan,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6UJZ5,F6UJZ5_XENTR,ENSXETP00000041281,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nan,nan,ENSCAFP00000011775,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C4PZL8,nan,nan,nan,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A7SGH8,A7SGH8_NEMVE,nan,NEMVE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B5YLP7,B5YLP7_THAPS,nan,THAPS,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9VWA2,DCTD_DROME,nan,DROME,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q1PEH3,Q1PEH3_ARATH,nan,ARATH,13.0,1,1,1,1,1,1,1,1,1,1,1,1,,1
A9V3W2,A9V3W2_MONBE,nan,MONBE,13.0,1,1,1,1,,1,1,1,1,1,1,1,1,1
Q8RHU2,Q8RHU2_FUSNN,nan,FUSNN,13.0,1,1,1,1,1,,1,1,1,1,1,1,1,1
C3YZ91,C3YZ91_BRAFL,nan,BRAFL,12.0,1,1,,1,1,1,1,1,1,1,1,1,1,
P30648,DCTD_CAEEL,nan,CAEEL,11.0,1,1,,,1,1,1,1,1,1,1,1,1,
F6V0Z2,F6V0Z2_ORNAN,ENSOANP00000009982,ORNAN,11.0,1,1,,1,,1,1,1,1,1,,1,1,1
P32393,COMEB_BACSU,nan,BACSU,9.0,1,,,1,1,,1,1,1,1,1,,,1
Q74CI7,Q74CI7_GEOSL,nan,GEOSL,9.0,1,,,1,1,,1,1,1,1,1,,,1
F6ZC01,F6ZC01_CIOIN,ENSCINP00000026466,CIOIN,9.0,,,1,,,1,1,1,1,1,,1,1,1
Q89ZW1,Q89ZW1_BACTN,nan,BACTN,8.0,1,,,,1,,1,1,1,1,1,,,1
Q9WYN5,Q9WYN5_THEMA,nan,THEMA,8.0,1,,,1,1,,1,1,,1,1,,,1
Q6CAZ2,Q6CAZ2_YARLI,nan,YARLI,8.0,,,,,1,1,1,1,,1,1,1,,1
nan,nan,ENSCINP00000028037,CIOIN,8.0,,,,,1,,,1,1,1,1,1,1,1
P06773,DCTD_YEAST,nan,YEAST,8.0,,,,,1,1,1,1,,1,1,1,,1
O43012,DCTD_SCHPO,nan,SCHPO,8.0,,,,,1,1,1,1,,1,1,1,,1
Q9RR66,Q9RR66_DEIRA,nan,DEIRA,7.0,1,,,,1,,1,1,1,1,1,,,
Q8TUD1,Q8TUD1_METAC,nan,METAC,7.0,,,,,1,,1,1,1,1,1,,,1
Q0U077,Q0U077_PHANO,nan,PHANO,7.0,,,,,1,1,1,1,,1,1,,,1
Q59ZU8,Q59ZU8_CANAL,nan,CANAL,7.0,,,,,1,1,1,,,1,1,1,,1
A7EI76,A7EI76_SCLS1,nan,SCLS1,6.0,,,,,1,1,1,,,1,1,,,1
Q7S7J8,Q7S7J8_NEUCR,nan,NEUCR,6.0,,,,,1,1,1,,,1,1,,,1
Q5JHS0,Q5JHS0_THEKO,nan,THEKO,6.0,1,,,,1,,,,1,1,1,,,1
Q5KMP7,Q5KMP7_CRYNJ,nan,CRYNJ,5.0,,,,,1,1,1,,,1,1,,,
Q8TUD2,Q8TUD2_METAC,nan,METAC,5.0,,,,,,,,1,1,1,1,,,1
Q4P9G5,Q4P9G5_USTMA,nan,USTMA,4.0,,,,,1,1,,,,1,1,,,
B0XW24,B0XW24_ASPFC,nan,ASPFC,4.0,,,,,1,1,,,,1,1,,,
A9V4N9,A9V4N9_MONBE,nan,MONBE,2.0,,,,,,,,,,1,1,,,
