ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q12951,FOXI1_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2QRZ5,H2QRZ5_PANTR,ENSPTRP00000029920,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7C1T8,F7C1T8_MACMU,ENSMMUP00000018558,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E2RRX4,E2RRX4_CANFA,ENSCAFP00000024965,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q6P8A3,FXI1E_XENTR,ENSXETP00000005340,XENTR,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
E1BR13,E1BR13_CHICK,nan,CHICK,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
E1BPY1,E1BPY1_BOVIN,ENSBTAP00000019467,BOVIN,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
F6PV64,F6PV64_MONDO,ENSMODP00000008540,MONDO,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
Q922I5,FOXI1_MOUSE,nan,MOUSE,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
F6Y0Q3,F6Y0Q3_ORNAN,ENSOANP00000012430,ORNAN,11.0,,1,1,1,,1,1,1,1,1,,1,1,1
D4A7G2,D4A7G2_RAT,nan,RAT,11.0,1,1,1,1,,1,,1,1,1,,1,1,1
Q7T1C0,Q7T1C0_DANRE,nan,DANRE,11.0,1,,1,1,,1,1,1,1,1,,1,1,1
H2SY57,H2SY57_TAKRU,ENSTRUP00000017345,TAKRU,10.0,1,,,1,,1,1,1,1,1,,1,1,1
Q7T1C1,Q7T1C1_DANRE,nan,DANRE,5.0,,,,,,,,1,,1,,1,1,1
C3Y5P8,C3Y5P8_BRAFL,nan,BRAFL,5.0,,1,,,,1,,1,1,,,,1,
F6VT35,F6VT35_CIOIN,ENSCINP00000024328,CIOIN,4.0,,1,,,,1,,1,1,,,,,
Q0UFZ7,Q0UFZ7_PHANO,nan,PHANO,3.0,,,,,,,1,,,,,1,,1
Q4PFS1,Q4PFS1_USTMA,nan,USTMA,3.0,,,,,,1,1,,,,1,,,
O60129,FKH2_SCHPO,nan,SCHPO,3.0,,,,,,,,,,1,,1,1,
F6VT42,F6VT42_CIOIN,ENSCINP00000024327,CIOIN,3.0,,,,,,,,1,1,1,,,,
A7E5K5,A7E5K5_SCLS1,nan,SCLS1,3.0,,,,,,1,1,,,,,,,1
B0Y370,B0Y370_ASPFC,nan,ASPFC,2.0,,,,,,,1,,,,,,,1
O43058,SEP1_SCHPO,nan,SCHPO,2.0,,,,,,1,,,,,,,,1
Q5TUU4,Q5TUU4_ANOGA,nan,ANOGA,2.0,,,,,,,,,1,,,,,1
Q7SAT6,nan,nan,nan,2.0,,,,,,,,,,,,1,,1
P25364,HCM1_YEAST,nan,YEAST,2.0,,,,,,,,,,,,1,,1
Q4H3I6,Q4H3I6_CIOIN,ENSCINP00000014814,CIOIN,1.0,,,,,,,,,,,,1,,
Q7SY22,Q7SY22_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
Q568V0,Q568V0_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
Q7QID0,Q7QID0_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
Q6CDD1,Q6CDD1_YARLI,nan,YARLI,1.0,,,,,,,,,,,,,,1
Q3LUT2,Q3LUT2_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,,1
Q8IRT6,Q8IRT6_DROME,nan,DROME,1.0,,,,,,,,,,1,,,,
Q9W5X5,Q9W5X5_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
Q5KFN8,Q5KFN8_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,,,,,1,
Q9VS05,FOXF_DROME,nan,DROME,1.0,,,,,,,,,,,,,1,
Q90964,FOXG1_CHICK,nan,CHICK,1.0,,,,,,,,,,,1,,,
Q5APB2,Q5APB2_CANAL,nan,CANAL,1.0,,,,,,,,,,,,,,1
O13606,MEI4_SCHPO,nan,SCHPO,1.0,,,,,,,,,,,,,,1
Q27253,nan,nan,nan,1.0,,,,,,,,,,1,,,,
Q10924,Q10924_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,,1
A7RPY6,A7RPY6_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
A7S0W7,A7S0W7_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,,1
A7S1E3,A7S1E3_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
A7S9S5,A7S9S5_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
A9UVZ7,A9UVZ7_MONBE,nan,MONBE,1.0,,,,,,,,,,1,,,,
A9UWM8,A9UWM8_MONBE,nan,MONBE,1.0,,,,,,,,,1,,,,,
B7P109,B7P109_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,,1,
B7PDX4,B7PDX4_IXOSC,nan,IXOSC,1.0,,,,,,,,,1,,,,,
B7QJZ4,B7QJZ4_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,1,,,
C1LZM4,nan,nan,nan,1.0,,,,,,,,,,,,1,,
