ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A2AVA0,SVEP1_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1Q0A7,F1Q0A7_CANFA,ENSCAFP00000004347,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2R6G0,H2R6G0_PANTR,ENSPTRP00000049082,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P0C6B8,SVEP1_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q4LDE5,SVEP1_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6WJ22,F6WJ22_XENTR,ENSXETP00000005597,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1MNH3,F1MNH3_BOVIN,ENSBTAP00000001939,BOVIN,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
F7E1G4,F7E1G4_ORNAN,ENSOANP00000011099,ORNAN,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
F7G9T3,F7G9T3_MONDO,ENSMODP00000004832,MONDO,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
H2S134,H2S134_TAKRU,ENSTRUP00000006105,TAKRU,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
A7SNM7,A7SNM7_NEMVE,nan,NEMVE,6.0,,,,,,1,1,1,,,1,1,,1
nan,nan,ENSCINP00000018644,CIOIN,6.0,,,,,,1,,1,1,1,,1,1,
F7GCG8,F7GCG8_MACMU,ENSMMUP00000029966,MACMU,6.0,,,,,,1,1,1,,1,,1,,1
C3Y9U9,C3Y9U9_BRAFL,nan,BRAFL,5.0,1,1,,,,1,,1,1,,,,,
Q7PRP5,Q7PRP5_ANOGA,nan,ANOGA,4.0,1,,,,,1,1,1,,,,,,
B7Q2M9,B7Q2M9_IXOSC,nan,IXOSC,4.0,,,,,,1,1,1,,,,1,,
B7Q438,B7Q438_IXOSC,nan,IXOSC,3.0,1,1,,,,,,,,,,1,,
A7RFK1,A7RFK1_NEMVE,nan,NEMVE,2.0,,,,,,,,1,,,,1,,
C3YG94,C3YG94_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,,1,1,
C3XPW9,C3XPW9_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,,1,1,
C3Y9U6,C3Y9U6_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,,1,,1
F7D9P8,F7D9P8_MACMU,ENSMMUP00000001635,MACMU,2.0,,,,,,,,,,,,1,1,
Q7Q737,Q7Q737_ANOGA,nan,ANOGA,2.0,,,,,,,,,,,,1,1,
Q9W332,Q9W332_DROME,nan,DROME,2.0,,,,,,,,,,,,1,1,
F6Z5I5,F6Z5I5_CIOIN,ENSCINP00000018642,CIOIN,2.0,,,,,,,,,,,,1,,1
H2RUT4,H2RUT4_TAKRU,ENSTRUP00000003902,TAKRU,1.0,,,,,,,,,,,1,,,
H2UNE7,H2UNE7_TAKRU,ENSTRUP00000038468,TAKRU,1.0,,,,,,,,,,,1,,,
Q1L898,nan,nan,nan,1.0,,,,,,,,,,,1,,,
Q20535,nan,nan,nan,1.0,,,,,,,,1,,,,,,
Q9VYR4,Q9VYR4_DROME,nan,DROME,1.0,,,,,,,,1,,,,,,
nan,nan,ENSCINP00000024317,CIOIN,1.0,,,,,,,,,,1,,,,
C3ZS06,C3ZS06_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
C4Q826,nan,nan,nan,1.0,,,,,,,,,,,,,,1
C3ZCT1,C3ZCT1_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
A7RMV0,A7RMV0_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7RRR0,A7RRR0_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,,1
A7RVQ6,A7RVQ6_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7SIG0,A7SIG0_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
A7SIG5,A7SIG5_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7SQ46,A7SQ46_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7T8R8,A7T8R8_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,,1
A9V9N1,A9V9N1_MONBE,nan,MONBE,1.0,,,,,,,,,1,,,,,
B7PCA5,B7PCA5_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,1,,,
B7PKL2,B7PKL2_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,1,,
C3XXV6,C3XXV6_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
C3XYU9,C3XYU9_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,,1
C3YWM6,C3YWM6_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,,1
C3YWM8,C3YWM8_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C3Z4D3,C3Z4D3_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
nan,nan,ENSCINP00000024763,CIOIN,1.0,,,,,,,,,,1,,,,
