ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
H2R7N6,H2R7N6_PANTR,ENSPTRP00000050622,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q96F45,ZN503_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q7TMA2,ZN503_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E1C3F6,E1C3F6_CHICK,nan,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E2R930,E2R930_CANFA,ENSCAFP00000022724,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6ZHG9,F6ZHG9_MONDO,ENSMODP00000001084,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7B7E4,F7B7E4_MACMU,ENSMMUP00000008017,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G3X749,G3X749_BOVIN,ENSBTAP00000019284,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q6UFS5,ZN503_DANRE,nan,DANRE,12.0,1,1,1,1,1,1,1,1,,1,1,1,,1
Q05AQ8,ZN503_XENTR,ENSXETP00000021723,XENTR,12.0,1,1,1,1,1,1,1,1,,1,1,1,,1
H2S7B1,H2S7B1_TAKRU,ENSTRUP00000008283,TAKRU,11.0,,1,1,1,1,1,1,1,,1,1,1,,1
B2RZ19,B2RZ19_RAT,nan,RAT,10.0,1,1,,,,1,1,1,1,1,,1,1,1
nan,nan,ENSCINP00000000817,CIOIN,9.0,,1,,,,1,,1,1,1,1,1,1,1
Q7PME9,Q7PME9_ANOGA,nan,ANOGA,8.0,,1,,1,,1,1,,1,1,1,1,,
B7PGS3,B7PGS3_IXOSC,nan,IXOSC,7.0,,1,,,,1,,1,1,1,1,,,1
A7SXN0,A7SXN0_NEMVE,nan,NEMVE,7.0,,,,,,1,1,,1,1,1,1,1,
Q24423,NOC_DROME,nan,DROME,5.0,,,,,,1,,,1,1,1,1,,
C3Z5N5,C3Z5N5_BRAFL,nan,BRAFL,5.0,,,,,,1,,1,,1,,1,,1
H2UHH4,H2UHH4_TAKRU,ENSTRUP00000036395,TAKRU,4.0,,,,,,,,1,,1,1,1,,
O18124,nan,nan,nan,3.0,,,,,,,,,1,,1,1,,
Q9VJS8,ELBOW_DROME,nan,DROME,3.0,,,,,,,,,1,1,1,,,
F7EFS4,F7EFS4_ORNAN,ENSOANP00000012519,ORNAN,2.0,,,,,,,1,,1,,,,,
F7FJ52,F7FJ52_MONDO,ENSMODP00000013642,MONDO,1.0,,,,,,,,,1,,,,,
Q4QJB7,Q4QJB7_LEIMA,nan,LEIMA,1.0,,,,1,,,,,,,,,,
F7B949,F7B949_XENTR,ENSXETP00000052626,XENTR,1.0,,,,,,,,,1,,,,,
Q868B4,nan,nan,nan,1.0,,,,1,,,,,,,,,,
