ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
nan,nan,ENSPTRP00000049739,PANTR,5.0,,,1,1,,,,,,1,,1,1,
O75677,RFPL1_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,,1,1,
H2RXG7,H2RXG7_TAKRU,ENSTRUP00000004837,TAKRU,2.0,,,,,,,,,,1,,1,,
F7H1Z4,F7H1Z4_MACMU,ENSMMUP00000027702,MACMU,2.0,,,,,,,,,,,,1,1,
F7E0U1,F7E0U1_ORNAN,ENSOANP00000016132,ORNAN,1.0,,,,,,,,,,1,,,,
Q5DSV6,Q5DSV6_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
Q1RLP5,Q1RLP5_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
Q0P4D7,Q0P4D7_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
O75678,RFPL2_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
H9L3S4,H9L3S4_CHICK,ENSGALP00000040506,CHICK,1.0,,,1,,,,,,,,,,,
H9H5E7,H9H5E7_MACMU,ENSMMUP00000039410,MACMU,1.0,,,,1,,,,,,,,,,
H2SZE3,H2SZE3_TAKRU,ENSTRUP00000017781,TAKRU,1.0,,,,,,,,,,,,1,,
F7FG97,F7FG97_ORNAN,ENSOANP00000007397,ORNAN,1.0,,,,,,,,,,1,,,,
F7F328,F7F328_ORNAN,ENSOANP00000002130,ORNAN,1.0,,,,,,,,,,,,1,,
F7EXF7,F7EXF7_ORNAN,ENSOANP00000000761,ORNAN,1.0,,,1,,,,,,,,,,,
F7EXE8,F7EXE8_ORNAN,ENSOANP00000000763,ORNAN,1.0,,,,,,,,,,,,,1,
A5WUZ0,nan,nan,nan,1.0,,,,,,,,,,,,1,,
A5WUZ3,A5WUZ3_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
F7E0Q5,F7E0Q5_ORNAN,ENSOANP00000016139,ORNAN,1.0,,,,,,,,,,1,,,,
F7DM53,F7DM53_ORNAN,ENSOANP00000007285,ORNAN,1.0,,,,,,,,,,1,,,,
F7C2M1,F7C2M1_MONDO,ENSMODP00000006015,MONDO,1.0,,,1,,,,,,,,,,,
F7A3F1,F7A3F1_MONDO,ENSMODP00000020554,MONDO,1.0,,,,,,,,,,,,1,,
F6RU87,F6RU87_XENTR,ENSXETP00000033172,XENTR,1.0,,,,1,,,,,,,,,,
F1PS70,F1PS70_CANFA,ENSCAFP00000003677,CANFA,1.0,,,,,,,,,,1,,,,
F1ND47,F1ND47_CHICK,ENSGALP00000001272,CHICK,1.0,,,,,,,,,,1,,,,
B8JJV4,nan,nan,nan,1.0,,,,,,,,,,,,1,,
B1WB55,B1WB55_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
B1H1I6,B1H1I6_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
B0R0M2,nan,nan,nan,1.0,,,,,,,,,,,,1,,
A9JT77,A9JT77_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
A9JSZ8,A9JSZ8_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
A8KBK1,A8KBK1_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
F7E0S6,F7E0S6_ORNAN,ENSOANP00000016135,ORNAN,1.0,,,,,,,,,,1,,,,
