ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q0UG64,Q0UG64_PHANO,nan,PHANO,2.0,,,,,,,,,,1,,,1,
A7RKF2,A7RKF2_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,1,
O60733,PLPL9_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,1,
Q54HM9,Q54HM9_DICDI,nan,DICDI,1.0,,,,,,,,,,,,,1,
Q7KUD4,Q7KUD4_DROME,nan,DROME,1.0,,,,,,,,,,,,,1,
Q8MXR3,Q8MXR3_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
Q8TM01,Q8TM01_METAC,nan,METAC,1.0,,,,,,,,,,1,,,,
Q9N5L3,Q9N5L3_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
Q9NP80,PLPL8_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,1,
Q9TYS0,Q9TYS0_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
