ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q0UGP6,Q0UGP6_PHANO,nan,PHANO,2.0,,,,,,,,,,1,,,,1
Q5KQ99,Q5KQ99_CRYNJ,nan,CRYNJ,2.0,,,,,,,,,,1,,,,1
nan,nan,ENSXETP00000053327,XENTR,2.0,,,,,,,,,,1,,,,1
A6UZS7,A6UZS7_PSEA7,nan,PSEA7,1.0,,,,,,,,,,1,,,,
A7ERZ2,A7ERZ2_SCLS1,nan,SCLS1,1.0,,,,,,,,,,1,,,,
B0XQZ1,B0XQZ1_ASPFC,nan,ASPFC,1.0,,,,,,,,,,,,,,1
B0Y2Q8,B0Y2Q8_ASPFC,nan,ASPFC,1.0,,,,,,,,,,1,,,,
H9H4D2,H9H4D2_MACMU,ENSMMUP00000031227,MACMU,1.0,,,,,,,,,,1,,,,
Q7UTW0,Q7UTW0_RHOBA,nan,RHOBA,1.0,,,,,,,,,,1,,,,
Q93RT4,Q93RT4_STRCO,nan,STRCO,1.0,,,,,,,,,,1,,,,
nan,nan,ENSXETP00000043367,XENTR,1.0,,,,,,,,,,1,,,,
