ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A9SVY0,A9SVY0_PHYPA,nan,PHYPA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q39054,CNX1_ARATH,nan,ARATH,13.0,1,1,1,1,1,1,1,1,1,1,1,,1,1
C3XZE4,C3XZE4_BRAFL,nan,BRAFL,10.0,1,1,1,1,,1,,1,1,1,,,1,1
F6ZYQ8,F6ZYQ8_CIOIN,ENSCINP00000005689,CIOIN,9.0,1,1,,,,1,1,1,1,1,,,1,1
E2R024,E2R024_CANFA,ENSCAFP00000024031,CANFA,9.0,1,1,,,,1,1,1,1,1,,,1,1
Q03555,GEPH_RAT,nan,RAT,9.0,1,1,,,,1,1,1,1,1,,,1,1
Q54KM0,GEPH_DICDI,nan,DICDI,9.0,1,1,,,,1,1,1,1,1,,,1,1
P39205,CIN_DROME,nan,DROME,9.0,1,1,,,,1,1,1,1,1,,,1,1
B0XUK4,B0XUK4_ASPFC,nan,ASPFC,9.0,1,1,,,,1,1,1,1,1,,1,,1
Q9NQX3,GEPH_HUMAN,nan,HUMAN,9.0,1,1,,,,1,1,1,1,1,,,1,1
Q7QCT8,Q7QCT8_ANOGA,nan,ANOGA,9.0,1,1,,,,1,1,1,1,1,,,1,1
Q0UHQ2,Q0UHQ2_PHANO,nan,PHANO,9.0,1,1,,,,1,1,1,1,1,,1,,1
F1MQ57,F1MQ57_BOVIN,ENSBTAP00000053540,BOVIN,9.0,1,1,,,,1,1,1,1,1,,,1,1
F6Q1I9,F6Q1I9_ORNAN,ENSOANP00000008605,ORNAN,9.0,1,1,,,,1,1,1,1,1,,,1,1
F6VUM3,F6VUM3_MONDO,ENSMODP00000012355,MONDO,9.0,1,1,,,,1,1,1,1,1,,,1,1
A7SKS5,A7SKS5_NEMVE,nan,NEMVE,9.0,1,1,,,,1,1,1,1,1,,,1,1
A7ET52,A7ET52_SCLS1,nan,SCLS1,9.0,1,1,,,,1,1,1,1,1,,1,,1
F6YM77,F6YM77_MACMU,ENSMMUP00000012446,MACMU,9.0,1,1,,,,1,1,1,1,1,,,1,1
Q8BUV3,GEPH_MOUSE,nan,MOUSE,9.0,1,1,,,,1,1,1,1,1,,,1,1
H2Q8H0,H2Q8H0_PANTR,ENSPTRP00000010953,PANTR,9.0,1,1,,,,1,1,1,1,1,,,1,1
Q19242,nan,nan,nan,8.0,1,1,,,,1,,1,1,1,,,1,1
B7Q7N3,B7Q7N3_IXOSC,nan,IXOSC,8.0,1,1,,,,1,1,1,1,1,,,1,
Q4P115,Q4P115_USTMA,nan,USTMA,8.0,1,1,,,,1,1,1,1,1,,,,1
Q7SEH9,nan,nan,nan,8.0,1,1,,,,1,1,1,1,1,,,,1
B8C340,B8C340_THAPS,nan,THAPS,7.0,1,1,,,,1,,1,1,1,,,,1
A9VBD8,A9VBD8_MONBE,nan,MONBE,7.0,,,,,,1,1,1,1,1,,,1,1
F6TGB0,F6TGB0_XENTR,ENSXETP00000024520,XENTR,7.0,,,,,,1,1,1,1,1,,,1,1
A9WF01,A9WF01_CHLAA,nan,CHLAA,7.0,1,1,,,,,1,1,,1,,1,,1
E1C756,E1C756_CHICK,nan,CHICK,7.0,,,,,,1,1,1,1,1,,,1,1
H2V9S2,H2V9S2_TAKRU,ENSTRUP00000045962,TAKRU,7.0,,,,,,1,1,1,1,1,,,1,1
D3KYL0,D3KYL0_DANRE,nan,DANRE,7.0,,,,,,1,1,1,1,1,,,1,1
O66448,O66448_AQUAE,nan,AQUAE,6.0,1,1,,,,,,1,,1,,1,,1
Q55368,MOEA_SYNY3,nan,SYNY3,6.0,1,1,,,,,1,1,,1,,1,,
Q7NEY8,Q7NEY8_GLOVI,nan,GLOVI,5.0,1,1,,,,,,1,,1,,1,,
P12281,MOEA_ECOLI,nan,ECOLI,5.0,1,1,,,,,1,1,,1,,,,
