ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A9T316,A9T316_PHYPA,nan,PHYPA,7.0,,,1,1,,1,1,1,1,,,,,1
A7SY40,A7SY40_NEMVE,nan,NEMVE,4.0,,,,,,1,,1,1,,,,,1
C3YV30,C3YV30_BRAFL,nan,BRAFL,3.0,,,1,1,,,1,,,,,,,
A7STL7,A7STL7_NEMVE,nan,NEMVE,3.0,,,,,,,1,1,1,,,,,
A2DZA5,A2DZA5_TRIVA,nan,TRIVA,3.0,,,,,,1,1,1,,,,,,
C3YF60,C3YF60_BRAFL,nan,BRAFL,3.0,,,,,,1,,1,,,,,,1
B7PR93,B7PR93_IXOSC,nan,IXOSC,2.0,,,,,,1,1,,,,,,,
F1PJM6,F1PJM6_CANFA,ENSCAFP00000027953,CANFA,2.0,,,,,,1,1,,,,,,,
nan,nan,ENSXETP00000051190,XENTR,2.0,,,,,,1,,1,,,,,,
A9V4I4,A9V4I4_MONBE,nan,MONBE,2.0,,,,,,1,,1,,,,,,
A7T5Q6,A7T5Q6_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
C3ZK33,C3ZK33_BRAFL,nan,BRAFL,1.0,,,,,,,,,1,,,,,
A7S9F8,A7S9F8_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
F7AED1,F7AED1_MACMU,ENSMMUP00000039006,MACMU,1.0,,,,1,,,,,,,,,,
H2Q022,H2Q022_PANTR,ENSPTRP00000002257,PANTR,1.0,,,,1,,,,,,,,,,
Q8IB63,Q8IB63_PLAF7,nan,PLAF7,1.0,,,,,,1,,,,,,,,
Q8IWC1,MA7D3_HUMAN,nan,HUMAN,1.0,,,,,,1,,,,,,,,
Q9UBC9,SPRR3_HUMAN,nan,HUMAN,1.0,,,,1,,,,,,,,,,
nan,nan,ENSPTRP00000038435,PANTR,1.0,,,,,,1,,,,,,,,
nan,nan,ENSRNOP00000007514,RAT,1.0,,,,,,1,,,,,,,,
A2BHL5,nan,nan,nan,1.0,,,,,,1,,,,,,,,
