ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A9U6W8,A9U6W8_PHYPA,nan,PHYPA,6.0,,,,,,1,1,,,1,1,,1,1
Q8TQ40,Q8TQ40_METAC,nan,METAC,2.0,,,,,,,,,,,1,,,1
B5YHG6,B5YHG6_THEYD,nan,THEYD,2.0,,,,,,,,,,,1,,,1
B8E282,B8E282_DICTD,nan,DICTD,2.0,,,,,,,,,,,1,,,1
O66630,DAPAT_AQUAE,nan,AQUAE,2.0,,,,,,,,,,,1,,,1
Q7NDX4,DAPAT_GLOVI,nan,GLOVI,2.0,,,,,,,,,,,1,,,1
A6VCH0,A6VCH0_PSEA7,nan,PSEA7,1.0,,,,,,,,,,,1,,,
P77434,ALAC_ECOLI,nan,ECOLI,1.0,,,,,,,,,,,1,,,
Q9F334,Q9F334_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q89WR3,Q89WR3_BRADU,nan,BRADU,1.0,,,,,,,,,,,1,,,
Q89M32,Q89M32_BRADU,nan,BRADU,1.0,,,,,,,,,,,1,,,
Q7UPN6,Q7UPN6_RHOBA,nan,RHOBA,1.0,,,,,,,,,,,1,,,
Q7UN28,Q7UN28_RHOBA,nan,RHOBA,1.0,,,,,,,,,,,1,,,
Q7NFQ6,Q7NFQ6_GLOVI,nan,GLOVI,1.0,,,,,,,,,,,1,,,
Q58786,DAPAT_METJA,nan,METJA,1.0,,,,,,,,,,,1,,,
Q55679,Q55679_SYNY3,nan,SYNY3,1.0,,,,,,,,,,,1,,,
P39643,AAT2_BACSU,nan,BACSU,1.0,,,,,,,,,,,1,,,
P72859,P72859_SYNY3,nan,SYNY3,1.0,,,,,,,,,,,1,,,
P54161,EX53_BACSU,nan,BACSU,1.0,,,,,,,1,,,,,,,
A8BP13,A8BP13_GIAIC,nan,GIAIC,1.0,,,,,,,,,,,,,1,
O96139,O96139_PLAF7,nan,PLAF7,1.0,,,,,,1,,,,,,,,
O67864,O67864_AQUAE,nan,AQUAE,1.0,,,,,,,,,,,1,,,
O50434,O50434_MYCTU,nan,MYCTU,1.0,,,,,,,,,,,1,,,
O31665,MTNE_BACSU,nan,BACSU,1.0,,,,,,,,,,,1,,,
F6PK80,F6PK80_CIOIN,ENSCINP00000006285,CIOIN,1.0,,,,,,,,,,,,,1,
B5YIE3,B5YIE3_THEYD,nan,THEYD,1.0,,,,,,,,,,,1,,,
B1L3R7,B1L3R7_KORCO,nan,KORCO,1.0,,,,,,,,,,1,,,,
B1L3P7,B1L3P7_KORCO,nan,KORCO,1.0,,,,,,,,,,1,,,,
Q9RS59,Q9RS59_DEIRA,nan,DEIRA,1.0,,,,,,,,,,,1,,,
