ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q8IBK3,Q8IBK3_PLAF7,nan,PLAF7,9.0,1,1,,,,1,1,,1,1,,1,1,1
B7QF46,B7QF46_IXOSC,nan,IXOSC,4.0,1,1,,,,1,,,,,,,,1
Q0UQ68,Q0UQ68_PHANO,nan,PHANO,3.0,,,,,,1,1,,,1,,,,
C3ZPB9,C3ZPB9_BRAFL,nan,BRAFL,2.0,,,,,,1,,,,,,,,1
Q5RG82,NS1BA_DANRE,nan,DANRE,2.0,,,,,,,1,,,,,,,1
Q5XIA9,KLD8B_RAT,nan,RAT,2.0,,,,,,,,,,,,1,1,
Q7QFV2,Q7QFV2_ANOGA,nan,ANOGA,2.0,,,,,,1,,,,,,,,1
E7FFI7,E7FFI7_DANRE,ENSDARP00000080951,DANRE,2.0,,,,,,,,,,,,1,1,
E1C8A4,E1C8A4_CHICK,nan,CHICK,2.0,,,,,,,,,,,,1,1,
Q8IXV7,KLD8B_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,,1,1,
Q8IYD2,KLD8A_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,,1,1,
Q8WQC4,Q8WQC4_CAEEL,nan,CAEEL,2.0,,,,,,1,1,,,,,,,
nan,nan,ENSDARP00000108818,CRYNJ,2.0,,,,,,,,,,,,1,1,
Q91XA8,KLD8A_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,,1,1,
Q9D2D9,KLD8B_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,,1,1,
Q8WZ60,KLHL6_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
Q9M9S9,Q9M9S9_ARATH,nan,ARATH,1.0,,,,,,,,,,,,1,,
Q21854,Q21854_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,,1
Q2KIZ6,Q2KIZ6_BOVIN,ENSBTAP00000017756,BOVIN,1.0,,,,,,,,,,,,,,1
Q56A24,KLH24_RAT,nan,RAT,1.0,,,,,,,,,,,,1,,
Q9Y6Y0,NS1BP_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,,1
Q9Y2M5,KLH20_HUMAN,nan,HUMAN,1.0,,,,,,,1,,,,,,,
Q5ZKD9,KLH20_CHICK,nan,CHICK,1.0,,,,,,,1,,,,,,,
Q6TFL4,KLH24_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
Q6V595,KLHL6_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
Q7KSF5,Q7KSF5_DROME,nan,DROME,1.0,,,,,,,1,,,,,,,
Q7NGK0,Q7NGK0_GLOVI,nan,GLOVI,1.0,,,,,,,,,,1,,,,
Q7UKK5,Q7UKK5_RHOBA,nan,RHOBA,1.0,,,,,,,,,,1,,,,
Q7QGL0,KLHDB_ANOGA,nan,ANOGA,1.0,,,,,,,1,,,,,,,
Q8VCK5,KLH20_MOUSE,nan,MOUSE,1.0,,,,,,,1,,,,,,,
Q7UTZ8,Q7UTZ8_RHOBA,nan,RHOBA,1.0,,,,,,,,,,1,,,,
Q7ZVQ8,NS1BB_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,,1
Q86AD8,Q86AD8_DICDI,nan,DICDI,1.0,,,,,,,,,,,,,1,
Q9M010,Q9M010_ARATH,nan,ARATH,1.0,,,,,,,,,,,,1,,
