ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A6V2L0,A6V2L0_PSEA7,nan,PSEA7,13.0,1,1,1,1,1,,1,1,1,1,1,1,1,1
Q89HU6,Q89HU6_BRADU,nan,BRADU,11.0,,1,1,1,,,1,1,1,1,1,1,1,1
O67490,O67490_AQUAE,nan,AQUAE,10.0,1,1,,,1,,1,1,,1,1,1,1,1
Q89HD0,Q89HD0_BRADU,nan,BRADU,8.0,,,,,1,,,1,1,1,1,1,1,1
P73030,P73030_SYNY3,nan,SYNY3,5.0,,,,,1,,1,,1,,1,1,,
Q9AT00,AB13I_ARATH,nan,ARATH,5.0,,,,1,1,,,,,1,1,1,,
Q7NDW8,Q7NDW8_GLOVI,nan,GLOVI,5.0,,,,,1,,1,,1,,1,1,,
Q8F4I5,Q8F4I5_LEPIN,nan,LEPIN,5.0,,,,,1,,1,,1,,1,1,,
P72734,P72734_SYNY3,nan,SYNY3,4.0,,,,,1,,,,1,,1,1,,
B5YKF2,B5YKF2_THEYD,nan,THEYD,4.0,,,,,1,,1,,,,1,1,,
Q74EZ3,Q74EZ3_GEOSL,nan,GEOSL,3.0,,,,,1,,,,1,,1,,,
Q74EN7,Q74EN7_GEOSL,nan,GEOSL,3.0,,,1,,,,,,,1,1,,,
A8BAF0,A8BAF0_GIAIC,nan,GIAIC,2.0,,,,,1,,,,,,1,,,
Q74DT8,Q74DT8_GEOSL,nan,GEOSL,2.0,,,,,1,,,,,,1,,,
Q7UUH5,Q7UUH5_RHOBA,nan,RHOBA,2.0,,,,,1,,,,,,1,,,
Q7UP63,Q7UP63_RHOBA,nan,RHOBA,2.0,,,,,,,1,,,,,1,,
B5YGS0,B5YGS0_THEYD,nan,THEYD,2.0,,,,,,,,,,1,1,,,
A8B9A2,A8B9A2_GIAIC,nan,GIAIC,2.0,,,,,1,,,,,,1,,,
Q8A132,Q8A132_BACTN,nan,BACTN,2.0,,,,,,,,1,,,,1,,
P63357,nan,nan,nan,2.0,,,,,1,,,,,,1,,,
Q9KXZ3,Q9KXZ3_STRCO,nan,STRCO,2.0,,,,,1,,,,,,1,,,
Q3KM26,Q3KM26_CHLTA,nan,CHLTA,2.0,,,,,1,,,,,,1,,,
Q7RZG5,Q7RZG5_NEUCR,nan,NEUCR,1.0,,,,,,,,,,,,1,,
Q8TQV7,Q8TQV7_METAC,nan,METAC,1.0,,,,1,,,,,,,,,,
Q97ZT9,PSTB_SULSO,nan,SULSO,1.0,,,,,,,,,,1,,,,
Q84K47,AB2A_ARATH,nan,ARATH,1.0,,,,,,,,,,,,1,,
A2DF62,A2DF62_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,1,,
Q5JEP9,PSTB_THEKO,nan,THEKO,1.0,,,,,,,,,,1,,,,
A8B9R4,A8B9R4_GIAIC,nan,GIAIC,1.0,,,,,,,,,,,1,,,
A2DY76,A2DY76_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,1,,
A2DZX8,A2DZX8_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,1,,
A2EHE4,A2EHE4_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,1,,
A2F1K5,A2F1K5_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,1,,
A2FB01,A2FB01_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,1,,
A8B6C9,A8B6C9_GIAIC,nan,GIAIC,1.0,,,,,,,,,,,1,,,
A8BCB4,A8BCB4_GIAIC,nan,GIAIC,1.0,,,,,,,,,,,1,,,
Q54R52,ABCAA_DICDI,nan,DICDI,1.0,,,,,,,,,,,,1,,
A8BNE7,A8BNE7_GIAIC,nan,GIAIC,1.0,,,,,,,,,,,1,,,
A9UVF4,A9UVF4_MONBE,nan,MONBE,1.0,,,,,,,,,,,,1,,
B1L5D5,B1L5D5_KORCO,nan,KORCO,1.0,,,,,,,,,,1,,,,
B5YM21,B5YM21_THAPS,nan,THAPS,1.0,,,,,,,,,,1,,,,
A2DNW7,A2DNW7_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,1,,
P74140,P74140_SYNY3,nan,SYNY3,1.0,,,,,,,,,,1,,,,
nan,nan,ENSXETP00000013943,XENTR,1.0,,,,,,,,,,1,,,,
