ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A6V2N0,A6V2N0_PSEA7,nan,PSEA7,12.0,1,1,,1,1,,1,1,1,1,1,1,1,1
P0ADF6,EDD_ECOLI,nan,ECOLI,12.0,1,1,,1,1,,1,1,1,1,1,1,1,1
nan,nan,ENSXETP00000055898,XENTR,4.0,1,1,,,,,,1,,,,1,,
Q8TKM8,ILVD2_METAC,nan,METAC,2.0,,,,,,,,,,1,1,,,
B1L5C8,B1L5C8_KORCO,nan,KORCO,2.0,,,,,,,,,,1,1,,,
P51785,ILVD_BACSU,nan,BACSU,2.0,,,,,,,,,,1,1,,,
Q58672,ILVD_METJA,nan,METJA,2.0,,,,,,,,,,1,1,,,
Q9WZ21,ILVD_THEMA,nan,THEMA,2.0,,,,,,,,,,1,1,,,
B8E3F3,B8E3F3_DICTD,nan,DICTD,2.0,,,,,,,,,,1,1,,,
Q8TPV2,ILVD1_METAC,nan,METAC,2.0,,,,,,,,,,1,1,,,
B5YKD5,ILVD_THEYD,nan,THEYD,1.0,,,,,,,,,,,1,,,
nan,nan,ENSXETP00000044732,XENTR,1.0,,,,,,,,1,,,,,,
Q9X9Y4,Q9X9Y4_STRCO,nan,STRCO,1.0,,,,1,,,,,,,,,,
Q9RV97,ILVD_DEIRA,nan,DEIRA,1.0,,,,,,,,,,,1,,,
Q97UB2,ILVD_SULSO,nan,SULSO,1.0,,,,,,,,,,1,,,,
Q89LK8,ILVD1_BRADU,nan,BRADU,1.0,,,,,,,,,,,1,,,
Q8A608,ILVD_BACTN,nan,BACTN,1.0,,,,,,,,,,,1,,,
Q7UJG3,Q7UJG3_RHOBA,nan,RHOBA,1.0,,,,,,,1,,,,,,,
B0XUZ5,B0XUZ5_ASPFC,nan,ASPFC,1.0,,,,1,,,,,,,,,,
Q5KEP2,Q5KEP2_CRYNJ,nan,CRYNJ,1.0,,,,1,,,,,,,,,,
O69198,ILVD_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
O67009,ILVD_AQUAE,nan,AQUAE,1.0,,,,,,,,,,,1,,,
Q74BW7,ILVD_GEOSL,nan,GEOSL,1.0,,,,,,,,,,,1,,,
