ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A6V9A3,A6V9A3_PSEA7,nan,PSEA7,11.0,1,,1,1,1,,1,1,,1,1,1,1,1
Q89PS7,Q89PS7_BRADU,nan,BRADU,4.0,,,,,1,,,,,,1,1,1,
Q9VWP2,Q9VWP2_DROME,nan,DROME,3.0,1,,,,,,,1,,,,,,1
Q4P1P4,Q4P1P4_USTMA,nan,USTMA,2.0,,,,,1,,,,,,1,,,
Q5KMV5,Q5KMV5_CRYNJ,nan,CRYNJ,2.0,,,,,1,,,,,,1,,,
Q7SG84,nan,nan,nan,2.0,,,,,1,,,,,,1,,,
Q7UP98,Q7UP98_RHOBA,nan,RHOBA,2.0,,,,,1,,,,,,1,,,
O31767,YMFI_BACSU,nan,BACSU,2.0,,,,,1,,,,,,1,,,
O42866,FABG_SCHPO,nan,SCHPO,2.0,,,,,,,,,,,,1,1,
B8CC13,B8CC13_THAPS,nan,THAPS,2.0,,,,,1,,,,,,1,,,
O67126,O67126_AQUAE,nan,AQUAE,2.0,,,,,1,,,,,,1,,,
Q8FA17,Q8FA17_LEPIN,nan,LEPIN,2.0,,,,,1,,,,,,1,,,
O88068,O88068_STRCO,nan,STRCO,2.0,,,,,1,,,,,,1,,,
Q8RIB5,Q8RIB5_FUSNN,nan,FUSNN,2.0,,,,,,,,,,1,,1,,
B1L4H4,B1L4H4_KORCO,nan,KORCO,2.0,,,,,1,,,,,,1,,,
B0YD96,B0YD96_ASPFC,nan,ASPFC,2.0,,,,,1,,,,,,1,,,
B0R8A6,B0R8A6_HALS3,nan,HALS3,2.0,,,,,1,,,,,,1,,,
A9WJQ0,A9WJQ0_CHLAA,nan,CHLAA,2.0,,,1,1,,,,,,,,,,
Q0UK75,Q0UK75_PHANO,nan,PHANO,2.0,,,,,1,,,,,,1,,,
A9T6K3,A9T6K3_PHYPA,nan,PHYPA,2.0,,,,,1,,,,,,1,,,
A7EHV4,A7EHV4_SCLS1,nan,SCLS1,2.0,,,,,1,,,,,,1,,,
Q54PL1,Q54PL1_DICDI,nan,DICDI,2.0,,,,,1,,,,,,1,,,
O06348,O06348_MYCTU,nan,MYCTU,2.0,1,,,,,,,,,,,1,,
Q6CBC8,Q6CBC8_YARLI,nan,YARLI,1.0,,,,,,,,,,,,1,,
Q59VX4,Q59VX4_CANAL,nan,CANAL,1.0,,,,,,,,,,,,,1,
Q59SL5,Q59SL5_CANAL,nan,CANAL,1.0,,,,,,,,,,,,1,,
Q59RC4,Q59RC4_CANAL,nan,CANAL,1.0,,,,,,,,,,,,1,,
Q567K5,Q567K5_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,,1
Q6BZY3,Q6BZY3_YARLI,nan,YARLI,1.0,,,,,,,,,,,,,1,
A2DRM9,A2DRM9_TRIVA,nan,TRIVA,1.0,,,,,,,1,,,,,,,
Q6CD80,Q6CD80_YARLI,nan,YARLI,1.0,,,,,,,,,,,,1,,
Q7Q4N8,Q7Q4N8_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,,,1
Q7SDB3,Q7SDB3_NEUCR,nan,NEUCR,1.0,,,,,,,1,,,,,,,
Q7UQH4,Q7UQH4_RHOBA,nan,RHOBA,1.0,1,,,,,,,,,,,,,
Q4PGB0,Q4PGB0_USTMA,nan,USTMA,1.0,,,,,,,1,,,,,,,
Q89UC2,Q89UC2_BRADU,nan,BRADU,1.0,,,,,,,,,,1,,,,
Q8JIS3,DER_CHICK,nan,CHICK,1.0,,,,,,,,,,,,,,1
Q91X52,DCXR_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,,,1
Q920P0,DCXR_RAT,nan,RAT,1.0,,,,,,,,,,,,,,1
Q94AL3,Q94AL3_ARATH,nan,ARATH,1.0,,,,,,,1,,,,,,,
Q9L2E2,Q9L2E2_STRCO,nan,STRCO,1.0,,,,,,,,,,,,,,1
Q9RIX5,Q9RIX5_STRCO,nan,STRCO,1.0,,,,,,,,,,,,,,1
Q9WX18,Q9WX18_STRCO,nan,STRCO,1.0,,,,,,,,,,1,,,,
Q9ZBX8,Q9ZBX8_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
nan,nan,ENSBTAP00000011525,BOVIN,1.0,,,,,,,,,,,,,,1
Q7Z4W1,DCXR_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,,1
P66777,nan,nan,nan,1.0,,,,,,,,,,,1,,,
Q4P2E7,Q4P2E7_USTMA,nan,USTMA,1.0,,,,,,,,,,,,1,,
B8E1K2,B8E1K2_DICTD,nan,DICTD,1.0,,,,,,,,,,1,,,,
A7EAP5,A7EAP5_SCLS1,nan,SCLS1,1.0,,,,,,,,,,,,,1,
A7EFK9,A7EFK9_SCLS1,nan,SCLS1,1.0,,,,,,,1,,,,,,,
A7S0F0,A7S0F0_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,,1
A7SDX1,A7SDX1_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,,1
A9UVL7,A9UVL7_MONBE,nan,MONBE,1.0,,,,,,,,,,,,,,1
B0R698,B0R698_HALS3,nan,HALS3,1.0,,,,,,,,,,,,1,,
B0XX43,B0XX43_ASPFC,nan,ASPFC,1.0,,,,,,,,,,,,,,1
B0Y896,B0Y896_ASPFC,nan,ASPFC,1.0,,,,,,,,,,,,,1,
B0YEI9,B0YEI9_ASPFC,nan,ASPFC,1.0,,,,,,,,,,,1,,,
B5YNJ9,B5YNJ9_THAPS,nan,THAPS,1.0,,,,,,,,,,,,,,1
B7Q1L6,B7Q1L6_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,,,1
B7QHU8,B7QHU8_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,1,,
B8C1A6,B8C1A6_THAPS,nan,THAPS,1.0,,,,1,,,,,,,,,,
C3Z6X7,C3Z6X7_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,,1
Q21929,DCXR_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,,1
C3Z6X8,C3Z6X8_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,,1
E2QWU7,E2QWU7_CANFA,ENSCAFP00000011184,CANFA,1.0,,,,1,,,,,,,,,,
E2QY46,E2QY46_CANFA,ENSCAFP00000008891,CANFA,1.0,,,,,,,,,,,,,,1
F6T1K4,F6T1K4_MONDO,ENSMODP00000003966,MONDO,1.0,,,,,,,,,,,,,,1
F6YFS2,F6YFS2_XENTR,ENSXETP00000010078,XENTR,1.0,,,,,,,,,,,,,,1
F7FSI7,F7FSI7_MACMU,ENSMMUP00000014296,MACMU,1.0,,,,,,,,,,,,,,1
