ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A6VCT7,A6VCT7_PSEA7,nan,PSEA7,13.0,1,1,1,1,1,,1,1,1,1,1,1,1,1
O86803,O86803_STRCO,nan,STRCO,6.0,1,1,1,,,,1,1,,,,,1,
Q869Y3,Q869Y3_DICDI,nan,DICDI,6.0,,,,,1,,1,1,,1,1,1,,
F7G6W5,F7G6W5_ORNAN,ENSOANP00000014665,ORNAN,6.0,,,,,1,,1,1,,1,1,1,,
H2Q3G0,H2Q3G0_PANTR,ENSPTRP00000006113,PANTR,5.0,,,,,1,,,1,,1,1,1,,
Q10782,Q10782_MYCTU,nan,MYCTU,5.0,,,,,1,,,,,1,1,1,1,
O70503,DHB12_MOUSE,nan,MOUSE,5.0,,,,,1,,,1,,1,1,1,,
H2UX80,H2UX80_TAKRU,ENSTRUP00000041559,TAKRU,5.0,,,,,1,,,1,,1,1,1,,
F7DBK4,F7DBK4_XENTR,ENSXETP00000032770,XENTR,5.0,,,,,,,,1,,1,1,1,,1
A9RZJ1,A9RZJ1_PHYPA,nan,PHYPA,5.0,,,,,1,,1,,,1,1,1,,
A7S4A6,A7S4A6_NEMVE,nan,NEMVE,5.0,,,,,1,,,1,,1,1,1,,
F6RR92,F6RR92_MONDO,ENSMODP00000024785,MONDO,5.0,,,,,1,,,1,,1,1,1,,
E2RJ79,E2RJ79_CANFA,ENSCAFP00000010002,CANFA,5.0,,,,,1,,,1,,1,1,1,,
C3YIB5,C3YIB5_BRAFL,nan,BRAFL,5.0,,,,,,,,1,,1,1,1,,1
A9V6D9,A9V6D9_MONBE,nan,MONBE,5.0,,,,,1,,1,1,,1,1,,,
C3Y616,C3Y616_BRAFL,nan,BRAFL,5.0,,,,,1,,,1,,1,1,1,,
Q28IU1,DHB12_XENTR,ENSXETP00000048094,XENTR,5.0,,,,,1,,,1,,1,1,1,,
B7PCL8,B7PCL8_IXOSC,nan,IXOSC,5.0,,,,,1,,1,1,,1,1,,,
Q53GQ0,DHB12_HUMAN,nan,HUMAN,5.0,,,,,1,,,1,,1,1,1,,
A6H7H3,A6H7H3_BOVIN,ENSBTAP00000000096,BOVIN,5.0,,,,,1,,,1,,1,1,1,,
Q6P7R8,DHB12_RAT,nan,RAT,5.0,,,,,1,,,1,,1,1,1,,
Q2KIL9,Q2KIL9_BOVIN,ENSBTAP00000041242,BOVIN,4.0,,,,,,,,1,,1,1,,,1
F6YRX9,F6YRX9_CIOIN,ENSCINP00000014755,CIOIN,4.0,,,,,1,,,1,,1,1,,,
B8C2C9,B8C2C9_THAPS,nan,THAPS,4.0,,,,,1,,,1,,1,1,,,
C1M2T0,nan,nan,nan,4.0,,,,,1,,,,,1,1,1,,
nan,nan,ENSRNOP00000052798,RAT,4.0,,,,,,,,1,,1,1,1,,
nan,nan,ENSGALP00000012950,CHICK,4.0,,,,,1,,,1,,1,1,,,
C3YIB4,C3YIB4_BRAFL,nan,BRAFL,4.0,,,,,,,,1,,1,1,,,1
Q9W3N1,Q9W3N1_DROME,nan,DROME,4.0,,,,,1,,,1,,1,1,,,
C4PZL1,nan,nan,nan,4.0,,,,,1,,,1,,1,1,,,
E2RGP9,E2RGP9_CANFA,ENSCAFP00000001737,CANFA,4.0,,,,,,,,1,,1,1,1,,
Q8L9C4,KCR1_ARATH,nan,ARATH,4.0,,,,,1,,,1,,1,1,,,
Q7PHB8,Q7PHB8_ANOGA,nan,ANOGA,4.0,,,,,1,,,1,,1,1,,,
F6W668,F6W668_XENTR,ENSXETP00000054551,XENTR,4.0,,,,1,,,,1,,1,1,,,
Q6QA33,DH12B_DANRE,nan,DANRE,4.0,,,,,1,,,1,,1,1,,,
Q32L90,Q32L90_BOVIN,ENSBTAP00000022431,BOVIN,4.0,,,,,,,1,1,,1,1,,,
F7HCR3,F7HCR3_MACMU,ENSMMUP00000024289,MACMU,4.0,,,,,1,,,,,1,1,1,,
H2S4M9,H2S4M9_TAKRU,ENSTRUP00000007351,TAKRU,4.0,,,,,,,,1,,1,1,1,,
Q6P3L6,DH12A_DANRE,nan,DANRE,4.0,,,,,,,,1,,1,1,1,,
H2UY58,H2UY58_TAKRU,ENSTRUP00000041887,TAKRU,4.0,,,,,,,,1,,1,1,,,1
O17795,STDH2_CAEEL,nan,CAEEL,4.0,,,,,,,1,,,1,1,1,,
Q54Q55,Q54Q55_DICDI,nan,DICDI,4.0,,,,,,,,,,1,1,1,1,
B5YNW8,B5YNW8_THAPS,nan,THAPS,4.0,,,,,,,,1,,1,1,1,,
Q10130,DHS5_CAEEL,nan,CAEEL,4.0,,,,,,,,,,1,1,1,,1
Q4Q3K8,Q4Q3K8_LEIMA,nan,LEIMA,4.0,,,,,1,,,,,1,1,1,,
Q17703,STDH1_CAEEL,nan,CAEEL,4.0,,,,,,,,1,,1,1,1,,
Q1JQ48,Q1JQ48_DANRE,nan,DANRE,4.0,,,,,,,,1,,1,1,,,1
Q0UBG5,Q0UBG5_PHANO,nan,PHANO,4.0,,,,,1,,,,,1,1,1,,
nan,nan,ENSXETP00000032476,XENTR,4.0,,,,,,,,1,,1,1,1,,
B0XNV8,B0XNV8_ASPFC,nan,ASPFC,4.0,,,,,1,,,,,1,1,1,,
A7UUS5,A7UUS5_ANOGA,nan,ANOGA,4.0,,,,,,,1,1,,1,1,,,
A8B6D0,A8B6D0_GIAIC,nan,GIAIC,4.0,,,,,1,,,,,1,1,1,,
F6TA16,F6TA16_CIOIN,ENSCINP00000008042,CIOIN,3.0,,,,,,,,,,1,1,1,,
A5WWC6,HSDL1_DANRE,nan,DANRE,3.0,,,,,,,,1,,1,1,,,
Q8IGQ3,Q8IGQ3_DROME,nan,DROME,3.0,,,,,,,,1,,1,1,,,
Q8F2Z0,Q8F2Z0_LEPIN,nan,LEPIN,3.0,,,,,1,,,,,1,1,,,
H2UQW0,H2UQW0_TAKRU,ENSTRUP00000039333,TAKRU,3.0,,,,,,,,1,,1,,1,,
Q4V8B7,HSDL1_RAT,nan,RAT,3.0,,,,,,,,1,,1,1,,,
Q8BTX9,HSDL1_MOUSE,nan,MOUSE,3.0,,,,,,,,1,,1,1,,,
A5PJF6,HSDL1_BOVIN,ENSBTAP00000024993,BOVIN,3.0,,,,,,,,1,,1,1,,,
E2QTV0,E2QTV0_CANFA,ENSCAFP00000029582,CANFA,3.0,,,,,,,,1,,1,1,,,
H2QXI5,H2QXI5_PANTR,ENSPTRP00000036143,PANTR,3.0,,,,,,,,1,,1,1,,,
Q7Q8K5,Q7Q8K5_ANOGA,nan,ANOGA,3.0,,,,,,,,1,,1,1,,,
H2QBM0,H2QBM0_PANTR,ENSPTRP00000014351,PANTR,3.0,,,,,,,,1,,1,1,,,
Q7Q3H8,Q7Q3H8_ANOGA,nan,ANOGA,3.0,,,,,,,,1,,1,1,,,
Q6QA32,Q6QA32_DANRE,nan,DANRE,3.0,,,,,,,,1,,1,1,,,
Q17704,STDH3_CAEEL,nan,CAEEL,3.0,,,,,,,,,,1,1,1,,
Q8R6E3,Q8R6E3_FUSNN,nan,FUSNN,3.0,,,,,,,,1,,,,1,1,
F6SBK8,F6SBK8_ORNAN,ENSOANP00000018054,ORNAN,3.0,,,,,,,,1,,1,1,,,
Q5ZJG8,HSDL1_CHICK,nan,CHICK,3.0,,,,,,,,1,,1,1,,,
A7S4B0,A7S4B0_NEMVE,nan,NEMVE,3.0,,,,,,,,1,,1,1,,,
Q5TQ42,Q5TQ42_ANOGA,nan,ANOGA,3.0,,,,,,,,1,,1,1,,,
Q5KC11,nan,nan,nan,3.0,,,,,1,,,,,1,1,,,
F7G9J7,F7G9J7_MACMU,ENSMMUP00000026386,MACMU,3.0,,,,,,,,1,,1,1,,,
Q3SXM5,HSDL1_HUMAN,nan,HUMAN,3.0,,,,,,,,1,,1,1,,,
Q54Q56,Q54Q56_DICDI,nan,DICDI,3.0,,,,,,,,,,1,1,,1,
F7A6J2,F7A6J2_MONDO,ENSMODP00000006094,MONDO,3.0,,,,,,,,1,,1,1,,,
Q4Q428,Q4Q428_LEIMA,nan,LEIMA,3.0,,,,,,,,,,1,1,1,,
Q54CD7,Q54CD7_DICDI,nan,DICDI,3.0,,,,,,,,,,1,1,1,,
Q8INZ8,Q8INZ8_DROME,nan,DROME,3.0,,,,,,,,1,,1,1,,,
H2UKQ9,H2UKQ9_TAKRU,ENSTRUP00000037530,TAKRU,3.0,,,,,,,,1,,1,1,,,
O06172,O06172_MYCTO,nan,MYCTU,3.0,,,,,,,,,,1,,,1,1
O16925,STDH4_CAEEL,nan,CAEEL,3.0,,,,,,,,,,1,1,1,,
P37058,DHB3_HUMAN,nan,HUMAN,3.0,,,,,,,,1,,1,1,,,
B7PGB1,B7PGB1_IXOSC,nan,IXOSC,3.0,,,,,,,,1,,1,1,,,
