ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
H2QEV9,H2QEV9_PANTR,ENSPTRP00000017386,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6R758,F6R758_MACMU,ENSMMUP00000013216,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9D240,PKHJ1_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q6P4L6,PKHJ1_XENTR,ENSXETP00000053593,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q6P0G8,PKHJ1_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q3ZCI3,PKHJ1_BOVIN,ENSBTAP00000002158,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6U739,F6U739_MONDO,ENSMODP00000005755,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9NW61,PKHJ1_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C3XXW5,C3XXW5_BRAFL,nan,BRAFL,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B4F791,B4F791_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7DWQ5,F7DWQ5_ORNAN,ENSOANP00000021535,ORNAN,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
H2TDZ7,H2TDZ7_TAKRU,ENSTRUP00000022889,TAKRU,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
Q5ZLT5,PKHJ1_CHICK,nan,CHICK,12.0,,1,1,1,1,1,1,1,1,1,1,,1,1
E1BWI4,nan,nan,nan,5.0,,,,,,,,1,,,1,1,1,1
B7Z022,nan,nan,nan,3.0,,,,,,,,,,,1,1,1,
B7QAK6,B7QAK6_IXOSC,nan,IXOSC,3.0,,,,,,,,,,,1,1,1,
Q7Q4U8,Q7Q4U8_ANOGA,nan,ANOGA,3.0,,,,,,,,,,,1,1,1,
A7S8R7,A7S8R7_NEMVE,nan,NEMVE,3.0,,,,1,,,,,,,1,,1,
Q7YTJ3,Q7YTJ3_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,1,,1,
C4QKX0,C4QKX0_SCHMA,nan,SCHMA,1.0,,,,,,,,,,,1,,,
A7RKV0,A7RKV0_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
Q55EZ5,Q55EZ5_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q86IV4,Y4775_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
A7RJ73,A7RJ73_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
