ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F1LZL2,F1LZL2_RAT,ENSRNOP00000058610,RAT,10.0,1,1,1,1,,1,1,1,1,1,,1,,
A4IIH8,A4IIH8_XENTR,ENSXETP00000042835,XENTR,8.0,1,1,1,1,,1,1,1,,1,,,,
F7EH92,F7EH92_ORNAN,ENSOANP00000023247,ORNAN,7.0,1,1,,,,1,1,1,,1,,1,,
F7DBB2,F7DBB2_MACMU,ENSMMUP00000010071,MACMU,3.0,,,,,,,1,,,1,,1,,
O35474,EDIL3_MOUSE,nan,MOUSE,3.0,,,,,,,1,,,1,,1,,
H2RW73,H2RW73_TAKRU,ENSTRUP00000004393,TAKRU,3.0,,,,,,,1,,,1,,1,,
E1BPX2,E1BPX2_BOVIN,ENSBTAP00000053325,BOVIN,3.0,,,,,,,1,,,1,,1,,
F1NCN3,F1NCN3_CHICK,ENSGALP00000025153,CHICK,3.0,,,,,,,1,,,1,,1,,
Q1LXE4,nan,nan,nan,2.0,,,,,,,1,,,,,1,,
O43854,EDIL3_HUMAN,nan,HUMAN,2.0,,,,,,,1,,,,,1,,
H2QR72,H2QR72_PANTR,ENSPTRP00000029199,PANTR,2.0,,,,,,,1,,,,,1,,
F7D3X7,F7D3X7_MONDO,ENSMODP00000025324,MONDO,2.0,,,,,,,1,,,,,1,,
F1P8D5,F1P8D5_CANFA,ENSCAFP00000012448,CANFA,2.0,,,,,,,1,,,1,,,,
F1Q6J1,F1Q6J1_DANRE,ENSDARP00000080662,DANRE,1.0,,,,,,,,,,,,1,,
F6TIG3,F6TIG3_CIOIN,ENSCINP00000019787,CIOIN,1.0,,,,,,,,,,1,,,,
A7RK18,A7RK18_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
C4QNT1,nan,nan,nan,1.0,,,,,,,,,1,,,,,
F7EZ04,F7EZ04_MONDO,ENSMODP00000035196,MONDO,1.0,,,,,,,,,,1,,,,
H2QA15,H2QA15_PANTR,ENSPTRP00000012693,PANTR,1.0,,,,,,,,,,1,,,,
C3ZSX9,C3ZSX9_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
C3ZSX8,C3ZSX8_BRAFL,nan,BRAFL,1.0,,,,1,,,,,,,,,,
C3YM37,C3YM37_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
A7T877,A7T877_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
P42530,DIS2_DICDI,nan,DICDI,1.0,,,,,,,,,,,,1,,
Q08431,MFGM_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
A7RZQ5,A7RZQ5_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
Q86A91,Q86A91_DICDI,nan,DICDI,1.0,1,,,,,,,,,,,,,
nan,nan,ENSPTRP00000056721,PANTR,1.0,1,,,,,,,,,,,,,
