ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A6QP83,A6QP83_BOVIN,ENSBTAP00000017383,BOVIN,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
F6RN09,F6RN09_XENTR,ENSXETP00000002853,XENTR,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q96I24,FUBP3_HUMAN,nan,HUMAN,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q5ZM76,Q5ZM76_CHICK,nan,CHICK,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q5RKQ3,Q5RKQ3_DANRE,nan,DANRE,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q2QC85,Q2QC85_RAT,nan,RAT,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
H2QY19,H2QY19_PANTR,ENSPTRP00000036744,PANTR,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
F7FUE5,F7FUE5_MONDO,ENSMODP00000015162,MONDO,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
F6Y1W9,F6Y1W9_MACMU,ENSMMUP00000040007,MACMU,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
nan,nan,ENSOANP00000001662,ORNAN,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
F1PEW1,F1PEW1_CANFA,ENSCAFP00000029540,CANFA,12.0,1,1,,1,1,1,1,1,1,,1,1,1,1
Q3TIX6,Q3TIX6_MOUSE,nan,MOUSE,12.0,1,1,1,1,1,1,,1,1,,1,1,1,1
H2U9X3,H2U9X3_TAKRU,ENSTRUP00000033739,TAKRU,10.0,,,1,1,1,1,1,1,,,1,1,1,1
A7SDL7,A7SDL7_NEMVE,nan,NEMVE,9.0,,,,1,1,1,,1,1,,1,1,1,1
O96828,O96828_DROME,nan,DROME,9.0,,,,,1,1,1,1,1,,1,1,1,1
B7PN34,B7PN34_IXOSC,nan,IXOSC,8.0,,,,,1,1,,1,1,,1,1,1,1
Q7Q322,Q7Q322_ANOGA,nan,ANOGA,8.0,,,,,1,1,,1,1,,1,1,1,1
F6ZUP0,F6ZUP0_CIOIN,ENSCINP00000019569,CIOIN,8.0,,,,,1,1,,1,1,,1,1,1,1
A9V9F1,A9V9F1_MONBE,nan,MONBE,8.0,,,,,1,1,,1,1,,1,1,1,1
C3ZCP6,C3ZCP6_BRAFL,nan,BRAFL,7.0,,,,,1,,,1,1,,1,1,1,1
Q17936,Q17936_CAEEL,nan,CAEEL,7.0,,,,,1,,,1,1,,1,1,1,1
Q7S2N6,Q7S2N6_NEUCR,nan,NEUCR,6.0,,1,,,1,1,,1,,,1,,,1
Q23487,Q23487_CAEEL,nan,CAEEL,6.0,,,,,,,,1,1,,1,1,1,1
H2VEZ9,H2VEZ9_TAKRU,ENSTRUP00000047796,TAKRU,6.0,1,,,,,,,,1,,1,1,1,1
P91393,P91393_CAEEL,nan,CAEEL,6.0,,,,,,,,1,1,,1,1,1,1
Q9BLA0,Q9BLA0_CAEEL,nan,CAEEL,5.0,,,,,,,,1,1,,1,1,,1
C4Q976,nan,nan,nan,4.0,,,,,,,,,1,,,1,1,1
C4Q981,nan,nan,nan,4.0,,,,,,,,,1,,,1,1,1
C4Q980,nan,nan,nan,4.0,,,,,,,,,1,,,1,1,1
C4Q979,nan,nan,nan,4.0,,,,,,,,,1,,,1,1,1
C4Q978,nan,nan,nan,4.0,,,,,,,,,1,,,1,1,1
C4Q977,nan,nan,nan,4.0,,,,,,,,,1,,,1,1,1
B8CG50,B8CG50_THAPS,nan,THAPS,4.0,,,,,,1,1,1,,,,,,1
A9SHS3,A9SHS3_PHYPA,nan,PHYPA,3.0,,,,,,,1,,1,,,,,1
A7EJ68,A7EJ68_SCLS1,nan,SCLS1,3.0,,,,,1,,,,,,1,,,1
Q0UL57,Q0UL57_PHANO,nan,PHANO,3.0,,,,,1,,,,,,1,,,1
Q54FA7,Q54FA7_DICDI,nan,DICDI,2.0,,,,,1,,,,,,1,,,
A9T1H6,A9T1H6_PHYPA,nan,PHYPA,2.0,,,,,1,,,,,,1,,,
C4Q8U9,nan,nan,nan,2.0,,,,,1,,,,,,1,,,
C6KSP9,C6KSP9_PLAF7,nan,PLAF7,2.0,,,,,1,,,,,,1,,,
B8C5G8,B8C5G8_THAPS,nan,THAPS,2.0,,,,,1,,,,,,1,,,
A9S676,A9S676_PHYPA,nan,PHYPA,2.0,,,,,1,,,,,,1,,,
Q9T0G5,Q9T0G5_ARATH,nan,ARATH,2.0,,,,,,,,,1,,,,,1
Q9SR13,FLK_ARATH,nan,ARATH,2.0,,,,,1,,,,,,1,,,
O82762,O82762_ARATH,nan,ARATH,2.0,,,,,,,,,1,,,,,1
P34307,YKR1_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,1,1,,
A9SKC9,A9SKC9_PHYPA,nan,PHYPA,2.0,,,,,,,,,1,,,,,1
Q0WNX3,Q0WNX3_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q9XI71,Q9XI71_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q9SZH4,PEP_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
P06105,SC160_YEAST,nan,YEAST,1.0,,,,,,,,,,,,1,,
Q9LXC1,Q9LXC1_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q9FNK3,Q9FNK3_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q9FMF0,Q9FMF0_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q9C553,Q9C553_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q23486,Q23486_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,1,,,
A7S8X2,A7S8X2_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
Q8W4B1,Q8W4B1_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q84MA6,Q84MA6_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
B8C257,B8C257_THAPS,nan,THAPS,1.0,,,,,,,,,,,,,,1
P58223,Y4837_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
B8BXB8,B8BXB8_THAPS,nan,THAPS,1.0,,,,,,,,,,,1,,,
A9RYT2,A9RYT2_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,1,,,
Q0WLY0,Q0WLY0_ARATH,nan,ARATH,1.0,,,,,,,,,,,,,,1
Q2V4N3,nan,nan,nan,1.0,,,,,,,,,,,1,,,
