ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q8K4X3,Q8K4X3_RAT,nan,RAT,8.0,1,1,1,1,,,,,1,1,,1,,1
nan,nan,ENSBTAP00000051295,BOVIN,5.0,1,1,1,1,,,,,1,,,,,
F7CII6,F7CII6_ORNAN,ENSOANP00000023769,ORNAN,3.0,1,,,,,,,,,1,,,,1
O02424,nan,nan,nan,1.0,,,,,,,,,,,,1,,
Q9W6C0,Q9W6C0_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
Q9PVK1,Q9PVK1_CHICK,nan,CHICK,1.0,,,,,,,,,,1,,,,
Q7Z4P5,GDF7_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,,1
Q7PZI7,Q7PZI7_ANOGA,nan,ANOGA,1.0,,,,,,,,,,1,,,,
Q28BW9,Q28BW9_XENTR,ENSXETP00000019176,XENTR,1.0,,,,,,,,,,1,,,,
P27539,GDF1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
P27091,60A_DROME,nan,DROME,1.0,,,,,,,,,,1,,,,
A7RQJ0,A7RQJ0_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
A7RQJ3,A7RQJ3_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
H2QHH9,H2QHH9_PANTR,ENSPTRP00000020097,PANTR,1.0,,,,,,,,,,,,,,1
F7ED17,F7ED17_MACMU,ENSMMUP00000004468,MACMU,1.0,,,,,,,,,,,,,,1
F6ZBU9,F6ZBU9_MACMU,ENSMMUP00000031738,MACMU,1.0,,,,,,,,,,1,,,,
F1PM88,F1PM88_CANFA,ENSCAFP00000031040,CANFA,1.0,,,,,,,,,,,,,,1
E1BEK6,E1BEK6_BOVIN,ENSBTAP00000027871,BOVIN,1.0,,,,,,,,,,1,,,,
C3ZZF3,C3ZZF3_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
A7SZ10,A7SZ10_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,,1
H2V407,H2V407_TAKRU,ENSTRUP00000043941,TAKRU,1.0,,,,,,,,,,1,,,,
