ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A0AUV4,SMKY_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,,1,1,
E9Q3Y8,E9Q3Y8_MOUSE,ENSMUSP00000127210,MOUSE,2.0,,,,,,,,,,,,1,1,
nan,nan,ENSMUSP00000129460,MOUSE,2.0,,,,,,,,,,,,1,1,
nan,nan,ENSMUSP00000128820,MOUSE,2.0,,,,,,,,,,,,1,1,
nan,nan,ENSMUSP00000128468,MOUSE,2.0,,,,,,,,,,,,1,1,
nan,nan,ENSMUSP00000126785,MOUSE,2.0,,,,,,,,,,,,1,1,
Q54TA3,MRKC_DICDI,nan,DICDI,2.0,,,,,,,,,,,,1,1,
P28178,PK2_DICDI,nan,DICDI,2.0,,,,,,,,,,,,1,1,
Q54DF2,MRKA_DICDI,nan,DICDI,2.0,,,,,,,,,,,,1,1,
nan,nan,ENSRNOP00000062680,RAT,2.0,,,,,,,,,,,,1,1,
D3YW70,nan,nan,nan,2.0,,,,,,,,,,,,1,1,
Q7QAC1,Q7QAC1_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,,1,
A2ED12,A2ED12_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,,1,
A4F324,A4F324_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
A5WW87,A5WW87_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
A8MR56,A8MR56_ARATH,nan,ARATH,1.0,,,,,,,,,,,,1,,
Q9U2H1,Q9U2H1_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
Q9K4I5,Q9K4I5_STRCO,nan,STRCO,1.0,,,,,,,,,,,,,1,
Q94CG0,CIPKL_ARATH,nan,ARATH,1.0,,,,,,,,,,,,,1,
Q8RWC9,CIPK1_ARATH,nan,ARATH,1.0,,,,,,,,,,,,,1,
Q8IKT6,Q8IKT6_PLAF7,nan,PLAF7,1.0,,,,,,,,,,,,,1,
Q7UFV8,Q7UFV8_RHOBA,nan,RHOBA,1.0,,,,,,,,,,,,,1,
H2T6D7,H2T6D7_TAKRU,ENSTRUP00000020226,TAKRU,1.0,,,,,,,,,,,,,1,
O17879,O17879_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
Q5A649,ATG1_CANAL,nan,CANAL,1.0,,,,,,,,,,,,1,,
Q54VU4,Y8013_DICDI,nan,DICDI,1.0,,,,,,,,,,,,1,,
C3XPY9,C3XPY9_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,1,
A2DEB4,A2DEB4_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,,1,
Q0KHV6,Q0KHV6_DROME,nan,DROME,1.0,,,,,,,,,,,,,1,
Q09298,PINK1_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
P47116,PTK2_YEAST,nan,YEAST,1.0,,,,,,,,,,,,1,,
P42525,ERK1_DICDI,nan,DICDI,1.0,,,,,,,,,,,,,1,
P22987,KIN1_SCHPO,nan,SCHPO,1.0,,,,,,,,,,,,,1,
Q5PRB2,Q5PRB2_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,1,
