ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q7UJU1,Q7UJU1_RHOBA,nan,RHOBA,13.0,1,1,1,1,1,,1,1,1,1,1,1,1,1
Q8F8H7,Q8F8H7_LEPIN,nan,LEPIN,12.0,1,1,1,1,1,,1,1,1,1,1,1,1,
P96878,P96878_MYCTU,nan,MYCTU,9.0,1,1,1,1,,,,1,1,,1,1,1,
A6UXN8,A6UXN8_PSEA7,nan,PSEA7,9.0,1,,,,1,,1,1,1,1,1,1,1,
Q9X927,Q9X927_STRCO,nan,STRCO,7.0,1,,1,1,,,,1,1,,1,,1,
Q7NIU4,Q7NIU4_GLOVI,nan,GLOVI,6.0,,1,,,,,1,1,,,,1,1,1
Q9RS89,Q9RS89_DEIRA,nan,DEIRA,5.0,,,,,,,1,1,,,,1,1,1
Q8CJP5,Q8CJP5_STRCO,nan,STRCO,5.0,,,,,1,,,1,,1,1,,1,
Q89KN9,Q89KN9_BRADU,nan,BRADU,5.0,,,,,,,1,1,,,,1,1,1
Q74D77,Q74D77_GEOSL,nan,GEOSL,5.0,,,,,,,1,1,,,,1,1,1
E7FHH0,nan,nan,nan,4.0,,,,,,,,1,,,,1,1,1
O53573,nan,nan,nan,4.0,,,,,,,1,,,,,1,1,1
Q3KKI2,Q3KKI2_CHLTA,nan,CHLTA,4.0,,,,,1,,,1,,1,1,,,
O06984,YVDB_BACSU,nan,BACSU,4.0,,1,,,1,,,1,,,1,,,
Q7NM24,Q7NM24_GLOVI,nan,GLOVI,4.0,,,,,,,,1,,,,1,1,1
Q89KP1,Q89KP1_BRADU,nan,BRADU,4.0,,,,,,,,1,,,,1,1,1
H2TVU8,H2TVU8_TAKRU,ENSTRUP00000028807,TAKRU,3.0,1,1,,1,,,,,,,,,,
Q5KQ28,Q5KQ28_CRYNJ,nan,CRYNJ,3.0,,1,,,,,,,,,,1,1,
Q55814,Q55814_SYNY3,nan,SYNY3,3.0,,,,,1,,,1,,,1,,,
Q86WA9,S2611_HUMAN,nan,HUMAN,3.0,,,,1,,,1,1,,,,,,
P0AFR2,DAUA_ECOLI,nan,ECOLI,3.0,,,,,1,,,1,,,1,,,
O94255,CAN_SCHPO,nan,SCHPO,3.0,,,,,,,1,,,,,1,1,
Q89RC4,Q89RC4_BRADU,nan,BRADU,3.0,,1,,,,,,1,,1,,,,
Q9X903,Q9X903_STRCO,nan,STRCO,3.0,,,,,,,1,,,,,,1,1
Q9VC29,Q9VC29_DROME,nan,DROME,3.0,,1,,1,,,,1,,,,,,
Q55136,Q55136_SYNY3,nan,SYNY3,3.0,,,,,,,1,,,,,,1,1
A9WK11,A9WK11_CHLAA,nan,CHLAA,3.0,,1,,,,,,1,,,,1,,
F6UEG1,F6UEG1_CIOIN,ENSCINP00000017235,CIOIN,2.0,,1,,,,,,1,,,,,,
A9S7B7,A9S7B7_PHYPA,nan,PHYPA,2.0,,,,,,,,,,,,1,1,
Q5AJ71,CAN_CANAL,nan,CANAL,2.0,,,,,,,1,,,,,1,,
Q7K4I4,Q7K4I4_DROME,nan,DROME,2.0,,,,,,,1,1,,,,,,
B0Y4C8,B0Y4C8_ASPFC,nan,ASPFC,2.0,,,,,,,,,,,,1,1,
Q7SHC4,nan,nan,nan,2.0,,,,,,,,,,,,1,1,
B0R4A0,B0R4A0_HALS3,nan,HALS3,2.0,,,,,,,1,,,,,,1,
Q80ZD3,S2611_MOUSE,nan,MOUSE,2.0,,,,1,,,,1,,,,,,
Q84MA8,AZG2_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
Q89FZ3,Q89FZ3_BRADU,nan,BRADU,2.0,,,,1,,,,1,,,,,,
A9SRS9,A9SRS9_PHYPA,nan,PHYPA,2.0,,,,,,,,,,,,1,1,
Q89W82,Q89W82_BRADU,nan,BRADU,2.0,,,,,,,,,,,,1,1,
Q8A2X4,Q8A2X4_BACTN,nan,BACTN,2.0,,,,,1,,,,,,1,,,
A9S391,A9S391_PHYPA,nan,PHYPA,2.0,,,,,,,,,,,,1,1,
Q4PDQ7,Q4PDQ7_USTMA,nan,USTMA,2.0,,,,,,,,,,,,1,1,
Q8GYH8,SUT42_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
Q94LW6,SUT35_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
Q9FEP7,SUT13_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
Q9FY46,SUT41_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
Q9LW86,SUT34_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
Q9MAX3,SUT12_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
A9RQW1,A9RQW1_PHYPA,nan,PHYPA,2.0,,,,,,,,,,,,1,1,
Q9SAY1,SUT11_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
Q9SRK7,AZG1_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
Q9SV13,SUT31_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
Q9SXS2,SUT33_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
A7ES41,A7ES41_SCLS1,nan,SCLS1,2.0,,,,,,,,,,,,1,1,
A7E5J7,A7E5J7_SCLS1,nan,SCLS1,2.0,,,,,,,,,,,,1,1,
B0Y4K4,B0Y4K4_ASPFC,nan,ASPFC,2.0,,,,,,,,,,,,1,1,
nan,nan,ENSXETP00000042491,XENTR,2.0,,1,,,,,,1,,,,,,
O04289,SUT32_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
O74377,SULH1_SCHPO,nan,SCHPO,2.0,,,,1,,,,1,,,,,,
P92946,SUT22_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
Q09764,YA7B_SCHPO,nan,SCHPO,2.0,,,,,,,,,,,,1,1,
Q0TZR7,Q0TZR7_PHANO,nan,PHANO,2.0,,,,,,,,,,,,1,1,
Q0U1C1,Q0U1C1_PHANO,nan,PHANO,2.0,,,,,,,,,,,,1,1,
O67306,O67306_AQUAE,nan,AQUAE,2.0,,,,,,,,,,,,1,1,
F1M067,F1M067_RAT,ENSRNOP00000051870,RAT,2.0,,,,,,,1,1,,,,,,
O04722,SUT21_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
O33206,O33206_MYCTU,nan,MYCTU,2.0,,,,,1,,,,,,1,,,
O94300,YOOH_SCHPO,nan,SCHPO,2.0,,,,,,,,,,,,1,1,
H2QE12,H2QE12_PANTR,ENSPTRP00000016572,PANTR,2.0,,,,,,,1,1,,,,,,
Q8TPB4,Q8TPB4_METAC,nan,METAC,1.0,,,,,,,,,,1,,,,
