ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
B0RA23,B0RA23_HALS3,nan,HALS3,13.0,1,1,1,1,1,,1,1,1,1,1,1,1,1
Q8REU6,Q8REU6_FUSNN,nan,FUSNN,13.0,1,1,1,1,1,,1,1,1,1,1,1,1,1
Q8A0C4,Q8A0C4_BACTN,nan,BACTN,13.0,1,1,1,1,1,,1,1,1,1,1,1,1,1
Q7UNB4,Q7UNB4_RHOBA,nan,RHOBA,13.0,1,1,1,1,1,,1,1,1,1,1,1,1,1
B5YIV8,B5YIV8_THEYD,nan,THEYD,13.0,1,1,1,1,1,,1,1,1,1,1,1,1,1
P0AFZ7,TRKH_ECOLI,nan,ECOLI,12.0,,1,1,1,1,,1,1,1,1,1,1,1,1
A6UX77,A6UX77_PSEA7,nan,PSEA7,11.0,,1,1,,1,,1,1,1,1,1,1,1,1
Q9X0H4,Q9X0H4_THEMA,nan,THEMA,9.0,1,1,,,1,,1,1,1,1,1,,1,
Q8TQQ7,Q8TQQ7_METAC,nan,METAC,9.0,,,1,,1,,,1,1,1,1,1,1,1
Q8TQQ9,Q8TQQ9_METAC,nan,METAC,8.0,,,,,,,1,1,1,1,1,1,1,1
P23849,TRKG_ECOLI,nan,ECOLI,7.0,,,,,,,,1,1,1,1,1,1,1
Q58880,Y1485_METJA,nan,METJA,7.0,1,1,,,,,1,1,,1,1,1,,
Q5JGD2,Q5JGD2_THEKO,nan,THEKO,6.0,1,1,,,,,1,1,,1,1,,,
O67474,O67474_AQUAE,nan,AQUAE,4.0,1,,,,,,,,,1,,1,1,
A6V2L2,A6V2L2_PSEA7,nan,PSEA7,3.0,,,,,,,,1,,1,1,,,
A6V6V8,A6V6V8_PSEA7,nan,PSEA7,3.0,,,,,,,,1,,1,1,,,
B0R681,B0R681_HALS3,nan,HALS3,2.0,,,,,,,,,,1,1,,,
B0R599,B0R599_HALS3,nan,HALS3,2.0,,,,,,,,,,1,1,,,
A9WC68,A9WC68_CHLAA,nan,CHLAA,2.0,1,,,,,,,,,1,,,,
Q8TNS3,Q8TNS3_METAC,nan,METAC,2.0,,,,,,,,,,1,1,,,
O31658,KTRD_BACSU,nan,BACSU,2.0,,,,,,,,,,,,1,1,
B0R853,B0R853_HALS3,nan,HALS3,2.0,,,,,,,,,,1,1,,,
O32081,KTRB_BACSU,nan,BACSU,1.0,,,,1,,,,,,,,,,
P73949,P73949_SYNY3,nan,SYNY3,1.0,,,,,,,,,,1,,,,
Q7NN96,Q7NN96_GLOVI,nan,GLOVI,1.0,,,,,,,,,,1,,,,
B8DYW8,B8DYW8_DICTD,nan,DICTD,1.0,,,,,,,,,,1,,,,
