ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q7UP94,Q7UP94_RHOBA,nan,RHOBA,13.0,1,1,1,1,1,,1,1,1,1,1,1,1,1
Q8EZB9,Q8EZB9_LEPIN,nan,LEPIN,12.0,1,1,1,1,1,,1,1,1,,1,1,1,1
Q9X213,Q9X213_THEMA,nan,THEMA,9.0,1,1,,,1,,1,1,,1,1,,1,1
A2EXW4,A2EXW4_TRIVA,nan,TRIVA,8.0,,,,,1,,1,1,,1,1,1,1,1
F1P6A0,F1P6A0_CANFA,ENSCAFP00000026569,CANFA,8.0,1,,,1,,,1,1,1,1,1,,,1
C3Z8J3,C3Z8J3_BRAFL,nan,BRAFL,8.0,1,,,1,,,1,1,1,1,1,,,1
H2UGD8,H2UGD8_TAKRU,ENSTRUP00000036009,TAKRU,8.0,1,,,1,,,1,1,1,1,1,,,1
O35033,COABC_BACSU,nan,BACSU,8.0,,,,,1,,1,1,,1,1,1,1,1
E1BUI2,E1BUI2_CHICK,nan,CHICK,8.0,1,,,1,,,1,1,1,1,1,,,1
B5YJ34,B5YJ34_THEYD,nan,THEYD,8.0,,,,,1,,1,1,,1,1,1,1,1
F7ADW8,F7ADW8_MONDO,ENSMODP00000011433,MONDO,8.0,1,,,1,,,1,1,1,1,1,,,1
Q74E40,Q74E40_GEOSL,nan,GEOSL,8.0,,,,,1,,1,1,,1,1,1,1,1
Q58DB8,Q58DB8_BOVIN,ENSBTAP00000018730,BOVIN,8.0,1,,,1,,,1,1,1,1,1,,,1
D4A788,nan,nan,nan,8.0,1,,,1,,,1,1,1,1,1,,,1
Q7PZN2,Q7PZN2_ANOGA,nan,ANOGA,8.0,1,,,1,,,1,1,1,1,1,,,1
Q8A812,Q8A812_BACTN,nan,BACTN,8.0,,,,,1,,1,1,,1,1,1,1,1
Q8BZB2,COAC_MOUSE,nan,MOUSE,8.0,1,,,1,,,1,1,1,1,1,,,1
C4Q4N0,nan,nan,nan,8.0,1,,,1,,,1,1,1,1,1,,,1
H2Q9T6,H2Q9T6_PANTR,ENSPTRP00000012477,PANTR,7.0,1,,,1,,,1,1,1,1,1,,,
Q1LWK2,Q1LWK2_DANRE,nan,DANRE,7.0,1,,,1,,,1,1,1,1,1,,,
P73881,COABC_SYNY3,nan,SYNY3,7.0,1,,,,1,,1,1,,1,1,,,1
A6VEC7,A6VEC7_PSEA7,nan,PSEA7,7.0,,,,,1,,1,1,,1,1,1,,1
Q96CD2,COAC_HUMAN,nan,HUMAN,7.0,1,,,1,,,1,1,1,1,1,,,
F7DMJ6,F7DMJ6_ORNAN,ENSOANP00000007277,ORNAN,7.0,1,,,1,,,1,1,1,1,1,,,
nan,nan,ENSXETP00000000814,XENTR,7.0,,,,,1,,1,1,,1,1,1,,1
B7PZI2,B7PZI2_IXOSC,nan,IXOSC,7.0,1,,,,,,1,1,1,1,1,,,1
B8C2T5,B8C2T5_THAPS,nan,THAPS,7.0,1,,,1,,,1,1,,1,1,,,1
F6ZIJ0,F6ZIJ0_MACMU,ENSMMUP00000024748,MACMU,7.0,1,,,1,,,1,1,1,1,1,,,
A9TQK4,A9TQK4_PHYPA,nan,PHYPA,6.0,,,,,,,1,1,1,1,1,,,1
Q89WD2,Q89WD2_BRADU,nan,BRADU,6.0,,,,,1,,1,1,,,1,1,,1
Q58323,COABC_METJA,nan,METJA,6.0,,,,,1,,,1,,1,1,1,1,
Q8RFI5,Q8RFI5_FUSNN,nan,FUSNN,6.0,,,,,1,,,,,1,1,1,1,1
Q8TRA0,Q8TRA0_METAC,nan,METAC,6.0,,,,,1,,,1,,1,1,1,1,
A7RS79,A7RS79_NEMVE,nan,NEMVE,6.0,1,,,,,,1,,1,1,1,,,1
P94063,HAL3B_ARATH,nan,ARATH,6.0,,,1,,,,,1,1,1,1,,,1
A9REZ2,A9REZ2_PHYPA,nan,PHYPA,6.0,,,1,,,,,1,1,1,1,,,1
A9WB42,A9WB42_CHLAA,nan,CHLAA,6.0,,,,,1,,1,1,,1,1,1,,
P0ABQ0,COABC_ECOLI,nan,ECOLI,6.0,,,,,1,,1,1,,,1,1,,1
O66997,O66997_AQUAE,nan,AQUAE,6.0,,,,,1,,,,,1,1,1,1,1
Q9SWE5,HAL3A_ARATH,nan,ARATH,6.0,,,,,,,1,1,1,1,1,,,1
Q8MKK3,Q8MKK3_DROME,nan,DROME,6.0,1,,,,,,1,,1,1,1,,,1
Q54Y51,COAC_DICDI,nan,DICDI,5.0,1,,,,,,1,,,1,1,,,1
Q8CK27,Q8CK27_STRCO,nan,STRCO,5.0,,,,,1,,1,1,,,1,,,1
Q7NKD0,Q7NKD0_GLOVI,nan,GLOVI,5.0,,,,,1,,1,1,,,1,1,,
A9VCF9,A9VCF9_MONBE,nan,MONBE,5.0,1,,,,,,1,,1,1,1,,,
B0R3N8,B0R3N8_HALS3,nan,HALS3,5.0,,,,,1,,1,,,1,1,,1,
Q7RVD1,Q7RVD1_NEUCR,nan,NEUCR,5.0,1,,,,,,1,,1,1,1,,,
F7AFP2,F7AFP2_XENTR,ENSXETP00000023359,XENTR,5.0,1,,,1,,,,,1,1,1,,,
B0Y5D9,B0Y5D9_ASPFC,nan,ASPFC,5.0,,,,1,,,1,,1,1,1,,,
Q980S0,Q980S0_SULSO,nan,SULSO,5.0,,,,,1,,,,,1,1,1,1,
P91988,P91988_CAEEL,nan,CAEEL,5.0,1,,,,,,1,,1,1,1,,,
Q8IAZ8,Q8IAZ8_PLAF7,nan,PLAF7,4.0,,,,,,,1,,,1,1,,,1
Q5KJ65,Q5KJ65_CRYNJ,nan,CRYNJ,4.0,,,,,,,1,,1,1,1,,,
Q9RWT6,Q9RWT6_DEIRA,nan,DEIRA,4.0,,,,,1,,,,,1,1,1,,
P67733,nan,nan,nan,4.0,,,,,1,,1,1,,,1,,,
Q4Q7F0,Q4Q7F0_LEIMA,nan,LEIMA,4.0,,,,,,,1,,,1,1,,,1
Q4P1U7,Q4P1U7_USTMA,nan,USTMA,3.0,,,,,,,1,,,,1,,,1
Q6C6T7,Q6C6T7_YARLI,nan,YARLI,3.0,,,,,,,1,,,1,1,,,
Q08438,VHS3_YEAST,nan,YEAST,3.0,,,,,,,1,,,1,1,,,
Q5JF17,Q5JF17_THEKO,nan,THEKO,3.0,,,,,1,,,,,1,1,,,
Q5A868,Q5A868_CANAL,nan,CANAL,3.0,,,,,,,1,,,1,1,,,
Q0US76,Q0US76_PHANO,nan,PHANO,3.0,,,,,,,,,1,1,1,,,
Q8EZC0,Q8EZC0_LEPIN,nan,LEPIN,2.0,,,,,,,,,,,1,1,,
A7EAJ6,A7EAJ6_SCLS1,nan,SCLS1,2.0,,,,,,,,,,1,1,,,
A7EYY0,A7EYY0_SCLS1,nan,SCLS1,2.0,,,,,,,,,,1,1,,,
Q5KPG9,Q5KPG9_CRYNJ,nan,CRYNJ,2.0,,,,,,,,,,1,1,,,
Q3ECU3,Q3ECU3_ARATH,nan,ARATH,2.0,,,,,1,,,,,,1,,,
Q54HC8,Q54HC8_DICDI,nan,DICDI,2.0,,,,,1,,,,,,1,,,
P36024,SIS2_YEAST,nan,YEAST,2.0,,,,,,,,,,1,1,,,
P36076,CAB3_YEAST,nan,YEAST,2.0,,,,,,,,,,1,1,,,
Q0U6W5,Q0U6W5_PHANO,nan,PHANO,2.0,,,,,,,,,,1,1,,,
B0Y7U7,B0Y7U7_ASPFC,nan,ASPFC,2.0,,,,,,,,,,1,1,,,
Q7RZH3,Q7RZH3_NEUCR,nan,NEUCR,2.0,,,,,,,,,,1,1,,,
Q3KME2,Q3KME2_CHLTA,nan,CHLTA,2.0,,,,,1,,,,,,1,,,
Q5A4F6,Q5A4F6_CANAL,nan,CANAL,2.0,,,,,,,,,,1,1,,,
Q6CCV1,Q6CCV1_YARLI,nan,YARLI,2.0,,,,,,,,,,1,1,,,
Q8IDN9,Q8IDN9_PLAF7,nan,PLAF7,1.0,,,,,,,,,,,1,,,
Q8MYL8,Q8MYL8_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,1,,,
Q58140,Y730_METJA,nan,METJA,1.0,,,,,,,,,,,1,,,
Q8TJN8,Q8TJN8_METAC,nan,METAC,1.0,,,,,,,,,,,1,,,
Q8TSU9,Q8TSU9_METAC,nan,METAC,1.0,,,,,,,,,,,1,,,
Q5A4L1,Q5A4L1_CANAL,nan,CANAL,1.0,,,,,,,,,,,1,,,
Q6CCS8,Q6CCS8_YARLI,nan,YARLI,1.0,,,,,,,,,,,1,,,
Q9EWS7,Q9EWS7_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
C3YR04,C3YR04_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
F6UIU9,F6UIU9_CIOIN,ENSCINP00000010853,CIOIN,1.0,,,,,,,,,,,1,,,
A9UQ36,A9UQ36_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
