ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q7UVU8,Q7UVU8_RHOBA,nan,RHOBA,13.0,1,1,1,1,1,,1,1,1,1,1,1,1,1
P77319,HSCC_ECOLI,nan,ECOLI,13.0,1,1,1,1,1,,1,1,1,1,1,1,1,1
Q557E0,HS7C2_DICDI,nan,DICDI,3.0,,,,,,,,,,,1,1,1,
Q7SX63,Q7SX63_CHICK,nan,CHICK,2.0,,,,,,,,,,,1,,1,
P18694,HSP72_USTMA,nan,USTMA,2.0,,,,,,,,,,,1,,1,
A9S0A3,A9S0A3_PHYPA,nan,PHYPA,2.0,,,,,,,,,,,1,,1,
F6V3U5,F6V3U5_ORNAN,ENSOANP00000004718,ORNAN,2.0,,,,,,,,,,1,1,,,
P34931,HS71L_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,1,,1,
A8BQB8,A8BQB8_GIAIC,nan,GIAIC,2.0,,,,,,,,,,1,1,,,
A8BCR6,A8BCR6_GIAIC,nan,GIAIC,2.0,,,,,,,,,,,1,,1,
A8B431,A8B431_GIAIC,nan,GIAIC,2.0,,,,,,,,,,,1,,1,
A7SSL5,A7SSL5_NEMVE,nan,NEMVE,2.0,,,,,,,,,,,1,,1,
P29844,HSP7C_DROME,nan,DROME,2.0,,,,,,,,,,,1,1,,
A7S7T9,A7S7T9_NEMVE,nan,NEMVE,2.0,,,,,,,,,,1,1,,,
C3XS36,C3XS36_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,1,,1,
P27420,HSP7C_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,1,1,,
F6XCH5,F6XCH5_CIOIN,ENSCINP00000011757,CIOIN,2.0,,,,,,,,,,,1,,1,
P36415,HS7C1_DICDI,nan,DICDI,2.0,,,,,,,,,,,1,,1,
