ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
O14157,MYO3_SCHPO,nan,SCHPO,10.0,1,1,,1,,,1,1,1,,1,1,1,1
Q7SF97,Q7SF97_NEUCR,nan,NEUCR,8.0,1,1,,1,,,,,1,,1,1,1,1
F1MM57,F1MM57_BOVIN,ENSBTAP00000003343,BOVIN,7.0,,,,,,,1,1,1,,1,1,1,1
F6XAW9,F6XAW9_MACMU,ENSMMUP00000000320,MACMU,7.0,,,,,,,1,1,1,,1,1,1,1
E2RJD1,E2RJD1_CANFA,ENSCAFP00000025930,CANFA,6.0,,,,,,,,1,1,,1,1,1,1
H2S271,H2S271_TAKRU,ENSTRUP00000006492,TAKRU,6.0,,,,,,,,1,1,,1,1,1,1
H2RW07,H2RW07_TAKRU,ENSTRUP00000004327,TAKRU,6.0,,,,,,,,1,1,,1,1,1,1
H2RMM3,H2RMM3_TAKRU,ENSTRUP00000001386,TAKRU,6.0,,,,,,,,1,1,,1,1,1,1
H2R9J3,H2R9J3_PANTR,ENSPTRP00000052903,PANTR,6.0,,,,,,,,1,1,,1,1,1,1
H2R5W8,H2R5W8_PANTR,ENSPTRP00000048538,PANTR,6.0,,,,,,,,1,1,,1,1,1,1
H2R2N7,H2R2N7_PANTR,ENSPTRP00000044237,PANTR,6.0,,,,,,,,1,1,,1,1,1,1
H2QLK6,H2QLK6_PANTR,ENSPTRP00000024645,PANTR,6.0,,,,,,,,1,1,,1,1,1,1
H2QN23,H2QN23_PANTR,ENSPTRP00000026215,PANTR,6.0,,,,,,,,1,1,,1,1,1,1
E1BPX8,E1BPX8_BOVIN,ENSBTAP00000039041,BOVIN,6.0,,,,,,,,1,1,,1,1,1,1
H2QK88,H2QK88_PANTR,ENSPTRP00000023033,PANTR,6.0,,,,,,,,1,1,,1,1,1,1
H2QCA0,H2QCA0_PANTR,ENSPTRP00000014942,PANTR,6.0,,,,,,,,1,1,,1,1,1,1
H2QC99,H2QC99_PANTR,ENSPTRP00000014940,PANTR,6.0,,,,,,,,1,1,,1,1,1,1
H2QC98,H2QC98_PANTR,ENSPTRP00000014939,PANTR,6.0,,,,,,,,1,1,,1,1,1,1
H2QC97,H2QC97_PANTR,ENSPTRP00000014936,PANTR,6.0,,,,,,,,1,1,,1,1,1,1
H2S2N2,H2S2N2_TAKRU,ENSTRUP00000006653,TAKRU,6.0,,,,,,,,1,1,,1,1,1,1
H2SH43,H2SH43_TAKRU,ENSTRUP00000011725,TAKRU,6.0,,,,,,,,1,1,,1,1,1,1
F7GP56,F7GP56_MACMU,ENSMMUP00000026432,MACMU,6.0,,,,,,,,1,1,,1,1,1,1
E1BP87,E1BP87_BOVIN,ENSBTAP00000053408,BOVIN,6.0,,,,,,,,1,1,,1,1,1,1
L7N3M3,L7N3M3_XENTR,ENSXETP00000038641,XENTR,6.0,,,,,,,,1,1,,1,1,1,1
C4Q9K4,nan,nan,nan,6.0,,,,,,,,1,1,,1,1,1,1
L7N3J9,L7N3J9_XENTR,ENSXETP00000035539,XENTR,6.0,,,,,,,,1,1,,1,1,1,1
H2UPF1,H2UPF1_TAKRU,ENSTRUP00000038822,TAKRU,6.0,,,,,,,,1,1,,1,1,1,1
C4QKA5,nan,nan,nan,6.0,,,,,,,,1,1,,1,1,1,1
H2UN88,H2UN88_TAKRU,ENSTRUP00000038409,TAKRU,6.0,,,,,,,,1,1,,1,1,1,1
H2ULB2,H2ULB2_TAKRU,ENSTRUP00000037733,TAKRU,6.0,,,,,,,,1,1,,1,1,1,1
H2UKY1,H2UKY1_TAKRU,ENSTRUP00000037602,TAKRU,6.0,,,,,,,,1,1,,1,1,1,1
C4QKA9,nan,nan,nan,6.0,,,,,,,,1,1,,1,1,1,1
H2TTH9,H2TTH9_TAKRU,ENSTRUP00000027987,TAKRU,6.0,,,,,,,,1,1,,1,1,1,1
H2TRH0,H2TRH0_TAKRU,ENSTRUP00000027277,TAKRU,6.0,,,,,,,,1,1,,1,1,1,1
H2TKH5,H2TKH5_TAKRU,ENSTRUP00000025179,TAKRU,6.0,,,,,,,,1,1,,1,1,1,1
H2T3Y5,H2T3Y5_TAKRU,ENSTRUP00000019373,TAKRU,6.0,,,,,,,,1,1,,1,1,1,1
H2SKR3,H2SKR3_TAKRU,ENSTRUP00000012997,TAKRU,6.0,,,,,,,,1,1,,1,1,1,1
H2SHZ7,H2SHZ7_TAKRU,ENSTRUP00000012029,TAKRU,6.0,,,,,,,,1,1,,1,1,1,1
H2QAM8,H2QAM8_PANTR,ENSPTRP00000013322,PANTR,6.0,,,,,,,,1,1,,1,1,1,1
F7DIK1,F7DIK1_XENTR,ENSXETP00000051652,XENTR,6.0,,,,,,,,1,1,,1,1,1,1
F7G5T1,F7G5T1_ORNAN,ENSOANP00000014886,ORNAN,6.0,,,,,,,,1,1,,1,1,1,1
F6TEP8,F6TEP8_XENTR,ENSXETP00000031924,XENTR,6.0,,,,,,,,1,1,,1,1,1,1
