ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A7E680,A7E680_SCLS1,nan,SCLS1,10.0,1,1,,,,1,1,1,,1,1,1,1,1
Q0UBI2,Q0UBI2_PHANO,nan,PHANO,6.0,1,1,,,,1,,1,,1,,1,,
B0XXR6,B0XXR6_ASPFC,nan,ASPFC,5.0,,,,,,1,1,1,,1,,,,1
A9V6D1,A9V6D1_MONBE,nan,MONBE,2.0,,,,,,1,1,,,,,,,
Q86NH2,Q86NH2_CAEEL,nan,CAEEL,2.0,,,,,,1,1,,,,,,,
Q7PS33,Q7PS33_ANOGA,nan,ANOGA,2.0,,,,,,1,1,,,,,,,
Q796Y5,YGAK_BACSU,nan,BACSU,2.0,,,,,,,1,,,,1,,,
A4IGD4,A4IGD4_DANRE,nan,DANRE,1.0,,,,,,1,,,,,,,,
Q4P1R8,Q4P1R8_USTMA,nan,USTMA,1.0,,,,,,,,,,,1,,,
Q9EX55,Q9EX55_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q93S08,Q93S08_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q8CJU6,Q8CJU6_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q54R94,Q54R94_DICDI,nan,DICDI,1.0,,,,,,,,,,,,,1,
Q54H55,Y8969_DICDI,nan,DICDI,1.0,,,,,,,,,,,,,1,
Q4P5C2,Q4P5C2_USTMA,nan,USTMA,1.0,,,,,,,,,,,1,,,
Q0UJM0,Q0UJM0_PHANO,nan,PHANO,1.0,,,,,,,,,,,1,,,
Q0V3F0,Q0V3F0_PHANO,nan,PHANO,1.0,,,,,,,,,,,1,,,
Q0UQ65,Q0UQ65_PHANO,nan,PHANO,1.0,,,,,,,,,,,1,,,
Q0U2D7,Q0U2D7_PHANO,nan,PHANO,1.0,,,,,,,,,,,1,,,
P71984,P71984_MYCTU,nan,MYCTU,1.0,,,,,,,,,,,1,,,
O53608,O53608_MYCTU,nan,MYCTU,1.0,,,,,,,,,,,1,,,
O42842,APT_SCHPO,nan,SCHPO,1.0,,,,,,,,,,,,1,,
O33177,O33177_MYCTU,nan,MYCTU,1.0,,,,,,,,,,,1,,,
O06997,YVDP_BACSU,nan,BACSU,1.0,,,,,,,,,,,1,,,
C4QGT2,nan,nan,nan,1.0,,,,,,1,,,,,,,,
A9SWH5,A9SWH5_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,1,,,
Q9VIT2,PMVK_DROME,nan,DROME,1.0,,,,,,1,,,,,,,,
