ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A7EDY9,A7EDY9_SCLS1,nan,SCLS1,11.0,1,1,1,1,,1,1,1,1,1,,1,,1
Q0UET6,Q0UET6_PHANO,nan,PHANO,11.0,1,1,1,1,,1,1,1,1,1,,1,,1
Q7SCY4,Q7SCY4_NEUCR,nan,NEUCR,11.0,1,1,1,1,,1,1,1,1,1,,1,,1
B0Y433,B0Y433_ASPFC,nan,ASPFC,8.0,1,1,,1,,1,1,1,1,1,,,,
A7MD69,A7MD69_DANRE,nan,DANRE,1.0,,,,,,1,,,,,,,,
A7RWJ8,A7RWJ8_NEMVE,nan,NEMVE,1.0,,,,1,,,,,,,,,,
B7Q9B2,B7Q9B2_IXOSC,nan,IXOSC,1.0,,,,1,,,,,,,,,,
C3Z296,C3Z296_BRAFL,nan,BRAFL,1.0,,,,1,,,,,,,,,,
H2UJF1,H2UJF1_TAKRU,ENSTRUP00000037072,TAKRU,1.0,,,,1,,,,,,,,,,
O77318,O77318_PLAF7,nan,PLAF7,1.0,,,,,,1,,,,,,,,
Q4P188,Q4P188_USTMA,nan,USTMA,1.0,,,,,,,,,,,,1,,
Q99KW3,TARA_MOUSE,nan,MOUSE,1.0,,,,1,,,,,,,,,,
Q9VQI9,AFF4_DROME,nan,DROME,1.0,,,,1,,,,,,,,,,
nan,nan,ENSPTRP00000045346,PANTR,1.0,,,,1,,,,,,,,,,
