ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
P36620,ILVB_SCHPO,nan,SCHPO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B0XXW9,B0XXW9_ASPFC,nan,ASPFC,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q0UJB2,Q0UJB2_PHANO,nan,PHANO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A7EMK2,A7EMK2_SCLS1,nan,SCLS1,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q6CDI5,Q6CDI5_YARLI,nan,YARLI,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q7RVY3,nan,nan,nan,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q4P9H4,Q4P9H4_USTMA,nan,USTMA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q5KPJ5,ILVB_CRYNJ,nan,CRYNJ,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
P07342,ILVB_YEAST,nan,YEAST,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
B1L4L5,B1L4L5_KORCO,nan,KORCO,12.0,1,1,1,1,1,,1,1,,1,1,1,1,1
B8C663,B8C663_THAPS,nan,THAPS,12.0,1,1,,1,1,1,1,1,1,1,1,1,1,
Q9UWY1,Q9UWY1_SULSF,nan,SULSO,12.0,1,1,1,1,1,,1,1,,1,1,1,1,1
Q57725,ILVB_METJA,nan,METJA,11.0,1,1,1,1,1,,1,1,,,1,1,1,1
Q8F341,Q8F341_LEPIN,nan,LEPIN,11.0,1,1,1,1,1,,1,1,,1,1,1,1,
P17597,ILVB_ARATH,nan,ARATH,11.0,1,1,1,1,1,1,1,1,,1,1,1,,
B8E2W6,B8E2W6_DICTD,nan,DICTD,11.0,1,1,1,1,1,,1,1,,1,1,1,,1
Q8TJJ2,Q8TJJ2_METAC,nan,METAC,11.0,1,1,1,1,1,,1,1,,1,1,1,,1
P73913,P73913_SYNY3,nan,SYNY3,11.0,1,1,1,1,1,,1,1,,1,1,1,1,
Q7NG94,Q7NG94_GLOVI,nan,GLOVI,11.0,1,1,1,1,1,,1,1,,1,1,1,1,
Q9WZ18,Q9WZ18_THEMA,nan,THEMA,11.0,1,1,1,1,1,,1,1,,1,1,,1,1
P0A622,nan,nan,nan,10.0,1,1,1,1,1,,1,1,,1,1,1,,
Q9Z567,Q9Z567_STRCO,nan,STRCO,10.0,1,1,1,1,1,,1,1,,1,1,,1,
A9WC24,A9WC24_CHLAA,nan,CHLAA,10.0,1,1,1,1,1,,1,1,,1,1,1,,
P37251,ILVB_BACSU,nan,BACSU,10.0,1,1,1,1,1,,1,1,,1,1,1,,
Q5AJI0,Q5AJI0_CANAL,nan,CANAL,10.0,,,1,,1,,1,1,1,1,1,1,1,1
Q7UHW9,Q7UHW9_RHOBA,nan,RHOBA,10.0,1,1,1,1,1,,1,1,,1,1,1,,
Q8A609,Q8A609_BACTN,nan,BACTN,10.0,1,1,1,1,1,,1,1,,1,1,1,,
Q9RU76,Q9RU76_DEIRA,nan,DEIRA,10.0,1,1,1,1,1,,1,1,,1,1,1,,
Q3V8C8,Q3V8C8_GEOSL,nan,GEOSL,9.0,1,1,,1,1,,1,1,,1,1,,,1
Q5AJV7,Q5AJV7_CANAL,nan,CANAL,9.0,,,,,1,1,,1,1,1,1,1,1,1
O66759,O66759_AQUAE,nan,AQUAE,9.0,1,1,,1,1,,1,1,,1,1,,,1
B5YFP1,B5YFP1_THEYD,nan,THEYD,9.0,1,1,,1,1,,1,1,,1,1,,,1
A6VCE9,A6VCE9_PSEA7,nan,PSEA7,9.0,1,1,,1,1,,1,1,,1,1,,,1
Q89G44,Q89G44_BRADU,nan,BRADU,9.0,1,1,,1,1,,1,1,,1,1,,,1
P00892,ILVG_ECOLI,nan,ECOLI,7.0,,1,1,,,,1,1,,1,1,1,,
nan,nan,ENSXETP00000050813,XENTR,6.0,1,1,,,,1,1,1,1,,,,,
A9RWH6,A9RWH6_PHYPA,nan,PHYPA,6.0,,,1,1,1,,,1,,,1,1,,
A9S0R7,A9S0R7_PHYPA,nan,PHYPA,5.0,,,,,,1,1,1,,,1,1,,
P00893,ILVI_ECOLI,nan,ECOLI,5.0,,,,,1,,,1,,1,1,,,1
A7T7T7,A7T7T7_NEMVE,nan,NEMVE,4.0,,,,,,1,,1,,1,,1,,
P08142,ILVB_ECOLI,nan,ECOLI,4.0,,,,,,,,1,,1,1,1,,
C4PYB9,nan,nan,nan,3.0,,,,,,1,1,1,,,,,,
O06335,ILVB2_MYCTU,nan,MYCTU,2.0,,,,,,,,,,1,1,,,
A7TA64,A7TA64_NEMVE,nan,NEMVE,2.0,,,,,,,1,,,,,1,,
B8C5X8,B8C5X8_THAPS,nan,THAPS,2.0,,,,,,,,,,,1,,,1
Q58077,Y663_METJA,nan,METJA,2.0,,,,,,,,,,1,1,,,
nan,nan,ENSXETP00000040502,XENTR,2.0,,,,,1,,,,,,1,,,
Q8F7T0,Q8F7T0_LEPIN,nan,LEPIN,1.0,,,,,,,,,,1,,,,
A6VD94,A6VD94_PSEA7,nan,PSEA7,1.0,,,,,,,,,,,1,,,
Q9Z5A1,Q9Z5A1_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q9RDF9,Q9RDF9_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q980V7,Q980V7_SULSO,nan,SULSO,1.0,,,,,,,,,,,1,,,
Q97V62,Q97V62_SULSO,nan,SULSO,1.0,,,,,,,,,,,1,,,
Q8F7T1,Q8F7T1_LEPIN,nan,LEPIN,1.0,,,,,,,,,,1,,,,
Q4Q2L9,Q4Q2L9_LEIMA,nan,LEIMA,1.0,,,,,,,,,1,,,,,
B8CF91,B8CF91_THAPS,nan,THAPS,1.0,,,,,,,,,,,,,,1
Q8CJL4,Q8CJL4_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q54DA9,HACL1_DICDI,nan,DICDI,1.0,,,,,,,,,1,,,,,
