ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
C4QF78,nan,nan,nan,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B0Y3D9,B0Y3D9_ASPFC,nan,ASPFC,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q0UG06,Q0UG06_PHANO,nan,PHANO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7EG83,F7EG83_XENTR,ENSXETP00000020621,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A7ENW8,A7ENW8_SCLS1,nan,SCLS1,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q4PFD0,Q4PFD0_USTMA,nan,USTMA,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
F6WMT5,F6WMT5_CIOIN,ENSCINP00000018738,CIOIN,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
Q5K9G4,Q5K9G4_CRYNJ,nan,CRYNJ,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
Q7RYI6,Q7RYI6_NEUCR,nan,NEUCR,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
P25439,BRM_DROME,nan,DROME,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
Q7PRH5,Q7PRH5_ANOGA,nan,ANOGA,12.0,1,1,,1,1,1,1,1,1,1,1,1,1,
A7RK66,A7RK66_NEMVE,nan,NEMVE,12.0,1,1,,1,1,1,1,1,1,1,1,1,1,
C3YLS6,C3YLS6_BRAFL,nan,BRAFL,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
nan,nan,ENSPTRP00000046804,PANTR,11.0,,1,,,1,1,1,1,1,1,1,1,1,1
A9VAE6,A9VAE6_MONBE,nan,MONBE,11.0,1,1,,1,,1,,1,1,1,1,1,1,1
Q9UTN6,SNF21_SCHPO,nan,SCHPO,11.0,,1,,1,1,1,1,1,1,,1,1,1,1
F7DUE0,F7DUE0_MACMU,ENSMMUP00000020039,MACMU,11.0,,,,1,1,1,1,1,1,1,1,1,1,1
Q7ZSY3,Q7ZSY3_DANRE,nan,DANRE,11.0,,,1,,1,1,1,1,1,1,1,1,1,1
Q19106,nan,nan,nan,11.0,,1,,1,1,,1,1,1,1,1,1,1,1
P32597,STH1_YEAST,nan,YEAST,11.0,1,1,,1,,1,1,1,1,1,,1,1,1
Q3TKT4,SMCA4_MOUSE,nan,MOUSE,10.0,,,1,,1,1,,1,1,1,1,1,1,1
nan,nan,ENSPTRP00000017877,PANTR,10.0,,,1,1,1,,,1,1,1,1,1,1,1
F1MJ46,F1MJ46_BOVIN,ENSBTAP00000025598,BOVIN,10.0,,,1,,1,1,,1,1,1,1,1,1,1
E2RJ89,E2RJ89_CANFA,ENSCAFP00000025953,CANFA,10.0,,,1,,1,1,,1,1,1,1,1,1,1
P51532,SMCA4_HUMAN,nan,HUMAN,10.0,,,1,,1,1,,1,1,1,1,1,1,1
nan,nan,ENSMODP00000033718,MONDO,10.0,,,1,,1,1,,1,1,1,1,1,1,1
Q8K1P7,SMCA4_RAT,nan,RAT,10.0,,,1,,1,1,,1,1,1,1,1,1,1
Q90753,Q90753_CHICK,nan,CHICK,10.0,,,1,,1,1,,1,1,1,1,1,1,1
H2RSQ4,H2RSQ4_TAKRU,ENSTRUP00000003171,TAKRU,10.0,,,1,,1,,1,1,1,1,1,1,1,1
A2FSS0,A2FSS0_TRIVA,nan,TRIVA,9.0,1,1,,,1,1,1,1,1,1,1,,,
E2RKP4,E2RKP4_CANFA,ENSCAFP00000002979,CANFA,9.0,,,,,1,,1,1,1,1,1,1,1,1
Q90755,Q90755_CHICK,nan,CHICK,9.0,,,,,1,,1,1,1,1,1,1,1,1
Q6C828,Q6C828_YARLI,nan,YARLI,9.0,1,1,,,1,1,,1,,,1,1,1,1
P51531,SMCA2_HUMAN,nan,HUMAN,9.0,,,,,1,,1,1,1,1,1,1,1,1
Q5AEM9,Q5AEM9_CANAL,nan,CANAL,9.0,,,,1,,1,1,1,1,1,,1,1,1
nan,nan,ENSMODP00000035813,MONDO,9.0,,,,,1,,1,1,1,1,1,1,1,1
A5PKK5,A5PKK5_BOVIN,ENSBTAP00000035551,BOVIN,9.0,,,,,1,,1,1,1,1,1,1,1,1
H2USK8,H2USK8_TAKRU,ENSTRUP00000039931,TAKRU,8.0,,,,,1,,,1,1,1,1,1,1,1
Q6CDE1,Q6CDE1_YARLI,nan,YARLI,8.0,,,,1,,,1,1,1,1,,1,1,1
F7GWD7,F7GWD7_MACMU,ENSMMUP00000015797,MACMU,8.0,,,,,1,,,1,1,1,1,1,1,1
Q55C32,Q55C32_DICDI,nan,DICDI,8.0,,,,,1,1,1,1,,1,1,,1,1
Q6DIC0,SMCA2_MOUSE,nan,MOUSE,8.0,,,,,1,,1,,1,1,1,1,1,1
Q6P9P2,Q6P9P2_DANRE,nan,DANRE,8.0,,,,,1,,,1,1,1,1,1,1,1
Q6DUH4,Q6DUH4_RAT,nan,RAT,7.0,,,,,1,,,,1,1,1,1,1,1
Q9SFG5,nan,nan,nan,7.0,,,,,1,1,,1,1,1,1,,1,
Q22944,Q22944_CAEEL,nan,CAEEL,7.0,,,,,,1,,1,,1,1,1,1,1
H2SGX6,H2SGX6_TAKRU,ENSTRUP00000011658,TAKRU,7.0,,,,,,,,1,1,1,1,1,1,1
F6Q910,F6Q910_ORNAN,ENSOANP00000006904,ORNAN,6.0,,,,,1,1,,1,,1,1,,,1
B8C1P2,B8C1P2_THAPS,nan,THAPS,6.0,,,,,1,,,,,1,1,1,1,1
O94421,SNF22_SCHPO,nan,SCHPO,6.0,,,,,,,,1,1,,1,1,1,1
F6VXR8,F6VXR8_ORNAN,ENSOANP00000013193,ORNAN,6.0,,,,,1,,1,1,,1,1,,,1
Q3E9C2,nan,nan,nan,6.0,,,,,1,,1,1,1,1,1,,,
D3ZWH0,nan,nan,nan,5.0,,,,,,,1,,1,1,,,1,1
Q54NM0,Q54NM0_DICDI,nan,DICDI,5.0,1,1,,,,,,,,,1,1,1,
O96239,O96239_PLAF7,nan,PLAF7,5.0,1,1,,,1,,,,,,1,,,1
Q5AM49,Q5AM49_CANAL,nan,CANAL,4.0,,,,,,,,,,1,,1,1,1
A8B3K5,A8B3K5_GIAIC,nan,GIAIC,4.0,1,1,,,1,,,,,,1,,,
A9V8E4,A9V8E4_MONBE,nan,MONBE,4.0,,,,,1,,1,,,,1,,,1
