ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A7EP32,A7EP32_SCLS1,nan,SCLS1,7.0,,,,,,1,1,1,,1,,1,1,1
Q5KF44,Q5KF44_CRYNJ,nan,CRYNJ,3.0,,,,,,,,,,1,,,1,1
Q05654,nan,nan,nan,2.0,,,,,,,,,,,,,1,1
Q99315,YG31B_YEAST,nan,YEAST,2.0,,,,,,,,,,,,,1,1
Q9C0R2,nan,nan,nan,2.0,,,,,,,,,,,,,1,1
Q9UR07,TF211_SCHPO,nan,SCHPO,2.0,,,,,,,,,,,,,1,1
Q7LHG5,YI31B_YEAST,nan,YEAST,2.0,,,,,,,,,,,,,1,1
F1MTJ4,F1MTJ4_BOVIN,ENSBTAP00000051424,BOVIN,2.0,,,,,,,1,1,,,,,,
nan,nan,ENSXETP00000002286,XENTR,2.0,,,,,,,,1,,,,,,1
B7PWZ6,B7PWZ6_IXOSC,nan,IXOSC,2.0,,,,,,,,,,1,,,,1
nan,nan,ENSBTAP00000052198,BOVIN,1.0,,,,,,,,,,,,1,,
nan,nan,ENSBTAP00000051584,BOVIN,1.0,,,,,,,,,,,,1,,
Q8N8U3,ZCHC5_HUMAN,nan,HUMAN,1.0,,,,,,,,1,,,,,,
nan,nan,ENSBTAP00000051001,BOVIN,1.0,,,,,,,,,,,,1,,
nan,nan,ENSBTAP00000050583,BOVIN,1.0,,,,,,,,,,,,1,,
nan,nan,ENSBTAP00000050171,BOVIN,1.0,,,,,,,,,,,,1,,
nan,nan,ENSBTAP00000047790,BOVIN,1.0,,,,,,,,,,,,1,,
nan,nan,ENSXETP00000010896,XENTR,1.0,,,,,,,,1,,,,,,
nan,nan,ENSXETP00000027817,XENTR,1.0,,,,,,,,1,,,,,,
nan,nan,ENSBTAP00000051304,BOVIN,1.0,,,,,,,,,,,,1,,
Q6C914,Q6C914_YARLI,nan,YARLI,1.0,,,,,,,,,,,,,,1
Q86TG7,PEG10_HUMAN,nan,HUMAN,1.0,,,,,,,,1,,,,,,
A9TC65,A9TC65_PHYPA,nan,PHYPA,1.0,,,,,,1,,,,,,,,
Q5ADN4,Q5ADN4_CANAL,nan,CANAL,1.0,,,,,,,,1,,,,,,
Q5ABJ9,Q5ABJ9_CANAL,nan,CANAL,1.0,,,,,,,,1,,,,,,
Q5A2V1,Q5A2V1_CANAL,nan,CANAL,1.0,,,,,,,,1,,,,,,
Q5A2I7,Q5A2I7_CANAL,nan,CANAL,1.0,,,,,,,,1,,,,,,
Q54VD1,Q54VD1_DICDI,nan,DICDI,1.0,,,,,,,,1,,,,,,
Q54LQ2,Q54LQ2_DICDI,nan,DICDI,1.0,,,,,,,,1,,,,,,
Q54AS8,Q54AS8_DICDI,nan,DICDI,1.0,,,,,,,,1,,,,,,
Q54AM8,Q54AM8_DICDI,nan,DICDI,1.0,,,,,,,,,,,,,1,
H9H4N3,H9H4N3_MACMU,ENSMMUP00000032836,MACMU,1.0,,,,,,,,,,,,,,1
E9Q3F7,E9Q3F7_MOUSE,ENSMUSP00000127306,MOUSE,1.0,,,,,,,,1,,,,,,
B7PTU7,B7PTU7_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
B5FVH8,B5FVH8_YARLI,nan,YARLI,1.0,,,,,,,,,,,,,,1
nan,nan,ENSXETP00000038799,XENTR,1.0,,,,,,,,1,,,,,,
