ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q9RK80,Q9RK80_STRCO,nan,STRCO,10.0,,,1,1,1,,1,1,1,1,1,,1,1
B5YK04,B5YK04_THEYD,nan,THEYD,5.0,,,1,1,,,,1,1,,,,,1
Q89II8,Q89II8_BRADU,nan,BRADU,3.0,,,,,,,1,1,,,,,,1
A6V2H2,A6V2H2_PSEA7,nan,PSEA7,3.0,,,,,,,,1,1,1,,,,
A6V3T7,A6V3T7_PSEA7,nan,PSEA7,3.0,,,,,,,,1,1,1,,,,
A6V954,A6V954_PSEA7,nan,PSEA7,3.0,,,,,,,,1,1,1,,,,
Q55828,DAPAT_SYNY3,nan,SYNY3,2.0,,,,,1,,,,,,1,,,
Q3KLW3,DAPAT_CHLTA,nan,CHLTA,2.0,,,,,1,,,,,,1,,,
Q8AAB8,DAPAT_BACTN,nan,BACTN,2.0,,,,,1,,,,,,1,,,
Q8F814,DAPAT_LEPIN,nan,LEPIN,2.0,,,,,1,,,,,,1,,,
Q93ZN9,DAPAT_ARATH,nan,ARATH,2.0,,,,,1,,,,,,1,,,
Q9RXP4,Q9RXP4_DEIRA,nan,DEIRA,2.0,,,1,,,,,,,,,,,1
Q74GT3,DAPAT_GEOSL,nan,GEOSL,2.0,,,,,1,,,,,,1,,,
B8BT02,B8BT02_THAPS,nan,THAPS,2.0,,,,,1,,,,,,1,,,
B0R4K5,B0R4K5_HALS3,nan,HALS3,2.0,,,,,1,,,,,,1,,,
A9RZ64,A9RZ64_PHYPA,nan,PHYPA,2.0,,,,,1,,,,,,1,,,
Q9RYU6,Q9RYU6_DEIRA,nan,DEIRA,1.0,,,,,,,,,1,,,,,
Q8A5Y3,Q8A5Y3_BACTN,nan,BACTN,1.0,,,,,,,,,1,,,,,
Q89V38,Q89V38_BRADU,nan,BRADU,1.0,,,,,,,,,1,,,,,
A6V110,A6V110_PSEA7,nan,PSEA7,1.0,,,,,,,,,1,,,,,
P45544,FRLR_ECOLI,nan,ECOLI,1.0,,,,,,,,,,,,,,1
Q74GH9,Q74GH9_GEOSL,nan,GEOSL,1.0,,,,,,,,,1,,,,,
Q74CP7,Q74CP7_GEOSL,nan,GEOSL,1.0,,,,,,,,,,,,,1,
A6V247,A6V247_PSEA7,nan,PSEA7,1.0,,,,,,,,,1,,,,,
P31453,YIDP_ECOLI,nan,ECOLI,1.0,,,,,,,,,1,,,,,
P16684,PHNF_ECOLI,nan,ECOLI,1.0,,,,,,,,,1,,,,,
P0ACM9,YIHL_ECOLI,nan,ECOLI,1.0,,,,,,,,,1,,,,,
P0ACM5,YEGW_ECOLI,nan,ECOLI,1.0,,,,,,,,,1,,,,,
O34817,YVOA_BACSU,nan,BACSU,1.0,,,,,,,,,1,,,,,
O32152,YURK_BACSU,nan,BACSU,1.0,,,,,,,,,,,,,,1
O31459,YBGA_BACSU,nan,BACSU,1.0,,,1,,,,,,,,,,,
Q9ZQI7,ALD1_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
